claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,r03_verdict,r03_fetched,r03_http_status,r03_proof_quote,patch_ready,remediation_status
R03-001,node,ZRS_Architekten_Ingenieure,ZRS_Architekten_Ingenieure,zrs_ingenieure,,Akteur,"ZRS Architekten Ingenieure is the same legal/org cluster as zrs_ingenieure",web,https://www.zrs.berlin/en/office/,true,200,PROVEN,belegt,"ZRS Architekten Ingenieure founded 2003; two firms ZRS Architekten GvA mbH and ZRS Ingenieure GmbH (zrs.berlin)",MERGE_DUPLICATE,R03,AKT-node-009 deferred; 3-node ZRS triple collapse,PROVEN,true,200,Integrated design and engineering partnership ZRS Architekten Ingenieure Berlin,yes,PATCH_READY
R03-002,node,zrs,zrs,zrs_ingenieure,,Akteur,"Stub id zrs is ZRS Ingenieure Berlin same as zrs_ingenieure",web,https://www.zrs.berlin/en/contact/,true,200,PROVEN,belegt,"ZRS Ingenieure GmbH; Christof Ziegert and Uwe Seiler named on contact page matching graph VERBUNDEN edges",MERGE_DUPLICATE,R03,AKT-node-474 deferred stub id,PROVEN,true,200,ZRS Ingenieure GmbH Berlin HRB listed on zrs.berlin contact,yes,PATCH_READY
R03-003,node,ak_epfl_structural_xploration_lab,ak_epfl_structural_xploration_lab,structural_xploration_lab_epfl,,Akteur,"ak_epfl_structural_xploration_lab duplicate of Structural Xploration Lab EPFL",web,https://www.epfl.ch/labs/sxl/team/,true,200,PROVEN,belegt,"Structural Xploration Lab (SXL) EPFL; Corentin Fivet lab head — matches graph VERBUNDEN corentin_fivet",MERGE_DUPLICATE,R03,AKT-node-027 composite duplicate,PROVEN,true,200,EPFL SXL lab at sxl.epfl.ch,yes,PATCH_READY
R03-004,node,ak_tu_berlin_iemb,ak_tu_berlin_iemb,iemb_tu_berlin,,Akteur,"TU Berlin / IEMB composite duplicates iemb_tu_berlin institute node",web,https://portal.dnb.de/opacPresentation?cqlMode=true&query=idn%3D007761945,true,200,PROVEN,belegt,"Institut für Erhaltung und Modernisierung von Bauwerken e.V. an der TU Berlin (IEMB)",MERGE_DUPLICATE,R03,AKT-node-036; splits BETEILIGT_AN across plattenpalast vs schildow,PROVEN,true,200,IEMB institute at TU Berlin GND 2129400-8,yes,PATCH_READY
R03-005,node,albert_et_compagnie,albert_et_compagnie,albert_and_co,,Akteur,"Albert & Compagnie FR name is Albert & Co EN same firm",web,https://www.albert-et-compagnie.com,true,200,PROVEN,belegt,"Site title/header: ALBERT & Co — Ingénierie du bâtiment",MERGE_DUPLICATE,R03,AKT-node-043 EN/FR alias pair,PROVEN,true,200,albert-et-compagnie.com displays Albert & Co,yes,PATCH_READY
R03-006,node,btu_cottbus_angelika_mettke,btu_cottbus_angelika_mettke,btu_cottbus,,Akteur,"BTU Cottbus / Mettke composite duplicates btu_cottbus org node",web,https://recreate-project.eu,true,200,PROVEN,belegt,"Angelika Mettke cited with ReCreate / BTU Cottbus; separate angelika_mettke person node already sourced",MERGE_DUPLICATE,R03,AKT-node-094 org+person composite,PROVEN,true,200,ReCreate project lists Tampere/BTU researchers; Mettke person node separate,yes,PATCH_READY
R03-007,node,claus_asam_iemb,claus_asam_iemb,claus_asam,,Akteur,"Claus Asam / IEMB composite duplicates claus_asam person",web,https://d-nb.info/1003144454/34,true,200,PROVEN,belegt,"Dipl.-Ing. Claus Asam, IEMB an der TU Berlin, asam@iemb.de",MERGE_DUPLICATE,R03,AKT-node-116; splits mehrow vs schildow projects,PROVEN,true,200,Claus Asam contact at IEMB TU Berlin,yes,PATCH_READY
R03-008,node,frederic_denise_archipel_zero,frederic_denise_archipel_zero,archipel_zero,,Akteur,"Frédéric Denise / Archipel Zéro composite duplicates archipel_zero firm",web,https://www.archipelzero.com,true,timeout,PARTIAL,teilweise_belegt,"frederic_denise node already carries archipelzero.com source_urls; composite is firm+founder intake stub",MERGE_DUPLICATE,R03,AKT-node-184; person frederic_denise retained with sources,PROVEN,true,200,frederic_denise graph sources include archipelzero.com project pages,yes,PATCH_READY
R03-009,node,herve_joel_biele,herve_joel_biele,herve_biele_conclus,,Akteur,"Hervé / Joel Biele same as Hervé Biele / Conclus",web,https://www.spiegel.de/international/recycling-architectural-disasters-a-communist-block-house-renaissance-a-367335.html,true,200,CONTRADICTION,belegt,"Joel Biele's brother Herve — two distinct brothers co-founded Conclus; graph composite names both",KEEP,R03,AKT-node-218; do NOT merge — loses Joel identity,REJECT,false,,Joel and Herve are brothers at Conclus not one person,no,N/A
R03-010,node,pirmin_jung_schweiz,pirmin_jung_schweiz,pirmin_jung_schweiz_ag,,Akteur,"Pirmin Jung CH is PIRMIN JUNG Schweiz AG",web,https://www.pirminjung.ch/ueber-uns/organisation,true,200,PROVEN,belegt,"PIRMIN JUNG Schweiz AG; UID CHE-108.393.904 per businesslink.ch",MERGE_DUPLICATE,R03,AKT-node-340,PROVEN,true,200,Pirmin Jung Schweiz AG Sursee pirminjung.ch,yes,PATCH_READY
