value,count,n_files,knoten_kandidat_n>=3,files
"Profilverfügbarkeit, Services, Profilhöhen, Zertifizierung",1,1,,55_Great_Suffolk_Street_London.md
"Maßausgleich, unterschiedliche Fertigteilsysteme, Anschlüsse",1,1,,Association_house_Groeditz.md
"Gewährleistung, Prüfung, Logistik, Toleranzen",1,1,,Association_house_Plauen.md
Verfügbarkeit passender Profile; lange Vorlaufzeiten; gebogene Profile nicht reused,1,1,,BedZED_London_Hackbridge.md
geringe Quellenlage,1,1,,Bestandverplanzung_Pavilion_Muenchen.md
Projektabbruch / nicht gebaut,1,1,,Big_Dig_Building_Boston.md
Nachweis wiederverwendeter Stahl,1,1,,BioPartner_5_Leiden_Oegstgeest.md
Passung geernteter Fensterrahmen,1,1,,BlueCity_Offices_Rotterdam.md
fehlende Industriestandards für Prüfung reclaimed steel,1,1,,Boulder_Fire_Station_3.md
hohe Front-End-Kosten und Logistikunsicherheit,1,1,,Boulder_Fire_Station_3.md
Reservation mismatch / design changes,1,1,,Brent_Cross_Town_Primary_Substation_London.md
Bauvorschriften / Dauerhaftigkeit,1,1,,Brighton_Waste_House_Brighton.md
fehlende Gewährleistung/Skalierung/Supply Chain für Sekundärholz,1,1,,CascadeUp_London_secondary_timber_glulam_demonstrator.md
Abgrenzung Bestandserhalt,1,1,,Charles_Malis_Molenbeek.md
logistisch-organisatorische Hindernisse,1,1,,Chiro_d_Itterbeek_Dilbeek.md
Instandhaltung der Fenstervitrinen,1,1,,Christ_Pavilion_Volkenroda.md
Planung mit vorhandenen Elementen,1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
Gewährleistung / fehlendes Werkszeugnis,1,1,,CRCLR_House_Impact_Hub_Berlin.md
geringe Grundstücksgröße / keine Lagerfläche,1,1,,Ferme_du_Rail_Paris.md
Bäume / Lage / Lärm,1,1,,gjG_House_Gentbrugge.md
Versicherung / assurabilité,1,1,,Grande_Halle_de_Colombelles.md
Bauteilverfügbarkeit / Entwurf nach Bestand,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Eignung der Abmessungen,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
begrenzte Längen und Mengen,1,1,,Hastings_Pier_Visitor_Centre.md
Budgetverschiebung nach Sturmschäden,1,1,,Hastings_Pier_Visitor_Centre.md
"Kosten, Programm, verfügbare Bestände",1,1,,Holbein_Gardens_London.md
"pre-1940s steel testing, concrete encasement, rivets",1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
Zulassung / Brandschutz / Anforderungen,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
Abgrenzung Sanierung vs. Wiederverwendung,1,1,,Institut_de_Botanique_ULg_Liege.md
"heutige Bauprozesse, Kosten-/Verfahrenslogik",1,1,,K118_Kopfbau_Halle_118_Winterthur.md
"Regelwerk, Dokumentation, Marktverfügbarkeit, Rückbaukosten",1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Heterogenität gespendeter Bauteile,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Einpassung in historischen Kontext,1,1,,Lo_Reninge_Town_Hall_Facade.md
Integration in komplexen Bauablauf,1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
Normen/Altgebäude/Materialprüfung,1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Beschaffung heterogener Kleinmengen,1,1,,Maison_des_Canaux_Paris.md
Reuse-Ziegel und Energieanforderungen,1,1,,Maison_DnA_Asse.md
enger Zeitplan,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
"Großmaßstäblicher, hochkodifizierter Hochbau",1,1,,Multi_Brussels_Reuse_in_MULTI.md
Stabilitäts-/Testaufwand bei hohem Reuse-Anteil,1,1,,Musee_de_Folklore_Mouscron.md
Reinigung ölhaltiger Außenfarbe auf Olympiaplatten,1,1,,Plattenvereinigung_Berlin.md
Abgrenzung Möbel vs. Bauteil,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
öffentliche Ausschreibung und Bauordnung nicht angepasst,1,1,,Recypark_Demets_Anderlecht.md
Risiko / aléas / Kontrollbüro,1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Marktilliquidität / Timing / Zertifizierung,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
variable Rohrdurchmesser / Entwurfsgrenzen,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
nachhaltiger Rückbau als neuer Ausschreibungsprozess,1,1,,Svanen_Kindergarten_Gladsaxe.md
"fire, acoustics, insurance, vibration",1,1,,Timber_Square_London.md
Remanufacturing auf Neubaustandard,1,1,,Upcycle_Studios_Copenhagen.md
laufender Schulbetrieb / Phasierung,1,1,,Verbiest_Karreveld_Brussels.md
Bestandserhalt vs. Direct Reuse,1,1,,Verbiest_Karreveld_Brussels.md
Materialverfügbarkeit vor Bauplanung,1,1,,Woongroep_Boschgaard_Den_Bosch.md
"Bauphysik, Schall, Ausführung",1,1,,Woongroep_Boschgaard_Den_Bosch.md
Holzschädlinge / boktor,1,1,,Woongroep_Boschgaard_Den_Bosch.md
öffentliche Beschaffung vs. Wiederverwendungsflexibilität,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
