seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Verfuegbarkeitsproblem,Logistisch,Passendes Bauteil/Profil/Menge nicht verfügbar wenn benötigt.,7,7,"Profilverfügbarkeit, Services, Profilhöhen, Zertifizierung (n=1); Verfügbarkeit passender Profile; lange Vorlaufzeiten; gebogene Profile nicht reused (n=1); Reservation mismatch / design changes (n=1); Bauteilverfügbarkeit / Entwurf nach Bestand (n=1); Kosten, Programm, verfügbare Bestände (n=1); Regelwerk, Dokumentation, Marktverfügbarkeit, Rückbaukosten (n=1); Materialverfügbarkeit vor Bauplanung (n=1)"
Toleranzen,Technisch,Anschluss-/Toleranzprobleme weil Altbauteile nicht zu neuen Maßen passen.,6,6,"Maßausgleich, unterschiedliche Fertigteilsysteme, Anschlüsse (n=1); Passung geernteter Fensterrahmen (n=1); Eignung der Abmessungen (n=1); begrenzte Längen und Mengen (n=1); Einpassung in historischen Kontext (n=1); Beschaffung heterogener Kleinmengen (n=1)"
Brandschutzkonflikt,Technisch,"Brandschutz, Schallschutz, Wärmeschutz, Feuchteschutz, Luftdichtheit erschwert mit Gebrauchtbauteilen.",4,4,"Bauvorschriften / Dauerhaftigkeit (n=1); Zulassung / Brandschutz / Anforderungen (n=1); Reuse-Ziegel und Energieanforderungen (n=1); Bauphysik, Schall, Ausführung (n=1)"
Gewaehrleistung,Rechtlich,"Haftung, Gewährleistung, Versicherung für gebrauchte Bauteile rechtlich ungeklärt.",4,4,"Gewährleistung, Prüfung, Logistik, Toleranzen (n=1); fehlende Gewährleistung/Skalierung/Supply Chain für Sekundärholz (n=1); Gewährleistung / fehlendes Werkszeugnis (n=1); Versicherung / assurabilité (n=1)"
Terminunsicherheit,Logistisch,Zeitliches Auseinanderlaufen von Donor-Rückbau und Empfänger-Bau.,4,4,Verfügbarkeit passender Profile; lange Vorlaufzeiten; gebogene Profile nicht reused (n=1); Budgetverschiebung nach Sturmschäden (n=1); enger Zeitplan (n=1); Marktilliquidität / Timing / Zertifizierung (n=1)
Ausschreibungsproblem,Wirtschaftlich,Standardisierte Ausschreibung/Beschaffung passt nicht zu Reuse.,3,3,öffentliche Ausschreibung und Bauordnung nicht angepasst (n=1); nachhaltiger Rückbau als neuer Ausschreibungsprozess (n=1); öffentliche Beschaffung vs. Wiederverwendungsflexibilität (n=1)
Fehlende_Lagerflaeche,Logistisch,"Lagerflächen, Lagerkosten, Lagerschutz fehlen.",3,4,fehlende Industriestandards für Prüfung reclaimed steel (n=1); hohe Front-End-Kosten und Logistikunsicherheit (n=1); logistisch-organisatorische Hindernisse (n=1); geringe Grundstücksgröße / keine Lagerfläche (n=1)
Logistikproblem,Logistisch,"Transportkosten, -risiken, Schwertransport.",2,2,hohe Front-End-Kosten und Logistikunsicherheit (n=1); logistisch-organisatorische Hindernisse (n=1)
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,1,1,Normen/Altgebäude/Materialprüfung (n=1)
Fehlende_Datenstandards,,,1,1,fehlende Industriestandards für Prüfung reclaimed steel (n=1)
Fehlende_Standardisierung,,,1,1,fehlende Industriestandards für Prüfung reclaimed steel (n=1)
Haftung,Rechtlich,"Haftung, Gewährleistung, Versicherung für gebrauchte Bauteile rechtlich ungeklärt.",1,1,Versicherung / assurabilité (n=1)
Schadstoffbelastung,,,0,0,
