claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
F01-APPLY-001,patch,,rau_architects,rau,Akteur,merge_node rau_architects into canonical rau (P6-03-RAU-001),web,https://thomasrau.eu/en/initiatives/rau,true,200,APPLIED,belegt,"From 1992 onwards, architectural firm RAU has been operating from a strong sense of awareness with respect to designing environmentally friendly buildings.",MERGE_DUPLICATE,F1,post_quality_p06_03.patch.jsonl applied 2026-06-06; survivor aliases+=RAU Architects; counts 2264/15063→2263/15060
F01-AUDIT-DRYRUN,audit,,,,,Scan apply_reports/*.json for dry_run:true leftovers,logic,apply_reports sweep,false,,CLEAR,hoch,0 files with dry_run:true across 26 apply reports,KEEP,F1,D6 satisfied for final-cleanup wave
F01-AUDIT-P06-02,audit,,,,,post_quality_p06_02.patch apply report status,logic,apply_reports/post_quality_p06_02.patch.apply_report.json,false,,APPLIED,hoch,dry_run=false,KEEP,F1,P6 patch already live before F1
F01-AUDIT-P06-03,audit,,,,,post_quality_p06_03.patch apply report status,logic,apply_reports/post_quality_p06_03.patch.apply_report.json,false,,APPLIED,hoch,dry_run=false after F1 --confirm,KEEP,F1,was sole dry_run:true P6 leftover; now applied
F01-AUDIT-P06-04,audit,,,,,post_quality_p06_04.patch apply report status,logic,apply_reports/post_quality_p06_04.patch.apply_report.json,false,,APPLIED,hoch,dry_run=false,KEEP,F1,P6 patch already live before F1
F01-PRUNE-001,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5405,rau_architects,,Akteur,Stale ledger node row after merge,logic,final_cleanup_f01_prune_for_f04.json,false,,STALE,hoch,node deleted by merge_node,F4_PRUNE,F1,canonical ledger AKT-node-357
F01-PRUNE-002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676607773,rau_architects,p_liander_alliander_hq_duiven,BETEILIGT_AN,Stale rel elementId replaced on redirect,logic,final_cleanup_f01_prune_for_f04.json,false,,STALE,hoch,replacement elementId 5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676609083,F4_PRUNE,F1,canonical ledger 09-beteiligt_an-0690
F01-PRUNE-003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7018962273838307334,rau_architects,ar_entwurf_planung,HAT_AKTEURROLLE,Stale rel deduped against existing rau edge,logic,final_cleanup_f01_prune_for_f04.json,false,,STALE,hoch,parallel edge on survivor absorbed duplicate,F4_PRUNE,F1,canonical ledger EP01-rel-01039
F01-PRUNE-004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157527358815606045,rau_architects,ar_reuse_zirkularitaetsberatung,HAT_AKTEURROLLE,Stale rel deduped against existing rau edge,logic,final_cleanup_f01_prune_for_f04.json,false,,STALE,hoch,parallel edge on survivor absorbed duplicate,F4_PRUNE,F1,canonical ledger EP01-rel-01040
F01-PRUNE-005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863325,rau_architects,at_unternehmen,HAT_AKTEURTYP,Stale rel deduped against existing rau edge,logic,final_cleanup_f01_prune_for_f04.json,false,,STALE,hoch,parallel edge on survivor absorbed duplicate,F4_PRUNE,F1,canonical ledger EP02-rel-00500
