claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
post03-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490485,p_big_dig_building_boston,stadt_boston,LIEGT_IN_STADT,Projekt p_big_dig_building_boston liegt in Stadt Boston,logic,address names a different known city,false,,CONTRADICTION,widerlegt,"edge says Boston but address names 'cambridge' (stadt_cambridge_ma): Massachusetts Avenue (triangular lot near Porter Square), Cambridge, MA 02140, USA",FIX_PROPERTY,POST-03,address city != linked Stadt; a more correct Stadt node exists; fix_target=stadt_cambridge_ma,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490485,rel
post03-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490597,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,stadt_arnhem,LIEGT_IN_STADT,Projekt p_circular_centre_netherlands_prinsenhof_a_reuse_pilot liegt in Stadt Arnhem,logic,address names a different known city,false,,CONTRADICTION,widerlegt,"edge says Arnhem but address names 'heerde' (stadt_heerde): Zwarteweg 1, 8181 PD Heerde, Netherlands",FIX_PROPERTY,POST-03,address city != linked Stadt; a more correct Stadt node exists; fix_target=stadt_heerde,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211490597,rel
post03-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491001,bw_kerenzerbergtunnel,stadt_zuerich,LIEGT_IN_STADT,Bauwerk bw_kerenzerbergtunnel liegt in Stadt Zürich,logic,manual geo check,false,,CONTRADICTION,widerlegt,"address is Kerenzerberg/Glarus, not Zürich | addr: Kerenzerberg tunnel area, Glarus, Switzerland",ESCALATE_HUMAN,POST-03,address city != linked Stadt; fix_target=none,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491001,rel
post03-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491465,bw_alte_kade_tiel,stadt_utrecht,LIEGT_IN_STADT,Bauwerk bw_alte_kade_tiel liegt in Stadt Utrecht,logic,manual geo check,false,,CONTRADICTION,widerlegt,"address is in Tiel (Gelderland), not Utrecht | addr: Alte Kade, Tiel, Netherlands",ESCALATE_HUMAN,POST-03,address city != linked Stadt; fix_target=none,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153025958211491465,rel
post03-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723113532,la_ressourcerie_fribourg,land_schweiz,LIEGT_IN_LAND,Akteur la_ressourcerie_fribourg liegt in Schweiz,dossier,https://opalis.eu/fr/projets/institut-de-botanique-ulg-liege,false,,CONTRADICTION,widerlegt,"address names Belgien but LIEGT_IN_LAND says Schweiz: Chemin de la Vallée 4, 4000 Liège, Belgium",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_belgien,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723113532,rel
post03-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114158,lindner_se,land_deutschland,LIEGT_IN_LAND,Akteur lindner_se liegt in Deutschland,dossier,"address: Überlandstrasse 129, 8600 Dübendorf, Switzerland",false,,CONTRADICTION,widerlegt,"address names Schweiz but LIEGT_IN_LAND says Deutschland: Überlandstrasse 129, 8600 Dübendorf, Switzerland",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_schweiz,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114158,rel
post03-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114159,nimbus,land_deutschland,LIEGT_IN_LAND,Akteur nimbus liegt in Deutschland,dossier,"address: Überlandstrasse 129, 8600 Dübendorf, Switzerland",false,,CONTRADICTION,widerlegt,"address names Schweiz but LIEGT_IN_LAND says Deutschland: Überlandstrasse 129, 8600 Dübendorf, Switzerland",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_schweiz,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114159,rel
post03-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114160,magna_glaskeramik,land_deutschland,LIEGT_IN_LAND,Akteur magna_glaskeramik liegt in Deutschland,dossier,"address: Überlandstrasse 129, 8600 Dübendorf, Switzerland",false,,CONTRADICTION,widerlegt,"address names Schweiz but LIEGT_IN_LAND says Deutschland: Überlandstrasse 129, 8600 Dübendorf, Switzerland",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_schweiz,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114160,rel
post03-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114161,ecovative,land_usa,LIEGT_IN_LAND,Akteur ecovative liegt in USA,dossier,"address: Überlandstrasse 129, 8600 Dübendorf, Switzerland",false,,CONTRADICTION,widerlegt,"address names Schweiz but LIEGT_IN_LAND says USA: Überlandstrasse 129, 8600 Dübendorf, Switzerland",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_schweiz,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114161,rel
post03-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114162,desso_tarkett,land_niederlande,LIEGT_IN_LAND,Akteur desso_tarkett liegt in Niederlande,dossier,"address: Überlandstrasse 129, 8600 Dübendorf, Switzerland",false,,CONTRADICTION,widerlegt,"address names Schweiz but LIEGT_IN_LAND says Niederlande: Überlandstrasse 129, 8600 Dübendorf, Switzerland",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_schweiz,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114162,rel
post03-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114378,baumab_kassel,land_deutschland,LIEGT_IN_LAND,Akteur baumab_kassel liegt in Deutschland,dossier,"address: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",false,,CONTRADICTION,widerlegt,"address names Belgien but LIEGT_IN_LAND says Deutschland: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_belgien,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114378,rel
post03-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114395,stadt_kassel,land_deutschland,LIEGT_IN_LAND,Akteur stadt_kassel liegt in Deutschland,dossier,"address: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",false,,CONTRADICTION,widerlegt,"address names Belgien but LIEGT_IN_LAND says Deutschland: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_belgien,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723114395,rel
post03-0013,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118344,gebruiktebouwmaterialen,land_niederlande,LIEGT_IN_LAND,Akteur gebruiktebouwmaterialen liegt in Niederlande,dossier,"address: Plankenstraat 23, 1701 Dilbeek, Belgien",false,,CONTRADICTION,widerlegt,"address names Belgien but LIEGT_IN_LAND says Niederlande: Plankenstraat 23, 1701 Dilbeek, Belgien",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_belgien,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723118344,rel
post03-0014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119774,loeliger_strub,land_schweiz,LIEGT_IN_LAND,Akteur loeliger_strub liegt in Schweiz,dossier,"address: Liège, Wallonie, 4000, België / Belgique / Belgien",false,,CONTRADICTION,widerlegt,"address names Belgien but LIEGT_IN_LAND says Schweiz: Liège, Wallonie, 4000, België / Belgique / Belgien",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_belgien,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119774,rel
post03-0015,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119784,fabian_sauser,land_schweiz,LIEGT_IN_LAND,Akteur fabian_sauser liegt in Schweiz,dossier,"address: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",false,,CONTRADICTION,widerlegt,"address names Belgien but LIEGT_IN_LAND says Schweiz: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_belgien,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119784,rel
post03-0016,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119838,daniel_hoffmann,land_schweiz,LIEGT_IN_LAND,Akteur daniel_hoffmann liegt in Schweiz,dossier,"address: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",false,,CONTRADICTION,widerlegt,"address names Belgien but LIEGT_IN_LAND says Schweiz: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_belgien,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119838,rel
post03-0017,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119842,gian_trachsler,land_schweiz,LIEGT_IN_LAND,Akteur gian_trachsler liegt in Schweiz,dossier,"address: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",false,,CONTRADICTION,widerlegt,"address names Belgien but LIEGT_IN_LAND says Schweiz: Asse, Halle-Vilvoorde, Vlaams-Brabant, Vlaanderen, België / Belgique / Belgien",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_belgien,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119842,rel
post03-0018,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119931,angelika_mettke,land_deutschland,LIEGT_IN_LAND,Akteur angelika_mettke liegt in Deutschland,dossier,https://recreate-project.eu/,false,,CONTRADICTION,widerlegt,"address names Niederlande but LIEGT_IN_LAND says Deutschland: Zwarteweg 1, 8181 PD Heerde, Netherlands",ESCALATE_HUMAN,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_deutschland,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119931,rel
post03-0019,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119940,patrick_teuffel,land_deutschland,LIEGT_IN_LAND,Akteur patrick_teuffel liegt in Deutschland,dossier,https://recreate-project.eu/,false,,CONTRADICTION,widerlegt,"address names Niederlande but LIEGT_IN_LAND says Deutschland: Zwarteweg 1, 8181 PD Heerde, Netherlands",ESCALATE_HUMAN,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_deutschland,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119940,rel
post03-0020,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119945,satu_huuhka,land_finnland,LIEGT_IN_LAND,Akteur satu_huuhka liegt in Finnland,dossier,https://recreate-project.eu/,false,,CONTRADICTION,widerlegt,"address names Niederlande but LIEGT_IN_LAND says Finnland: Zwarteweg 1, 8181 PD Heerde, Netherlands",FIX_PROPERTY,POST-03,Akteur/org node has no address or land property; home country not confirmable from geo files; [IER-C4] project-linked address country != edge land; fix_target=land_niederlande,POST-03,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723119945,rel
