code	name_de	name_en	definition_de
C	Datenverwaltung & Vertrauensinfrastruktur	Data governance and trust infrastructure	Übergeordnete Hürden bei Datenverwaltung, Rollen und Vertrauen in Bauteildaten.
C1	Dateneigentum	Data ownership	Unklarheiten darüber, wem Bauteildaten gehören.
C1.1	Unklarer Bauteildatensatz-Eigentümer	Unclear component-record owner	Unklar, wer Eigentümer des Bauteildatensatzes ist.
C1.2	Unklares Eigentum nach Transfer	Unclear ownership after transfer	Unklar, wem Daten nach einem Eigentumsübergang gehören.
C1.3	Unklare Lieferant-Plattform-Datengrenze	Unclear supplier–platform data boundary	Datengrenze zwischen Lieferant und Plattform ist unklar.
C1.4	Unklares Eigentum abgeleiteter Daten	Unclear ownership of derived data	Eigentum an abgeleiteten oder aggregierten Daten ist unklar.
C1.5	Unklares Eigentum von Inspektionsergebnissen	Unclear ownership of inspection results	Eigentum an Inspektions- und Prüfergebnissen ist unklar.
C2	Datenverantwortung	Data responsibility	Unklarheiten, wer für Bauteildaten verantwortlich ist.
C2.1	Kein zugewiesener Data Steward	No assigned data steward	Kein Data Steward für die Datenpflege benannt.
C2.2	Unklare Datensatz-Erstellungsverantwortung	Unclear record-creation responsibility	Unklar, wer Datensätze erstellen muss.
C2.3	Unklare Prüfverantwortung	Unclear verification responsibility	Unklar, wer Daten prüfen und verifizieren muss.
C2.4	Unklare Korrekturverantwortung	Unclear correction responsibility	Unklar, wer fehlerhafte Daten korrigieren muss.
C2.5	Unklare Zustands-Aktualisierungsverantwortung	Unclear condition-update responsibility	Unklar, wer den Zustand aktualisieren muss.
C2.6	Unklare Zertifizierungs-Aktualisierungsverantwortung	Unclear certification-update responsibility	Unklar, wer Zertifizierungen aktualisieren muss.
C2.7	Unklare Verantwortung nach Einbau	Unclear post-installation responsibility	Unklar, wer nach dem Einbau verantwortlich ist.
C3	Zugriffs-Governance	Access governance	Regelung, wer wann auf welche Daten zugreifen darf.
C3.1	Fehlende rollenbasierte Zugriffskontrolle	Missing role-based access	Keine rollenbasierte Zugriffskontrolle vorhanden.
C3.2	Übermäßige öffentliche Offenlegung	Excessive public disclosure	Zu viele Daten werden öffentlich offengelegt.
C3.3	Eingeschränkter Zugriff auf nötige Nachweise	Restricted access to necessary evidence	Zugriff auf nötige Nachweise ist eingeschränkt.
C3.4	Unklare Zugriffsrechte nach Eigentumsübergang	Unclear access rights after ownership transfer	Zugriffsrechte nach Eigentumsübergang sind unklar.
