"entity_folder","id_folder","frontmatter_entity","title","node_kind","migration_status","came_from","action_done","path"
"akteur","Architects_for_Future_Deutschland","akteur","Architects for Future Deutschland","core","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\Architects_for_Future_Deutschland.md; akteur\08_digitale_plattformen_daten\Abriss_Atlas.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Architects_for_Future_Deutschland\index.md"
"akteur","Architektenkammer_Berlin_A_Wie_Zirkulaer","akteur","Architektenkammer Berlin A Wie Zirkulaer","core","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\Architektenkammer_Berlin_A_Wie_Zirkulaer.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Architektenkammer_Berlin_A_Wie_Zirkulaer\index.md"
"akteur","Arup","akteur","Arup","core","migrated_phase8_promoted_repeated_actor","Gebäude\Brent_Cross_Town_Primary_Substation_London.md; Gebäude\Peoples_Pavilion_Eindhoven.md","Promoted repeated actor label into a canonical akteur node.",".\_graph\akteur\Arup\index.md"
"akteur","baubuero_in_situ_zirkular","akteur","baubüro in situ + Zirkular","core","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\baubuero_in_situ_zirkular.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\baubuero_in_situ_zirkular\index.md"
"akteur","Bauhaus_Erde","akteur","Bauhaus Erde","core","migrated_phase3_core_entities","akteur\03_forschung_lehre_wissenstransfer\Bauhaus_Erde.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Bauhaus_Erde\index.md"
"akteur","Bauteilboerse_Bremen","akteur","Bauteilboerse Bremen","core","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Bauteilboerse_Bremen\index.md"
"akteur","Bauteilboerse_Hannover","akteur","Bauteilbörse Hannover","core","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Bauteilboerse_Hannover\index.md"
"akteur","Bauteilnetz_Deutschland","akteur","Bauteilnetz Deutschland","core","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Bauteilnetz_Deutschland\index.md"
"akteur","BBSR_Zukunft_Bau","akteur","BBSR Zukunft Bau","core","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\BBSR_Zukunft_Bau.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\BBSR_Zukunft_Bau\index.md"
"akteur","BDA_Bund_Deutscher_Architektinnen_Architekten","akteur","BDA Bund Deutscher Architektinnen Architekten","core","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\BDA_Bund_Deutscher_Architektinnen_Architekten.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\BDA_Bund_Deutscher_Architektinnen_Architekten\index.md"
"akteur","Bellastock","akteur","Bellastock","core","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Bellastock.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Bellastock\index.md"
"akteur","BIM_Berlin","akteur","BIM Berlin — vertieftes Forschungsdossier","core","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\BIM_Berlin.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\BIM_Berlin\index.md"
"akteur","BIZH","akteur","BIZH","core","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\BIZH.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\BIZH\index.md"
"akteur","BLAF_Architecten","akteur","BLAF Architecten","core","migrated_phase8_promoted_repeated_actor","Gebäude\gjG_House_Gentbrugge.md; Gebäude\Maison_DnA_Asse.md","Promoted repeated actor label into a canonical akteur node.",".\_graph\akteur\BLAF_Architecten\index.md"
"akteur","Bundesstiftung_Bauakademie","akteur","Bundesstiftung Bauakademie","core","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Bauakademie.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Bundesstiftung_Bauakademie\index.md"
"akteur","Bundesstiftung_Baukultur","akteur","Bundesstiftung Baukultur","core","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Baukultur.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Bundesstiftung_Baukultur\index.md"
"akteur","C2C_NGO","akteur","C2C NGO","core","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\C2C_NGO.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\C2C_NGO\index.md"
"akteur","cepezed","akteur","cepezed","core","migrated_phase8_promoted_repeated_actor","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md; Gebäude\The_Green_House_Utrecht.md","Promoted repeated actor label into a canonical akteur node.",".\_graph\akteur\cepezed\index.md"
"akteur","Circular_Berlin","akteur","Circular Berlin","core","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\Circular_Berlin.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Circular_Berlin\index.md"
"akteur","Circular_Structural_Design","akteur","Circular Structural Design","core","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Circular_Structural_Design.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Circular_Structural_Design\index.md"
"akteur","CITYFOERSTER","akteur","CITYFOERSTER","core","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\CITYFOERSTER.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\CITYFOERSTER\index.md"
"akteur","Cleveland_Steel_and_Tubes","akteur","Cleveland Steel and Tubes","core","migrated_phase8_promoted_repeated_actor","Gebäude\55_Great_Suffolk_Street_London.md; Gebäude\Brent_Cross_Town_Primary_Substation_London.md","Promoted repeated actor label into a canonical akteur node.",".\_graph\akteur\Cleveland_Steel_and_Tubes\index.md"
"akteur","Concular","akteur","Concular — vertieftes Forschungsdossier","core","migrated_phase3_core_entities","akteur\05_reuse_beratung_prozessdienstleister\Concular.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Concular\index.md"
"akteur","Consolis_Parma","akteur","Consolis Parma","core","migrated_phase8_promoted_repeated_actor","Gebäude\Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Gebäude\Lokomotion_Technology_Centre_mini_pilot_Tampere.md; Gebäude\Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md","Promoted repeated actor label into a canonical akteur node.",".\_graph\akteur\Consolis_Parma\index.md"
"akteur","CRCLR_House","akteur","CRCLR House","core","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\CRCLR_House.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\CRCLR_House\index.md"
"akteur","desiree_mann","akteur","Désirée / Desiree Mann — relevance to reuse","core","migrated_phase3_core_entities","person\desiree_mann.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\desiree_mann\index.md"
"akteur","DGNB","akteur","DGNB","core","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\DGNB.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\DGNB\index.md"
"akteur","Dirk_Hebel","akteur","Dirk Hebel","core","migrated_phase3_core_entities","dirk-hebel.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Dirk_Hebel\index.md"
"akteur","Drees_und_Sommer","akteur","Drees & Sommer","core","migrated_phase3_core_entities","akteur\05_reuse_beratung_prozessdienstleister\Drees_und_Sommer.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Drees_und_Sommer\index.md"
"akteur","ellen_macarthur","akteur","Dame Ellen MacArthur — relevance to reuse","core","migrated_phase3_core_entities","person\ellen_macarthur.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\ellen_macarthur\index.md"
"akteur","EPEA","akteur","EPEA","core","migrated_phase3_core_entities","akteur\05_reuse_beratung_prozessdienstleister\EPEA.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\EPEA\index.md"
"akteur","fred_mudge","akteur","Fred Mudge — relevance to reuse","core","migrated_phase3_core_entities","person\fred_mudge.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\fred_mudge\index.md"
"akteur","gj_bart_van_den_brink","akteur","G.J. / Bart van den Brink — relevance to reuse","core","migrated_phase3_core_entities","person\gj_bart_van_den_brink.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\gj_bart_van_den_brink\index.md"
"akteur","Haus_der_Materialisierung","akteur","Haus der Materialisierung","core","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\Haus_der_Materialisierung.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Haus_der_Materialisierung\index.md"
"akteur","Huetten_und_Palaeste","akteur","Huetten_und_Palaeste","core","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Huetten_und_Palaeste.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Huetten_und_Palaeste\index.md"
"akteur","IfM_Initiativen_fuer_Materialkreislaeufe","akteur","IfM – Initiativen für Materialkreisläufe","core","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\IfM_Initiativen_fuer_Materialkreislaeufe.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\IfM_Initiativen_fuer_Materialkreislaeufe\index.md"
"akteur","IMd_Raadgevende_Ingenieurs","akteur","IMd Raadgevende Ingenieurs","core","migrated_phase8_promoted_repeated_actor","Gebäude\BioPartner_5_Leiden_Oegstgeest.md; Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md; Gebäude\Montessori_Maassluis.md","Promoted repeated actor label into a canonical akteur node.",".\_graph\akteur\IMd_Raadgevende_Ingenieurs\index.md"
"akteur","Kerstin_Mueller","akteur","Kerstin Müller","core","migrated_phase3_core_entities","kerstin-müller.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Kerstin_Mueller\index.md"
"akteur","Kunst_Stoffe_Berlin","akteur","Kunst-Stoffe Berlin","core","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\Kunst_Stoffe_Berlin.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Kunst_Stoffe_Berlin\index.md"
"akteur","Lendager","akteur","Lendager","core","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Lendager.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Lendager\index.md"
"akteur","Lindner_Group_ReUsed_Products","akteur","Lindner Group ReUsed Products","core","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Lindner_Group_ReUsed_Products.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Lindner_Group_ReUsed_Products\index.md"
"akteur","LXSY_Architektur","akteur","LXSY Architektur","core","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\LXSY_Architektur.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\LXSY_Architektur\index.md"
"akteur","Madaster","akteur","Madaster — vertieftes Forschungsdossier","core","migrated_phase3_core_entities","akteur\08_digitale_plattformen_daten\Madaster.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Madaster\index.md"
"akteur","Material_Mafia","akteur","Material Mafia","core","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\Material_Mafia.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Material_Mafia\index.md"
"akteur","Nachhaltiges_Bauen","akteur","Nachhaltiges Bauen","core","migrated_phase3_core_entities","nachhaltiges-bauen.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Nachhaltiges_Bauen\index.md"
"akteur","Natural_Building_Lab","akteur","B(e) Ware / Natural Building Lab — vertieftes Forschungsdossier","core","migrated_phase3_core_entities","akteur\03_forschung_lehre_wissenstransfer\Natural_Building_Lab.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Natural_Building_Lab\index.md"
"akteur","PARABASE","akteur","PARABASE — vertieftes Forschungsdossier","core","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\PARABASE.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\PARABASE\index.md"
"akteur","patrick_teuffel","akteur","Patrick Teuffel — relevance to reuse","core","migrated_phase3_core_entities","person\patrick_teuffel.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\patrick_teuffel\index.md"
"akteur","Phase_Nachhaltigkeit","akteur","Phase Nachhaltigkeit","core","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\Phase_Nachhaltigkeit.md","Migrated or canonicalized a core entity/platform/actor from old files.",".\_graph\akteur\Phase_Nachhaltigkeit\index.md"
