slug,title,action,countries,operator,platform_type,url_count,uncertain_sections,semantic_matches,candidate_roles,candidate_model
articonnex,Articonnex,create_new_materialhub_actor,Frankreich,Articonnex,Online-Shop / Anti-Gaspillage-Marktplatz für Bau- und Renovierungsmaterial,3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
backacia,Backacia,create_new_materialhub_actor,Frankreich,Backacia,B2B-Marktplatz und Beratungs-/Begleitplattform für wiederverwendbare Baustoffe,3,Daten je Bauteil; Qualität / Prüfung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
baticycle,Bâticycle,create_new_materialhub_actor,Frankreich,Bâticycle,Shop/Plattform für second œuvre und wiederaufbereitete Materialien,3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
batiterre,BatiTerre,create_new_materialhub_actor,Belgien,BatiTerre,"Online-Shop plus Reuse-Läden und Dienstleistungen für Demontage, Aufbereitung und Wiedereinbau",4,Daten je Bauteil; Logistik / Lagerung; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
batrecup,BatRecup,create_new_materialhub_actor,Frankreich,BatRecup,Community-Plattform / App für gebrauchte Bau- und Renovierungsmaterialien,3,Daten je Bauteil; Qualität / Prüfung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
baukarussell,BauKarussell,update_existing_materialhub_actor,Österreich,BauKarussell; Netzwerk-/Social-Urban-Mining-Struktur,Social-Urban-Mining-Dienstleister mit digitalem Bauteilkatalog/Plattformen,3,Daten je Bauteil; Qualität / Prüfung; Geschäftsmodell,baukarussell,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment; ar_bildung_wissenstransfer,Akteur; Materialdepot_or_physical_inventory
bauteilboerse-bremen,Bauteilbörse Bremen,update_existing_materialhub_actor,Deutschland,bauteilbörse bremen; Kooperationsbezug zur Bremer Stadtreinigung; genaue Rechtsform auf den verwendeten Quellen nicht durchgängig angegeben,regionale Bauteilbörse mit physischem Lager und Online-Katalog,5,Betreiber; Geschäftsmodell; Ökologische Bewertung,bauteilboerse_bremen,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
bauteilladen-winterthur,Bauteilladen Winterthur,update_existing_materialhub_actor,Schweiz,Bauteilladen Winterthur; genaue Rechtsform nicht angegeben,Online-Marktplatz plus physischer Laden für Secondhand-Bauteile,4,Betreiber; Daten je Bauteil; Qualität / Prüfung; Geschäftsmodell; Ökologische Bewertung,bauteilladen_winterthur; det_bbd8e09d7c5c5003faddb57b,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
bauteilnetz-deutschland,Bauteilnetz Deutschland,reconcile_existing_network_context,Deutschland,Bundesverband bauteilnetz Deutschland e. V. / Netzwerk regionaler Bauteilbörsen,bundesweites Netzwerk mit virtuellen Bauteilkatalogen regionaler Bauteilbörsen,3,Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,bauteilnetz_deutschland,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment; ar_bildung_wissenstransfer,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
building-spares-market,Building Spares Market,create_new_materialhub_actor,Vereinigtes Königreich,Building Spares Market; genaue Rechtsform nicht angegeben,kostenlose Kleinanzeigenplattform für spare and second-hand building supplies,4,Betreiber; Daten je Bauteil; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Materialdepot_or_physical_inventory
cornermat-retrival,Cornermat / Retrival,create_new_materialhub_actor,Belgien,Retrival / Cornermat,Online-Shop/Materialbörse für wiederverwendbare Baustoffe,3,Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
cycle-up,Cycle Up,create_new_materialhub_actor,Frankreich,Cycle Up,professioneller Marktplatz für Wiederverwendung plus Beratungs-/Auditdienstleistungen,4,Daten je Bauteil; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade
cycle-zero,Cycle Zéro,create_new_materialhub_actor,Frankreich,Cycle Zéro,mobile App / Plattform zur kostenlosen Bergung von Baustellenmaterialien,3,Bauteilkategorien; Daten je Bauteil; Qualität / Prüfung; Logistik / Lagerung; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_reuse_zirkularitaetsberatung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
enviromate,Enviromate,create_new_materialhub_actor,Vereinigtes Königreich,Enviromate Reuse Ltd laut Website-Footer,"Marketplace für leftover building materials; Kauf, Verkauf und Spende",3,Daten je Bauteil; Geschäftsmodell; Ökologische Bewertung,,ar_materiallieferung_markt; ar_software_digitalisierung; ar_rueckbau_bauteilernte_logistik; ar_aufbereitung_refurbishment,Akteur; Software_or_Tool_facade; Materialdepot_or_physical_inventory
