"typed_path","title","proposal_class","recommended_handling","possible_final_targets","reason","source_index"
"bauteiltyp/Holzrahmenelement","Holzrahmenelement","system_vs_component","defer_until_source_context","bausystem/Holzrahmenbau or bauteiltyp/Wand or bauteiltyp/Platte_Paneel","Can mean timber-frame building system or an individual wall/panel element.","_manual_review/nodes/bauteiltyp/Holzrahmenelement/index.md"
"bauteiltyp/Treppenwange","Treppenwange","component_subtype","merge_or_exact_component_after_context","bauteiltyp/Treppe or bauteiltyp/Traeger","Could be stair component or load-bearing stringer; function decides target.","_manual_review/nodes/bauteiltyp/Treppenwange/index.md"
"datenmodell/Gebaeuderessourcenpass","Concular â€” vertieftes Forschungsdossier","model_document_tool_mixed","clean_and_split_later","datenmodell/Gebaeuderessourcenpass_Schema; software_digitaltool/Concular; akteur/Concular","Type can be valid, but current content is a Concular profile, not a clean data model node.","_manual_review/nodes/datenmodell/Gebaeuderessourcenpass/index.md"
"dokumenttyp/Gebaeuderessourcenpass","Madaster â€” vertieftes Forschungsdossier","document_model_tool_mixed","clean_and_split_later","dokumenttyp/Gebaeuderessourcenpass; datenmodell/Gebaeuderessourcenpass_Schema; software_digitaltool/Madaster","Document type is valid, but current content mixes Madaster/DGNB/source profiles.","_manual_review/nodes/dokumenttyp/Gebaeuderessourcenpass/index.md"
"fuegung_verbindung/Beton_Fertigteile_Verbindungen","Verbindungen im Betonbau / Fertigteile","connection_overview","do_not_import_as_atomic_connection","methode/Verbindungen_im_Betonfertigteilbau or atomic fuegung_verbindung/*","Material/system-specific overview, not one connection principle.","_manual_review/nodes/fuegung_verbindung/Beton_Fertigteile_Verbindungen/index.md"
"fuegung_verbindung/Composite_Verbindungen","Verbindungen im Verbundbau","connection_overview","do_not_import_as_atomic_connection","methode/Verbindungen_im_Verbundbau or atomic fuegung_verbindung/*","Composite connection overview belongs to method/how unless split into atomic connection types.","_manual_review/nodes/fuegung_verbindung/Composite_Verbindungen/index.md"
"fuegung_verbindung/Holz_Verbindungen","Verbindungen im Holzbau","connection_overview","do_not_import_as_atomic_connection","methode/Verbindungen_im_Holzbau or atomic fuegung_verbindung/*","Timber connection overview belongs to method/how unless split into screws, plugs, glue, etc.","_manual_review/nodes/fuegung_verbindung/Holz_Verbindungen/index.md"
"fuegung_verbindung/Stahl_Verbindungen","Verbindungen im Stahlbau","connection_overview","do_not_import_as_atomic_connection","methode/Verbindungen_im_Stahlbau or atomic fuegung_verbindung/*","Steel connection overview belongs to method/how unless split into welds, bolts, clamps, etc.","_manual_review/nodes/fuegung_verbindung/Stahl_Verbindungen/index.md"
"fuegung_verbindung/Stahlseil","Stahlseil","wrong_entity_component_material","defer_until_component_knot_decision","bauteiltyp/Zugglied_Seil or material/Stahl","A steel cable is usually a tension component/material fact, not a connection principle.","_manual_review/nodes/fuegung_verbindung/Stahlseil/index.md"
"reuse_strategie/Temporaerer_Wiedereinbau","Temporaerer Wiedereinbau","strategy_status_overlap","defer_until_strategy_status_rule","reuse_einsatzstatus/Temporaer plus reuse_strategie/Direkte_Wiederverwendung if applicable","Temporary reuse is status-like and may also be a strategy pattern; avoid double counting.","_manual_review/nodes/reuse_strategie/Temporaerer_Wiedereinbau/index.md"
"zertifizierung_bewertungssystem/DGNB","DGNB","valid_system_mixed_content","clean_content_then_possible_import","zertifizierung_bewertungssystem/DGNB","DGNB is a valid rating system, but mixed resource-pass content must be stripped before import.","_manual_review/nodes/zertifizierung_bewertungssystem/DGNB/index.md"
