"source","case_id","legacy_path","value","relationship","confidence_source","note","raw_label","reason"
"reuse_einsatz/Brighton_Waste_House_Brighton__003__Sperrholz_ply_sheets","","","","","","","Sperrholz / ply sheets | Holzwerkstoff | Plattenmaterial | Wand-/Kassetten-/Ausbauschicht | Stabilität, Brandschutz | Produktdaten fehlen","no_konstruktion_token_match"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__003__Bodenpaneele","","","","","","","Bodenpaneele | CLST | Boden-/Deckenelement im Pilotbau | Biegung, Gebrauchstauglichkeit | Nachweis sekundärer Lamellen","no_konstruktion_token_match"
"reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","","","","","","","Granitbordsteine | Granit | Bordstein | Stützmauer am Gemüsegarten | Stabilität, Dauerhaftigkeit | Logistik / Gewicht","no_konstruktion_token_match"
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__006__Betriebsgeb_ude","","","","","","","Betriebsgebäude | neue + gebrauchte Elemente | Verwaltungs-/Personalbereich | Wärme/Brand/Schall | beheizte Hülle aus Reuse-Bauteilen anspruchsvoll","no_konstruktion_token_match"
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__002__Profilbleche_Verbunddecken","","","","","","","Profilbleche Verbunddecken | Stahlblech | Deckenelement | Verbunddecken/Deckenaufbau | Tragfähigkeit/Brandschutz","no_konstruktion_token_match"
"reuse_einsatz/Kamikatsu_Zero_Waste_Center_Hotel_WHY__006__Au_enwand_Receiving_wall_Elemente","","","","","","","Außenwand-/Receiving-wall-Elemente | alte Rathauswandteile | Wand | exterior receiving wall | Stabilität, Feuchte | konstruktive Integration","no_konstruktion_token_match"
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__004__Aussteifung","","","","","","","Aussteifung | Stahlstäbe | Dach-Diaphragma und vertikale Zugverbände | laterale Kräfte","no_konstruktion_token_match"
"reuse_einsatz/gjG_House_Gentbrugge__002__Dach","","","","","","","Dach | Material unbekannt | Abschluss; wird von Schale getragen | Lastabtragung/Witterung | Anschlussdetails","no_konstruktion_token_match"
"","Broethen_Twin_House_Hoyerswerda","Gebäude\Broethen_Twin_House_Hoyerswerda.md","","","","","Nachweise | nicht belegt.","no_konstruktion_token_match_or_unusable_label"
"","Christ_Pavilion_Volkenroda","Gebäude\Christ_Pavilion_Volkenroda.md","","","","","modulares, demontier- und wieder zusammensetzbares System | Grundlage der Translozierung | modulare Konstruktion","no_konstruktion_token_match_or_unusable_label"
"","KA13_Kristian_Augusts_gate_13_Oslo","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","","","","","Nicht eindeutig in verfügbaren Quellen | Rådgiver ombruk: Asplan Viak / Insenti","no_konstruktion_token_match_or_unusable_label"
"","KA13_Kristian_Augusts_gate_13_Oslo","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md","","","","","bestehendes Stahlstützensystem + donor HCS/Steel | Bestand + Erweiterung | Bestand nicht als Direct Reuse zählen","no_konstruktion_token_match_or_unusable_label"
"","Kindergarten_Moeoeslistrasse_Manegg_Zuerich","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md","","","","","Ingenieurbureau Heierli AG | Bauingenieurwesen | technische Details unbekannt","no_konstruktion_token_match_or_unusable_label"
"","Maison_Vignette_Auderghem","Gebäude\Maison_Vignette_Auderghem.md","","","","","Holzrahmen / Holzstützen und -träger, Strohballen-Füllung | Haupttragwerk, nicht Reuse | Neubau-Tragwerk.","no_konstruktion_token_match_or_unusable_label"
"","ReCrete_footbridge_reused_concrete_blocks","Gebäude\ReCrete_footbridge_reused_concrete_blocks.md","","","","","10-m-spannender, nachgespannter segmentierter Bogen | neue tragende Konstruktion | Spannweite 10 m, Stich 1,20 m, Breite 1,20 m","no_konstruktion_token_match_or_unusable_label"
"","Villa_Welpeloo_Enschede","Gebäude\Villa_Welpeloo_Enschede.md","","","","","Nico Plukkel | Tragwerksplanung | Quelle Architectuurgids","no_konstruktion_token_match_or_unusable_label"
