"typed_path","entity","id","review_class","incoming_edge_review_count","outgoing_edge_review_count","total_edge_review_count","top_raw_labels","reason","recommended_decision"
"material/Metall","material","Metall","broad_material_fallback","46","0","46","Metall | Metall, Elektrokomponenten | Holz/Metall/Glas unbekannt | Metall / unbekannt | Photovoltaik/Metall | Keramik/Metall | Metall/Glas | Stahl/Metall","Broad fallback when exact metal is unknown; prefer Stahl/Aluminium when known.","Do not approve as clean material unless exact metal is unknown and source truly says only Metall. Prefer Stahl, Aluminium, Sekundaerstahl, or keep edge in review."
"huerde/Performance_Nachweis","huerde","Performance_Nachweis","broad_barrier_fallback","33","0","33","Leistungsnachweis | Akzeptanz Installateur, Gewährleistung | Eignung als Baufolie | experimentelle Eignung | fehlendes Werkszeugnis; Gewährleistung; Zeit/Kosten | Brandschutz/Energieanforderungen komplizierter als Sanitär | Dichtheit, Befestigung | Gewährleistung","Barrier is missing/uncertain proof, not the proof type itself.","Separate barrier from proof: use huerde/Technische_Freigabe or pruefung_nachweis/leistungsanforderung node."
"bauteiltyp/Tragstruktur","bauteiltyp","Tragstruktur","wrong_scale_or_structural_system","28","0","28","Dachgarten-Tragunterbau | Concrete slab on metal deck / composite framing | Aussteifung / bracing members | Tragwerksrahmen / Balken / Stützen | Holzrahmen / Dachtragwerk | Dachtragwerk Christusraum | Holzstruktur | Betonhallen / Tragstruktur","Use only when the source names a structural assembly without precise component or system.","Resolve to specific bauteiltyp, tragwerkstyp, or tragwerksprinzip; avoid generic component import."
"bauteiltyp/Bauwerksteil","bauteiltyp","Bauwerksteil","wrong_scale_or_structural_system","27","0","27","Bestandslagerhaus | Garage / Schuppen / Außenmauern | Ramp / pier components | Concrete-block garage wing | gesamtes Pavillonensemble | Kreuzgang | Krypta, Kolonnade, Wasserbecken | Holzgalerie / Innenausbau","Whole building parts are object scale, not component type; create bauobjekt/beteiligung if concrete.","Resolve to bauobjekt, bauobjektrolle, or a precise bauteiltyp depending on source scale."
"huerde/Logistikproblem","huerde","Logistikproblem","broad_barrier_fallback","20","0","20","Passung, Transport, Glaszustand | Programm-/Lieferkettenprobleme bei reclaimed doors | Transport, Gewicht, Einpassung | heavy lifting / transport | Transportgewicht | Transport/Montage | Fügung/Transport | Bruch/Transport","Correct broad barrier when exact logistics issue is unknown.","Resolve to concrete hurdle such as Terminunsicherheit, Fehlende_Lagerflaeche, Verfuegbarkeitsproblem, or keep review."
"bauteiltyp/Fliese","bauteiltyp","Fliese","component_scope_unclear","16","0","16","Teppichfliesen | Austernschalen-Wandfliesen | Bodenpflaster / Bruseleye tiles | Wandfliesen | Fliesen / Fayence | textile / rezyklierte Fasern | Innere Oberflächen: Mosaikfliesen/Terrazzo | Fliesen unter Traufe / Regenfänger-Rand","Tile can be floor or wall; needs case context.","Resolve as bauteiltyp/Boden or bauteiltyp/Wand plus material/Keramik if context is clear."
"bauteiltyp/Kueche","bauteiltyp","Kueche","component_scope_unclear","8","0","8","Feste Einbauten/Küchenteile | Kaffeesatz-Arbeitsplatte | Schalter/Counter | gebrauchte Küche | Terrazzo-Arbeitsflächen / Küchenflächen | Küche / Küchenunit | TGA / Küche / Solar | Küchenblöcke","Built-in kitchen is fixed fit-out, not a separate core component family.","Usually fit-out: prefer bauteiltyp/Festes_Einbauteil or boundary logic if furniture/non-direct-reuse."
"bauteiltyp/Landschaftselement","bauteiltyp","Landschaftselement","component_scope_unclear","8","0","8","Landscape / elevated landscape elements | vertikaler Pflanzenfilter / Bäume | Pflanztröge | Park / Außenraum | Skatepark-Flächen | Fahrradständer | Boden/Decken aus Gellerupparken | Eichenparkett","Useful for outdoor reuse cases, but outside main building-component scope.","Review source text and map to strongest real-world type before import."
"bauteiltyp/Bruestung","bauteiltyp","Bruestung","component_scope_unclear","7","0","7","Gerüstrohre als Rampen/Geländer/Balustraden | Balustraden | Brüstungen / parapets | Gitterroste / Brüstungsgitter | Pier-Balustraden / Deck | Geländer / Brüstungsgeländer | Brüstungen / Borstweringen","Bruestung can be guardrail/parapet/facade edge; needs case context.","Resolve to bauteiltyp/Gelaender, Fassade, or parapet-like component based on case context."
"bauteiltyp/Kern","bauteiltyp","Kern","wrong_scale_or_structural_system","5","0","5","Stahlprofile für neuen externen Kern | Brückenlinks zum Kern | Fassadenbekleidung externer Kern | Hohlkörperdecken / hollow-core slabs | Hohlkörperdecken / hollow core slabs","Structural core is usually a structural principle/system, not a reusable component type.","Usually structural core: prefer tragwerkstyp/tragwerksprinzip or precise component if source is concrete."
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","datenpunkt","Timber_Square_London__001__Wiederverwendete_Stahltr_ger","datapoint_conflicts_with_reuse_item","0","5","5","Timber_Square_London | fallstudie/Timber_Square_London | Wiederverwendete Stahlträger","Same ID as a reuse item; a datenpunkt must be a value, not a component.","Do not import as datenpunkt until it is converted to a measured value with unit/scope."
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","datenpunkt","ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","datapoint_conflicts_with_reuse_item","0","4","4","ELYS_Kultur_Gewerbehaus_Basel | fallstudie/ELYS_Kultur_Gewerbehaus_Basel | Fenster","Same ID as a reuse item; a datenpunkt must be a value, not a component.","Do not import as datenpunkt until it is converted to a measured value with unit/scope."
"material/Guss","material","Guss","ambiguous_material_or_boundary","4","0","4","Mauerwerk, Gusseisen, Holz, Stahlfenster u. a. | Guss/Stahl | Guss | Guss/Stahl, unbekannt","`Guss` is too ambiguous without knowing cast iron, cast steel, etc.","Resolve to Gusseisen, Stahlguss, or another exact material; otherwise keep in review."
"material/Erde","material","Erde","ambiguous_material_or_boundary","3","0","3","gepresste Erde | Erde | Stroh, Erde","Construction-earth context may mean Lehm; keep exact only if source needs it.","Resolve to Lehm when construction-earth context is clear; otherwise keep source label only."
"bauteiltyp/Auflager_Widerlager","bauteiltyp","Auflager_Widerlager","component_scope_unclear","2","0","2","Plattenauflager | Widerlager / Auflager","Real structural support element, but may overlap with infrastructure/foundation context.","Review source text and map to strongest real-world type before import."
"material/Recyclingbeton","material","Recyclingbeton","ambiguous_material_or_boundary","1","0","1","Recyclingbeton","It is material, but do not count as direct reuse; link to recycling strategy.","Treat as material only with recycling boundary; link to reuse_strategy/Recycling and do not count as Direct Reuse."
"bauteiltyp/Holzrahmenelement","bauteiltyp","Holzrahmenelement","component_scope_unclear","0","0","0","","Could describe a building system or a wall/panel element.","Resolve to bausystem/Holzrahmenbau or bauteiltyp/Wand/Platte_Paneel depending on reuse object."
"bauteiltyp/Treppenwange","bauteiltyp","Treppenwange","component_scope_unclear","0","0","0","","Could be structural member or stair component depending on old/new function.","Review source text and map to strongest real-world type before import."
"datenmodell/Gebaeuderessourcenpass","datenmodell","Gebaeuderessourcenpass","model_document_system_mixed_content","0","0","0","","Final type is valid, but current content is a Concular profile and must be cleaned.","Clean content first; separate data model from tool/vendor/project profile."
"dokumenttyp/Gebaeuderessourcenpass","dokumenttyp","Gebaeuderessourcenpass","model_document_system_mixed_content","0","0","0","","Correct document type, but current content mixes Madaster/DGNB source profiles.","Clean content first; keep as document type only, not software or certification system."
"fuegung_verbindung/Beton_Fertigteile_Verbindungen","fuegung_verbindung","Beton_Fertigteile_Verbindungen","connection_overview_not_atomic_connection","0","0","0","","This is a material/system-specific how-to topic, not one connection type.","Split into atomic connection types or move overview content into method/source notes."
"fuegung_verbindung/Composite_Verbindungen","fuegung_verbindung","Composite_Verbindungen","connection_overview_not_atomic_connection","0","0","0","","Material-specific connection overview belongs to method/how, not controlled connection knot.","Split into atomic connection types or move overview content into method/source notes."
"fuegung_verbindung/Holz_Verbindungen","fuegung_verbindung","Holz_Verbindungen","connection_overview_not_atomic_connection","0","0","0","","Material-specific connection overview belongs to method/how, not controlled connection knot.","Split into atomic connection types or move overview content into method/source notes."
"fuegung_verbindung/Stahl_Verbindungen","fuegung_verbindung","Stahl_Verbindungen","connection_overview_not_atomic_connection","0","0","0","","Material-specific connection overview belongs to method/how, not controlled connection knot.","Split into atomic connection types or move overview content into method/source notes."
"fuegung_verbindung/Stahlseil","fuegung_verbindung","Stahlseil","connection_overview_not_atomic_connection","0","0","0","","A steel cable is usually a component/tension element, not a connection principle.","Split into atomic connection types or move overview content into method/source notes."
"reuse_strategie/Temporaerer_Wiedereinbau","reuse_strategie","Temporaerer_Wiedereinbau","strategy_status_overlap","0","0","0","","Valid strategy/status-like reuse pattern; link also to `reuse_einsatzstatus/Temporaer`.","Decide whether strategy, status, or both; likely pair with reuse_einsatzstatus/Temporaer."
"zertifizierung_bewertungssystem/DGNB","zertifizierung_bewertungssystem","DGNB","model_document_system_mixed_content","0","0","0","","DGNB rating system is valid; resource-pass content should move to document/model nodes.","Valid system, but strip resource-pass mixed content before import."
