"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"fallstudie/55_Great_Suffolk_Street_London","located_in_ort","ort/Southwark","Southwark, London, UK","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\55_Great_Suffolk_Street_London.md"
"fallstudie/AWM_Muenster_Circular_Office","located_in_ort","ort/Muenster","Münster, Rösnerstraße","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\AWM_Muenster_Circular_Office.md"
"fallstudie/Association_house_Groeditz","located_in_ort","ort/Groeditz","Gröditz, Deutschland","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\Association_house_Groeditz.md"
"fallstudie/Association_house_Plauen","located_in_ort","ort/Plauen","Plauen, Deutschland","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\Association_house_Plauen.md"
"fallstudie/BedZED_London_Hackbridge","located_in_ort","ort/Hackbridge","Hackbridge / Wallington, London Borough of Sutton, UK","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\BedZED_London_Hackbridge.md"
"fallstudie/Berlin_Schildow_Pilot_House","located_in_ort","ort/Schildow","Schildow, Brandenburg/Berliner Umland, Deutschland","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\Berlin_Schildow_Pilot_House.md"
"fallstudie/Berlin_Schildow_Pilot_House_2","located_in_ort","ort/Schildow","Schildow, Brandenburg, nördlich von Berlin","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\Berlin_Schildow_Pilot_House_2.md"
"fallstudie/Bestandverplanzung_Pavilion_Muenchen","located_in_ort","ort/Muenchen","München, Deutschland","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\Bestandverplanzung_Pavilion_Muenchen.md"
"fallstudie/Big_Dig_Building_Boston","located_in_ort","ort/Boston","Boston / Cambridge / North Cambridge, MA, USA","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\Big_Dig_Building_Boston.md"
"fallstudie/Big_Dig_House_Lexington_Massachusetts","located_in_ort","ort/Lexington","Lexington, Massachusetts, USA","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\Big_Dig_House_Lexington_Massachusetts.md"
"fallstudie/BioPartner_5_Leiden_Oegstgeest","located_in_ort","ort/Leiden","Limes 7 / Leiden Bio Science Park, Oegstgeest/Leiden","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"fallstudie/BlueCity_Offices_Rotterdam","located_in_ort","ort/Rotterdam","Rotterdam, Maasboulevard","rule_high","table_50f_located_in_ort_entity_mapping","Gebäude\BlueCity_Offices_Rotterdam.md"
