code	name_de	name_en	definition_de
E	Wirtschaftlichkeit & Marktreife	Economic and market viability	Wirtschaftliche und marktbezogene Hemmnisse für digital gestützte Wiederverwendung.
E1	Digitale Implementierungskosten	Digital implementation costs	Kosten für Aufbau und Betrieb der digitalen Wiederverwendungsinfrastruktur.
E1.1	Vermessungskosten	Surveying cost	Kosten der Bestandsvermessung vor Ort.
E1.2	Scan-Kosten	Scanning cost	Kosten des digitalen Scannens von Gebäuden oder Bauteilen.
E1.3	BIM-Modellierungskosten	BIM modeling cost	Kosten der Erstellung digitaler BIM-Modelle.
E1.4	Softwareentwicklungskosten	Software-development cost	Kosten der Entwicklung von Plattform- oder Anwendungssoftware.
E1.5	Softwarelizenzkosten	Software-license cost	Laufende Kosten für Softwarelizenzen.
E1.6	Integrationskosten	Integration cost	Kosten der Integration verschiedener Systeme.
E1.7	Datenbereinigungskosten	Data-cleaning cost	Kosten der Bereinigung fehlerhafter Daten.
E1.8	Prüfkosten	Verification cost	Kosten der Prüfung und Verifikation von Angaben.
E1.9	Cybersicherheitskosten	Cybersecurity cost	Kosten für Cybersicherheitsmaßnahmen.
E1.10	Schulungskosten	Training cost	Kosten der Schulung von Personal.
E1.11	Hosting-/Wartungskosten	Hosting and maintenance cost	Laufende Kosten für Hosting und Wartung.
E2	Begrenzte Finanzkraft	Limited financial capacity	Begrenzte finanzielle Mittel der beteiligten Akteure.
E2.1	KMU-Finanzierungsengpässe	SME funding constraints	Finanzierungsengpässe kleiner und mittlerer Unternehmen.
E2.2	Kommunale Finanzierungsengpässe	Municipal funding constraints	Begrenzte Haushaltsmittel von Kommunen.
E2.3	Engpässe kleiner Reuse-Händler	Small reuse-dealer constraints	Begrenzte Mittel kleiner Reuse-Händler.
E2.4	Begrenzte Eigentümer-Investition	Limited owner investment	Geringe Investitionsbereitschaft der Eigentümer.
E2.5	Ökonomie geringwertiger Bauteile	Low-value component economics	Unwirtschaftlichkeit geringwertiger Bauteile.
E3	Schwache Anreize	Weak incentives	Fehlende wirtschaftliche Anreize für Wiederverwendung.
E3.1	Billige Entsorgung	Cheap disposal	Niedrige Entsorgungskosten machen Reuse unattraktiv.
E3.2	Billige Neuprodukte	Cheap new products	Niedrige Preise für Neuprodukte.
E3.3	Umweltkosten nicht eingepreist	Environmental costs not reflected in prices	Umweltkosten sind nicht in Preisen abgebildet.
E3.4	Keine Belohnung für Produktdaten-Erstellung	No reward for creating product data	Kein Anreiz für das Erstellen von Produktdaten.
E3.5	Keine Belohnung für Lebenszyklus-Aktualisierung	No reward for updating lifecycle information	Kein Anreiz für das Aktualisieren von Lebenszyklusdaten.
E3.6	Keine Wiederverwendungs-Beschaffungspflicht	No reuse procurement requirement	Keine Pflicht zur Beschaffung wiederverwendeter Produkte.
E4	Unsichere Plattform-Rendite	Uncertain platform return	Unsicherheit über die Rentabilität von Plattformen.
E4.1	Unklares Erlösmodell	Unclear revenue model	Unklares Modell zur Erlösgenerierung.
E4.2	Unsichere Transaktionsprovision	Uncertain transaction commission	Unsichere Einnahmen aus Transaktionsprovisionen.
E4.3	Unsichere Abonnement-Nachfrage	Uncertain subscription demand	Unsichere Nachfrage nach Abonnements.
E4.4	Unsicherer Wert des Wirkungs-Reportings	Uncertain value of impact reporting	Unsicherer wirtschaftlicher Wert von Wirkungsberichten.
E4.5	Unsichere vermiedene-Kosten-Vorteile	Uncertain avoided-cost benefits	Unsichere Vorteile aus vermiedenen Kosten.
E4.6	Plattformwert auf verschiedene Akteure verteilt	Platform value distributed across different actors	Plattformnutzen verteilt sich auf verschiedene Akteure.
E5	Unreife Reuse-Märkte	Immature reuse markets	Unreife und dünne Märkte für wiederverwendete Produkte.
E5.1	Begrenzte Käufernachfrage	Limited buyer demand	Geringe Nachfrage auf Käuferseite.
E5.2	Unregelmäßiges Angebot	Irregular supply	Unregelmäßiges und unplanbares Angebot.
E5.3	Begrenzter geografischer Marktzugang	Limited geographic market access	Begrenzter Zugang zu regionalen Märkten.
E5.4	Geringes Transaktionsvolumen	Low transaction volume	Geringes Volumen abgeschlossener Transaktionen.
E5.5	Schwache Preistransparenz	Weak price transparency	Fehlende Transparenz über Marktpreise.
E5.6	Inkonsistente Produktqualität	Inconsistent product quality	Uneinheitliche Qualität der angebotenen Produkte.
E5.7	Schwache Gewährleistungsverfügbarkeit	Weak warranty availability	Kaum verfügbare Gewährleistung für Reuse-Produkte.
E6	Netzwerkdichte-Grenzen	Platform network-density constraints	Zu geringe Netzwerkdichte auf Plattformen.
E6.1	Zu wenige aktive Anbieter	Too few active suppliers	Zu wenige aktive Anbieter auf der Plattform.
E6.2	Zu wenige aktive Käufer	Too few active buyers	Zu wenige aktive Käufer auf der Plattform.
E6.3	Zu wenige vollständige Listungen	Too few complete listings	Zu wenige vollständig ausgefüllte Listungen.
E6.4	Zu wenige erfolgreiche Matches	Too few successful matches	Zu wenige erfolgreich vermittelte Angebote.
E6.5	Zu wenige Wiederholungstransaktionen	Too few repeat transactions	Zu wenige wiederholte Transaktionen.
E6.6	Unzureichende regionale Dichte	Insufficient regional density	Unzureichende Anbieter- und Käuferdichte in der Region.
F	Regulierung, Konformität & Risiko	Regulation, compliance, and risk	Hemmnisse aus Regulierung, Konformitätsnachweisen und rechtlichen Risiken.
F1	Regulatorische Unsicherheit	Regulatory uncertainty	Unsicherheit über geltende regulatorische Anforderungen.
F1.1	Unzureichende reuse-spezifische Regulierung	Insufficient reuse-specific regulation	Fehlende auf Wiederverwendung zugeschnittene Regulierung.
F1.2	Inkonsistente nationale/regionale Regeln	Inconsistent national or regional rules	Uneinheitliche Regeln zwischen Ländern oder Regionen.
F1.3	Unklarer Produkt-vs-Abfall-Status	Unclear product-versus-waste status	Unklar, ob ein Bauteil Produkt oder Abfall ist.
F1.4	Unklare Regeln für Second-Life-Produkte	Unclear rules for second-life products	Unklare Regeln für Produkte im zweiten Lebenszyklus.
F1.5	Sich entwickelnde Digital-Product-Passport-Regeln	Evolving Digital Product Passport rules	Sich noch entwickelnde Regeln zum Digitalen Produktpass.
F1.6	Produktkategorie-spezifische regulatorische Unterschiede	Product-category-specific regulatory differences	Unterschiedliche Regulierung je Produktkategorie.
F2	Dokumentations-Konformität	Documentation compliance	Fehlende Nachweise für die Konformität von Bauteilen.
F2.1	Fehlende Originalerklärung	Missing original declaration	Fehlende ursprüngliche Leistungserklärung.
F2.2	Fehlende Konformitätsdokumentation	Missing conformity documentation	Fehlende Dokumentation der Konformität.
F2.3	Fehlende technische Unterlage	Missing technical file	Fehlende technische Unterlagen zum Produkt.
F2.4	Fehlende Produkthistorie	Missing product history	Fehlende Aufzeichnung der Produkthistorie.
F2.5	Fehlende Verwendungszweck-Information	Missing intended-use information	Fehlende Angaben zum vorgesehenen Verwendungszweck.
F2.6	Fehlende Gefahrstoff-Information	Missing hazardous-substance information	Fehlende Angaben zu enthaltenen Gefahrstoffen.
F3	Zertifizierungs-Unsicherheit	Certification uncertainty	Unsicherheit über Zertifizierung wiederverwendeter Bauteile.
