entity,group,property,total_in_group,nodes_or_rels_with_property,coverage_pct,missing_count,types,type_drift,empty_count,unique_values_seen_cap_1001,action,priority,reason,sample_values
relationship,ANCHORED_BY,derivation_note,695,695,100.0,0,str:695,,0,1,review_domain_property,P3,domain-specific edge value,| r1: confidence=bookkeeping→unklar + is_bookkeeping=true | r1: derived=>topology_synthesized (catch-all: basis=controlled_vocab)
relationship,ANCHORED_BY,evidence_basis,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",controlled_vocab
relationship,ANCHORED_BY,evidence_cleanup_run,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",2026-05-28_anchor_source_evidence_cleanup
relationship,ANCHORED_BY,evidence_confidence,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",unklar
relationship,ANCHORED_BY,evidence_note,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",ANCHORED_BY points to an internal OntologyAnchor/control-vocabulary record; do not treat this as external source proof for factual claims.
relationship,ANCHORED_BY,evidence_origin,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",topology_synthesized
relationship,ANCHORED_BY,evidence_quality,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",internal_anchor_not_claim_evidence
relationship,ANCHORED_BY,evidence_source_id,695,695,100.0,0,str:695,,0,2,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",q_akteursliste_master_md || q_controlled_vocab_seed
relationship,ANCHORED_BY,is_bookkeeping,695,695,100.0,0,bool:695,,0,1,review_domain_property,P3,domain-specific edge value,true
relationship,ANCHORED_BY,review_status,695,695,100.0,0,str:695,,0,1,review_keep_or_provenance,P1,may be real edge evidence/status; keep only if queried,needs_source_url_review
relationship,ANCHORED_BY,source_resolution_status,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",bookkeeping_anchor_internal_source_not_claim_evidence
relationship,ANCHORED_BY,source_resolution_status_correction_previous,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",needs_source_url_review
relationship,ANCHORED_BY,source_review_status_correction_previous,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",needs_source_url_review
relationship,ANCHORED_BY,source_role,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",ontology_anchor_bookkeeping
relationship,ANCHORED_BY,source_status_correction,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",mig_source_status_scope_addendum_2026_05_28
relationship,ANCHORED_BY,source_status_correction_previous,695,695,100.0,0,str:695,,0,2,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",candidate || missing
relationship,ANCHORED_BY,source_status_correction_reason,695,695,100.0,0,str:695,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",ontology_anchor_bookkeeping_not_fact_proof
relationship,ANCHORED_BY,strict_source_url_cleanup,695,252,36.26,443,str:252,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",mig_strict_source_url_binding_cleanup_2026_05_23
relationship,APPLIES_IN,derivation_note,20,20,100.0,0,str:20,,0,1,review_domain_property,P3,domain-specific edge value,| r1: inferred+belegt was self-contradictory => downgraded to teilweise_belegt
relationship,APPLIES_IN,evidence_basis,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",research_file_row
relationship,APPLIES_IN,evidence_confidence,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",teilweise_belegt
relationship,APPLIES_IN,evidence_origin,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",inferred
relationship,APPLIES_IN,evidence_source_id,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",q_circular_construction_reuse_graph_gaps_md
relationship,APPLIES_IN,id,20,20,100.0,0,str:20,,0,20,keep_minimum,P0,relationship identity handle required by current constraints,r_rr_gb_stahl__APPLIES_IN__land_vereinigtes_koenigreich || r_rr_be_stahl__APPLIES_IN__land_belgien || r_rr_de_stahl__APPLIES_IN__land_deutschland || r_rr_nl_stahl__APPLIES_IN__land_niederlande
relationship,APPLIES_IN,review_status,20,20,100.0,0,str:20,,0,1,review_keep_or_provenance,P1,may be real edge evidence/status; keep only if queried,needs_source_url_review
relationship,APPLIES_IN,source_resolution_status,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",needs_source_url_review
relationship,APPLIES_IN,source_status,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",candidate
relationship,APPLIES_IN,source_status_migration,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",mig_source_status_normalization_2026_05_28
relationship,APPLIES_IN,source_status_reason,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",candidate_urls_need_fact_review
relationship,APPLIES_IN,strict_source_url_cleanup,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",mig_strict_source_url_binding_cleanup_2026_05_23
relationship,APPLIES_TO,derivation_note,20,20,100.0,0,str:20,,0,1,review_domain_property,P3,domain-specific edge value,| r1: inferred+belegt was self-contradictory => downgraded to teilweise_belegt
relationship,APPLIES_TO,evidence_basis,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",research_file_row
relationship,APPLIES_TO,evidence_confidence,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",teilweise_belegt
relationship,APPLIES_TO,evidence_origin,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",inferred
relationship,APPLIES_TO,evidence_source_id,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",q_circular_construction_reuse_graph_gaps_md
relationship,APPLIES_TO,id,20,20,100.0,0,str:20,,0,20,keep_minimum,P0,relationship identity handle required by current constraints,r_rr_gb_stahl__APPLIES_TO__mat_stahl || r_rr_be_stahl__APPLIES_TO__mat_stahl || r_rr_de_stahl__APPLIES_TO__mat_stahl || r_rr_nl_stahl__APPLIES_TO__mat_stahl
relationship,APPLIES_TO,review_status,20,20,100.0,0,str:20,,0,1,review_keep_or_provenance,P1,may be real edge evidence/status; keep only if queried,needs_source_url_review
relationship,APPLIES_TO,source_resolution_status,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",needs_source_url_review
relationship,APPLIES_TO,source_status,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",candidate
relationship,APPLIES_TO,source_status_migration,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",mig_source_status_normalization_2026_05_28
relationship,APPLIES_TO,source_status_reason,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",candidate_urls_need_fact_review
relationship,APPLIES_TO,strict_source_url_cleanup,20,20,100.0,0,str:20,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",mig_strict_source_url_binding_cleanup_2026_05_23
relationship,BELEGT_IN,archive_source_id,4866,136,2.79,4730,str:136,,0,39,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",q_research_articonnex_md || q_research_backacia_md || q_research_baticycle_md || q_research_batiterre_md
relationship,BELEGT_IN,derivation_note,4866,4697,96.53,169,str:4697,,0,9,review_domain_property,P3,domain-specific edge value,"| r1: curated→source_curated (default reclassification) || | r1: derived=>topology_synthesized (catch-all: basis=cell_citation) || former_basis=research_file_row->cell_citation via mig_repair_4_1 (BELEGT_IN belongs to citation-group enum, not norm-group) || Recreated after splitting rb_ce_ukca_marking_reused_steel on 2026-05-31."
relationship,BELEGT_IN,evidence_basis,4866,4866,100.0,0,str:4866,,0,4,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",cell_citation || slug_match || controlled_vocab || direct_url_listed_in_archive_md
relationship,BELEGT_IN,evidence_cleanup_run,4866,13,0.27,4853,str:13,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",2026-05-28_belegt_confidence_conflict_cleanup
relationship,BELEGT_IN,evidence_confidence,4866,4730,97.21,136,str:4730,,0,4,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",unklar || belegt || teilweise_belegt || inferiert
relationship,BELEGT_IN,evidence_confidence_status,4866,13,0.27,4853,str:13,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",downgraded_pending_exact_source_url_review
relationship,BELEGT_IN,evidence_excerpt,4866,3040,62.47,1826,str:3040,,0,1001,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN","Thema: Verbindung | Befund: Mauerwerk, Fliesen, Sanitäranschlüsse, Elektroanschlüsse | Leistungsanforderung: Funktionsfähigkeit | technische Hürde: Passung heterogener Bauteile | Lösung: kleine, robuste Bauteile | Quell… || Thema: Wärmeschutz | Befund: Dämmung aus Surplus/Restposten | Leistungsanforderung: Dämmleistung | technische Hürde: Materialtyp/Leistung nicht veröffentlicht | Lösung: Surplus-Dämmung Boden/Wand/Decke | Quelle: [S2], [… || Bauteil: Außenfenster / Außenschreinerei | Material: Aluminium/Glas nach C21 | Herkunft: Büroabbruch nahe Grande Halle | alte Funktion: Fenster | neue Funktion: Außenfenster | Menge/Umfang: 1 eingebaut; 21 identifiziert… || Kennwert: Kostenwirkung Reuse | Wert: ohne Mehrkosten insgesamt behauptet | Bilanzgrenze: Reuse vs. neu | Quelle: [S2]"
relationship,BELEGT_IN,evidence_note,4866,13,0.27,4853,str:13,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",Former evidence_confidence=belegt was downgraded because source_status is not exact and the relationship still needs source URL / exact-claim review.
relationship,BELEGT_IN,evidence_origin,4866,4730,97.21,136,str:4730,,0,4,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",source_curated || topology_synthesized || inferred || registry_derived
relationship,BELEGT_IN,evidence_quality,4866,13,0.27,4853,str:13,,0,1,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",source_binding_not_exact
relationship,BELEGT_IN,evidence_source_id,4866,4842,99.51,24,str:4842,,0,760,review_keep_or_source_edge,P1,"edge provenance can be valid, but normalize to source_type/source_detail or BELEGT_IN",q_chiro_d_itterbeek_dilbeek_s2 || q_chiro_d_itterbeek_dilbeek_s4 || q_grande_halle_de_colombelles_s3 || q_ferme_du_rail_paris_s2
