anchor_id,rel_type,target_id,target_label,evidence_url,evidence_quote,line_ref,evidence_basis,final_decision,source_note,pass8_action
baukarussell,NUTZT_MATERIAL,mat_holz,Holz,https://katalog.baukarussell.at/shop,Listing rows expose “Eichenparkett” and “Parkett Buche” as buyable items.,L59-L63; L151-L165,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE,Product/listing rows name wood species/parquet directly; maps to Material mat_holz.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,HAT_BAUTEILTYP,bt_boden,Boden,https://katalog.baukarussell.at/shop,Listing rows expose “Eichenparkett” and “Parkett Buche”.,L59-L63; L151-L165,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE,Parquet is a floor component under the brief cross-walk.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,NUTZT_MATERIAL,mat_glas,Glas,https://katalog.baukarussell.at/shop,Listing row names “Glas Pendelleuchte”.,L67-L73,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE,Material “Glas” is explicitly named in a product/listing title.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,HAT_BAUTEILTYP,bt_technik,Technik,https://katalog.baukarussell.at/shop,Product list category “Lampen” and listing row “Glas Pendelleuchte”.,L67-L73,DIRECT_FIRST_PARTY_LISTING,IMPORT_SAFE_SOURCE_LINE,Lighting/lamp is mapped to bt_technik by the brief cross-walk.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,HAT_BAUTEILTYP,bt_dach,Dach,https://katalog.baukarussell.at/shop,Category list includes “Dach” and subcategory “Dachflächenfenster”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE,Category-level first-party evidence; no material inferred from category alone.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,HAT_BAUTEILTYP,bt_fassade,Fassade,https://katalog.baukarussell.at/shop,Category list includes “Fassade” and subcategories façade elements/systems.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE,Category-level first-party evidence; no material inferred from category alone.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,HAT_BAUTEILTYP,bt_fenster,Fenster,https://katalog.baukarussell.at/shop,Category list includes “Fenster” and “Dachflächenfenster”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE,Category-level first-party evidence; no material inferred from category alone.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,HAT_BAUTEILTYP,bt_tuer,Tür,https://katalog.baukarussell.at/shop,Category list includes “Türen” and subcategories “Glas- und Schwingtüren”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE,Category-level first-party evidence; no material inferred from category alone.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,HAT_BAUTEILTYP,bt_boden,Boden,https://katalog.baukarussell.at/shop,Category list includes “Böden/Wandbeläge”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE,Category-level first-party evidence; no material inferred from category alone.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
baukarussell,HAT_BAUTEILTYP,bt_wand,Wand,https://katalog.baukarussell.at/shop,Category list includes “Böden/Wandbeläge” and “Trennwände”.,L34-L55,DIRECT_FIRST_PARTY_CATEGORY,IMPORT_SAFE_SOURCE_LINE,Category-level first-party evidence; no material inferred from category alone.,ADD_OR_PROMOTE_AFTER_RECLASSIFICATION
