anchor_id,pass8_status,pass8_strict_material_count,pass8_strict_bauteiltyp_count,pass8_strict_material_ids,pass8_strict_bauteiltyp_ids,pass8_review_material_ids,pass8_review_bauteiltyp_ids,present_in_final_markdown,duplicate_in_final_markdown,final_report_actor_label,final_report_material_text,final_report_bauteiltyp_text,comparison_result,correction_needed
articonnex,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz;mat_kunststoff,bt_ausbau;bt_boden;bt_daemmung;bt_fassade,True,False,Articonnex (FR),"OSB, plywood, wood cladding, wood decking, PVC flooring, wood planks.","OSB (oriented strand board), Contreplaqué (plywood), Bardage Bois (wood cladding), Terrasse bois (wood decking), Sol PVC (PVC flooring), Planche de bois (wood planks); top navigation categories: Arrivages, Les essentiels, Sol, Bois, Quincaillerie (hardware), Isolant (insulation), Seconde vie (second life).",OVER_PROMOTED_REVIEW_ONLY,"Final report presents Articonnex materials/categories as verified, but pass8 has zero strict rows; all claims are review-only."
backacia,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_holz;mat_kunststoff,bt_boden;bt_tuer,False,False,,,,MISSING_FROM_FINAL_REPORT,Actor exists in pass8 but is absent from final report.
baticycle,HAS_STRICT_IMPORT_CANDIDATES,0,6,,bt_ausbau;bt_boden;bt_decke;bt_technik;bt_tuer;bt_wand,,,True,False,Bâticycle (FR),"Stones, gravel, paving materials; radiators and heating equipment; partitions, doors; luminaires; sanitary porcelain; ceiling panels; carpet tiles and floor tiles.","Aménagements extérieurs (stones, gravel, paving), Chauffages/Ventilations/CVC (radiators, water heaters), Constructions intérieures (partitions, doors), Électricité (luminaires, cable trays), Équipements sanitaires (sinks, toilets), Plafonds (false‑ceiling panels, luminaires), Sols (carpet tiles, raised floor tiles).",PARTIAL_OVER_PROMOTED_MATERIALS,"Pass8 supports 6 Bauteiltyp rows strictly but no strict material rows; final report lists materials, so material part should be review-only."
batiterre,HAS_STRICT_IMPORT_CANDIDATES,5,10,mat_glas;mat_gusseisen;mat_holz;mat_kunststoff;mat_ziegel,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_gelaender;bt_technik;bt_treppe;bt_tuer;bt_wand,mat_glas;mat_gusseisen;mat_holz;mat_keramik;mat_naturstein;mat_ziegel,bt_technik;bt_tuer;bt_wand,True,False,BatiTerre (BE),"Wood, ceramic tiles, metal, plastic, natural stone.","Bois (wood), Carrelage (tiles), Châssis & portes extérieures (frames and exterior doors), Escaliers, Matériaux de gros œuvre, Métal, Panneaux, Plastique, Portes & fenêtres, Sol, Verre, etc.",PARTIAL_MISMATCH_OVERBROAD_MATERIALS,"Pass8 strict: mat_glas, mat_gusseisen, mat_holz, mat_kunststoff, mat_ziegel plus 10 BT. Final report adds ceramic/natural stone as verified; those are not strict in pass8."
batrecup,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_holz,bt_fenster;bt_tuer,False,False,,,,MISSING_FROM_FINAL_REPORT,Actor exists in pass8 as scope/review-only app but is absent from final report.
baukarussell,HAS_STRICT_IMPORT_CANDIDATES,2,7,mat_glas;mat_holz,bt_boden;bt_dach;bt_fassade;bt_fenster;bt_technik;bt_tuer;bt_wand,,,True,False,BauKarussell (AT),"Oak parquet (Eichenparkett), other reclaimed flooring/tiles, doors, windows, bricks/stone.","Außenbereich/Garten, Baustoffe, Böden/Wandbeläge, Dach/Fassade, Elektrogeräte, Fenster/Glas, Haustechnik, Innenausbau, Küche/Gastro, Lampen/Leuchten, Möbel/Einrichtungen, Pflanzen, Raritäten, Sanitär/Bad, Türen/Tore, Ziegel/Naturstein.",MOSTLY_ALIGNED_BUT_REPORT_TEXT_TOO_BROAD,Pass8 corrected BauKarussell to strict evidence. Final report broadly mentions tiles/bricks/stone as materials; strict pass8 only has mat_holz and mat_glas plus 7 BT.
bauteilboerse_bremen,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_glas;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_ausbau;bt_boden;bt_dach;bt_fassade;bt_fenster;bt_gelaender;bt_technik;bt_treppe;bt_tuer;bt_wand,True,False,Bauteilbörse Bremen (DE),"Cement tiles, ceramic, wood, roof tiles, glass tiles.","Fenster, Türen, Hof & Garten, Böden & Treppen, Wände & Innenraum, Sanitär & Heizung, Elektro, Dach & Fassade.",OVER_PROMOTED_REVIEW_ONLY,Pass8 has zero strict rows for Bremen; final report labels categories/materials as verified. It should remain review-only unless product/listing rows are separately promoted.
bauteilladen_winterthur,HAS_STRICT_IMPORT_CANDIDATES,2,1,mat_holz;mat_naturstein,bt_fenster,mat_holz,bt_boden;bt_fenster;bt_technik;bt_treppe;bt_tuer,True,False,Bauteilladen Winterthur (CH),Example listing: plastic windows.,"Boden & Wandbeläge, Elektro & Leuchten, Fenster, Heizung & Klima, Treppen, Türen & Tore, Decken & Dächer, Möbel & Einrichtungen.",MISMATCH_UNDER_AND_OVER,"Pass8 strict: mat_holz, mat_naturstein and bt_fenster. Final report emphasizes plastic windows, which is not in pass8 strict, and omits strict natural stone."
bauteilnetz_deutschland,HAS_STRICT_IMPORT_CANDIDATES,2,2,mat_keramik;mat_ziegel,bt_boden;bt_dach,mat_holz;mat_keramik,bt_boden;bt_fenster;bt_technik;bt_tuer;bt_wand,True,False,Bauteilnetz Deutschland (DE),"Keramik (ceramic) for floor tiles; Ziegel (brick/roof tile) for roof coverings; general categories imply wood, glass etc.","Böden » Fliesen (floor tiles), Dachhaut (roof coverings) such as *Dachziegel, Firstziegel, Lüftersteine*, Türen/Tore, Fenster, Treppen, Böden, Wände/Dach, Elektro, Heizung/Lüftung, Sanitär, Innenraum.",MOSTLY_ALIGNED_WITH_CAUTION,Pass8 strict and final report agree on mat_keramik/mat_ziegel and bt_boden/bt_dach. Final report phrase “general categories imply wood/glass” should not be treated as material evidence.
building_spares_market,HAS_STRICT_IMPORT_CANDIDATES,7,7,mat_aluminium;mat_beton;mat_daemmstoff;mat_glas;mat_holz;mat_stahl;mat_ziegel,bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_traeger;bt_tuer;bt_wand,,,True,True,Building Spares Market (UK),"Timber, bricks, MDF/wood composite.","Timber, bricks, MDF laminated wallboard panels, various surplus building supplies.",PARTIAL_DIFFERENCE_NEW_MANUAL_EVIDENCE,Pass8 already has strict rows from homepage/about. Final report adds the MDF wallboard advert that pass8 marked fetch-timeout/pending; that is useful but not yet part of pass8 strict CSV.
cornermat_retrival,HAS_STRICT_IMPORT_CANDIDATES,4,5,mat_glas;mat_holz;mat_keramik;mat_ziegel,bt_dach;bt_fenster;bt_technik;bt_tuer;bt_wand,mat_daemmstoff;mat_holz,bt_boden;bt_daemmung;bt_fenster;bt_technik;bt_wand,True,False,Cornermat (BE),"Material filters include wood, metal, glass, stone.","Sol (floors), Portes (doors), Isolation, HVAC, Pierre naturelle (natural stone), Bois (wood), Verre et châssis (glass and frames), Électricité, Sanitaires, Finitions intérieures, Mobilier.",PARTIAL_MISMATCH_OVERBROAD_MATERIALS,"Pass8 strict: mat_glas, mat_holz, mat_keramik, mat_ziegel and 5 BT. Final report also treats metal/stone filters as verified; those are not strict in pass8."
cycle_up,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_glas;mat_kunststoff,bt_fenster,True,False,Cycle Up (FR),Not accessible.,Marketplace for buying and selling reused construction materials; also offers consultancy and reconditioning workshops.,ALIGNED_SCOPE_ONLY,Both treat Cycle Up as reuse marketplace/platform without public product categories.
cycle_zero,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz,bt_boden;bt_daemmung;bt_fenster;bt_technik;bt_tuer,True,False,Cycle Zéro (FR),Not accessible.,Mobile app for converting leftover construction materials into revenue and allowing individuals to collect free materials.,ALIGNED_SCOPE_ONLY,Both treat Cycle Zéro as app/platform without public inventory.
enviromate,HAS_STRICT_IMPORT_CANDIDATES,1,1,mat_keramik,bt_boden,mat_daemmstoff;mat_holz;mat_keramik,bt_boden;bt_daemmung;bt_treppe;bt_tuer,False,False,,,,MISSING_FROM_FINAL_REPORT,Actor has strict pass8 rows but is absent from final report.
gebruiktebouwmaterialen,HAS_STRICT_IMPORT_CANDIDATES,6,9,mat_aluminium;mat_daemmstoff;mat_holz;mat_kunststoff;mat_stahl;mat_ziegel,bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_technik;bt_traeger;bt_treppe;bt_tuer;bt_wand,,,True,False,Gebruiktebouwmaterialen (NL),"Bricks, insulation, hardware, lighting/electrical, solar panels, sanitary ware, heating radiators, stairs, roof materials, kitchen components.","Complete dakkapellen (dormers), Isolatie (biobased), IJzerwaren (hardware), Verlichting & Elektra, Zonnepanelen, Metselstenen (bricks), Sanitair, Verwarming & Radiatoren, Trappen, Dakmateriaal, Tuin/terras/fietsenstalling, Keukens, Brandpreventie, Overige materialen, Bevestigingsmaterialen.",MOSTLY_ALIGNED,Final report matches the pass8 correction that this actor has strong public category-tree evidence.
genbyg,HAS_STRICT_IMPORT_CANDIDATES,1,3,mat_glas,bt_fenster;bt_technik;bt_tuer,mat_holz;mat_ziegel,bt_boden;bt_fenster;bt_tuer;bt_wand,True,False,Genbyg (DK),"Hardwood planks (oak), beech parquet, ceramic tiles, bricks.","Døre & Vinduer (doors and windows), Lamper & EL (lighting/electric), Træ & Gulve (wood and floors), Murervarer (masonry), VVS & Køkken (plumbing & kitchens), Dørgreb & Knopper (door handles & knobs).",OVER_PROMOTED_REVIEW_MATERIALS,Pass8 strict supports mat_glas and three BT; wood/brick materials are review-only. Final report lists oak/beech/bricks as verified.
globechain,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,True,False,Globechain (UK),Not accessible.,"ESG reuse marketplace for surplus assets across multiple sectors, including building materials.",ALIGNED_SCOPE_ONLY,Both classify as broad reuse marketplace/platform with no public material categories.
insert_marketplace,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,bt_fenster;bt_tuer,True,False,Insert Marketplace (NL),"Wood (timber), bamboo/grasses, glazing, etc.","Afbouwtimberwerk (finishing carpentry), Bamboes/Grassen, Beglazing (glazing), Buitengebruikte stoelen, etc.; sectors listed as Groen, Bouw, Buitenruimte, Gebouwen.",OVER_PROMOTED_REVIEW_ONLY,Pass8 has zero strict rows and only review BT; final report presents categories/materials as verified.
loopfront,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,True,False,Loopfront,Not accessible.,Software platform for construction material reuse; acts as inventory and matching tool.,ALIGNED_SCOPE_ONLY,Both classify as software/platform without public inventory.
material_index,HAS_STRICT_IMPORT_CANDIDATES,0,5,,bt_ausbau;bt_boden;bt_technik;bt_tuer;bt_wand,mat_holz;mat_stahl;mat_ziegel,bt_tuer;bt_wand,True,False,Material Index (UK),"Bricks and stone, doors, lighting, flooring, sanitary ware, structural components.","Furniture & Interiors, Flooring & Carpet, Ceilings & Lighting, Bricks & Stone, IT & Electrical appliances, Kitchens / Catering / Joinery, Sanitary Ware, Doors & Partitions, Structure, Misc. Architectural, MEP (mechanical/electrical/plumbing).",PARTIAL_OVER_PROMOTED_MATERIALS,Pass8 strict supports 5 Bauteiltyp rows but no strict materials; final report lists materials as verified.
material_reuse_portal,HAS_STRICT_IMPORT_CANDIDATES,0,1,,bt_dach,mat_glas;mat_holz;mat_stahl,bt_ausbau;bt_dach;bt_decke;bt_fenster;bt_technik;bt_treppe;bt_tuer;bt_wand,True,False,Material Reuse Portal (UK),Not accessible.,Aggregated portal linking multiple marketplaces; categories not yet populated.,UNDER_REPORTED_PASS8_STRICT_BT,"Pass8 has one strict bt_dach row from an aggregated product page; final report says no direct categories. Actor role as aggregator is correct, but the strict product row should be retained."
materialenbank_leuven_atelier_circuler,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_fenster;bt_technik;bt_traeger;bt_tuer;bt_wand,True,False,Materialenbank Leuven – Atelier Circuler (BE),"Reclaimed construction wood (structural and sheet materials), tropical and rustic wood, artificial and natural stone.","Hout (wood), Steen (stone), Metaal, Isolatie (insulation), Verwarming & Sanitair, Elektriciteit & Verlichting, Ramen & Deuren (windows & doors), Afgewerkte producten (finished products), Varia.",OVER_PROMOTED_REVIEW_ONLY,Pass8 has zero strict rows and many review rows; final report treats them as verified.
materialrest24,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_holz,bt_ausbau;bt_dach;bt_technik;bt_wand,False,False,,,,MISSING_FROM_FINAL_REPORT,Actor exists in pass8 review-only but is absent from final report.
new_horizon,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_beton,bt_dach;bt_fassade,True,False,New Horizon (NL),Not accessible.,Urban mining company that harvests materials from buildings.,ALIGNED_SCOPE_ONLY,Both keep it as urban-mining/service evidence without public inventory.
r_place,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,bt_technik,False,False,,,,MISSING_FROM_FINAL_REPORT,Actor exists in pass8 review-only but is absent from final report.
raedificare,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,True,False,Raedificare (BE),Not accessible.,"Platform aims to reuse construction materials; users can list elements, manage orders, book online and recover materials.",ALIGNED_SCOPE_ONLY,Both keep as platform/scope only due login/public catalogue limitation.
re_store_harvestmap_vienna,HAS_STRICT_IMPORT_CANDIDATES,4,2,mat_beton;mat_holz;mat_keramik;mat_naturstein,bt_boden;bt_dach,,,True,False,re:store (Materialnomaden) (AT),Concrete.,Re:use product listings include concrete blocks.,UNDER_REPORTED_PASS8_STRICT,Pass8 strict has 4 material IDs and 2 BT IDs; final report only keeps concrete/Betonsteine.
reempro,HAS_STRICT_IMPORT_CANDIDATES,2,8,mat_keramik;mat_ziegel,bt_ausbau;bt_boden;bt_daemmung;bt_decke;bt_fenster;bt_technik;bt_tuer;bt_wand,,,True,False,Reempro (FR),Not specified.,"Mobilier, Gros œuvre (structural), Second œuvre (finishing), Aménagement extérieur (outdoor arrangements), Équipements.",UNDER_REPORTED_PASS8_STRICT_MATERIALS,"Pass8 strict has mat_keramik, mat_ziegel and 8 BT. Final report says materials not specified."
resource_marktplaats,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,True,False,Resource Marktplaats,Not accessible.,Aggregator platform linking to multiple reuse marketplaces.,ALIGNED_SCOPE_ONLY,Both classify as platform/aggregator without public product/category inventory.
reuse_and_trade,HAS_STRICT_IMPORT_CANDIDATES,0,2,,bt_boden;bt_tuer,mat_holz;mat_stahl,bt_gelaender;bt_technik;bt_treppe,True,False,ReUse and Trade (DE),Not accessible.,Intermediary agency offering reuse services.,MISMATCH_UNDER_REPORTED_STRICT_BT,Pass8 has two strict BT rows from listing evidence; final report says no product categories could be verified.
rotordc,HAS_STRICT_IMPORT_CANDIDATES,1,0,mat_keramik,,mat_aluminium;mat_daemmstoff;mat_glas;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fassade;bt_technik;bt_treppe;bt_tuer;bt_wand,True,False,Rotor Deconstruction (BE),"Bricks, cement tiles, natural stone, ceramic tiles, hardwood parquet, terra cotta, bamboo/steel/HPL/Trespa/plywood panels, planks, glued‑laminated timber.","Brick, Ceiling, Door (single/double/triple), Floor (plinth, cement tile, natural stone, old ceramic tile, hardwood parquet, terra cotta), Furniture, Garden, Lighting (table, wall, standing, hanging, ceiling, track, bulbs), Roof, Hardware, Sanitary, Technical (electrical installation, HVAC, insulation), Stairs, Wall cladding, Wood & Panels.",OVER_PROMOTED_REVIEW_ONLY_BT,Pass8 strict has only mat_keramik; BT and other materials are review-only. Final report presents broad shop categories/materials as verified.
salvoweb,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,bt_tuer,False,False,,,,MISSING_FROM_FINAL_REPORT,Actor exists in pass8 review-only but is absent from final report.
salza,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,,,True,False,Salza (CH),Not publicly specified.,Marketplace allows users to post building components (“Bauteile”) after administrative check.,ALIGNED_SCOPE_ONLY,Both classify as platform/scope only without material/category import rows.
skop_marketplace,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_technik;bt_tuer;bt_wand,True,False,Skop (FR),Not accessible.,Inventory‑management solution and marketplace for construction materials.,ALIGNED_SCOPE_ONLY,Both classify as management/marketplace platform without public catalogue.
software_restado,HAS_STRICT_IMPORT_CANDIDATES,2,4,mat_holz;mat_keramik,bt_boden;bt_dach;bt_tuer;bt_wand,mat_beton;mat_ziegel,,True,False,Restado (DE),"Categories include reclaimed bricks and clinker, reclaimed wooden boards and beams, roof tiles, recycled concrete.","Türen & Zargen, Fenster, Fliesen & Steine, Dach, Haustechnik & Sanitär, Rohbau, Fassade, Innenausbau, Garten & Freianlagen, Werkzeuge & Maschinen.",MOSTLY_ALIGNED_BUT_REPORT_OVERBROAD,"Pass8 strict: mat_holz, mat_keramik and bt_boden, bt_dach, bt_tuer, bt_wand; final report also lists brick/concrete categories that are review-only."
surplus_building_and_plumbing_materials,REVIEW_OR_SCOPE_ONLY_NO_STRICT_MATERIAL_BT,0,0,,,mat_daemmstoff;mat_holz;mat_ziegel,bt_dach;bt_daemmung;bt_technik;bt_wand,True,False,Surplus Building & Plumbing Materials (UK),"Bricks, blocks, roofing, timber/sheet materials, insulation, metalwork.","Adhesives & sealants, Blocks, Bricks, Builders metalwork, Building chemicals, Cement & aggregates, Concrete reinforcement, Damp course & membrane, Drainage, Fixings & hardware, Flat roof windows, Insulation, Lintels, Painting & decorating, Plaster & plasterboard, Roofing & guttering, Roof windows, Timber & sheet materials, Tools & workwear.",OVER_PROMOTED_REVIEW_ONLY,Pass8 has zero strict rows; final report treats accepted/category list as verified materials/types. Keep as scope/review-only unless product URLs are added.
