"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"fallstudie/55_Great_Suffolk_Street_London","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/BREEAM","- **Entscheidung:** HAUPTFALL - **Bewertung:** ★★★★☆ - **Begründung:** Das Projekt nutzt wiederverwendeten Baustahl für einen neuen außenliegenden Erschließungs- und Servicekern. Der Reuse-Anteil am Stahl dieses neuen Kerns ist sehr hoch und tragwerksrelevant. Nicht fünf Sterne, weil der Fall ein partieller Eingriff an einem Bestandsgebäude ist und der erhaltene denkmalgeschützte Lagerhausbestand selbst nicht als Direct Reuse gewertet wird. - **Vertrauensgrad:** belegt - **Warnung Bestandserhalt","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\55_Great_Suffolk_Street_London.md"
"fallstudie/BioPartner_5_Leiden_Oegstgeest","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/BREEAM","- **Entscheidung:** HAUPTFALL - **Bewertung:** ★★★★★ - **Begründung:** BioPartner 5 nutzt das Stahlskelett des ehemaligen Gorlaeus-Hochhauses als „donorskelet“ / Haupttragstruktur des Neubaus. Mehrere Quellen nennen 150–170 t bzw. 165.000 kg wiederverwendeten Stahl; als belastbarster Einzelwert wird hier **165.000 kg** geführt, weil er von mehreren projektbezogenen Quellen genannt wird. Zusätzlich sind weitere feste Bauteile wie Pflaster/Stein, Innenwände, Sanitärobjekte und Materialien aus dem ","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"fallstudie/BioPartner_5_Leiden_Oegstgeest","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/Paris_Proof","- **Entscheidung:** HAUPTFALL - **Bewertung:** ★★★★★ - **Begründung:** BioPartner 5 nutzt das Stahlskelett des ehemaligen Gorlaeus-Hochhauses als „donorskelet“ / Haupttragstruktur des Neubaus. Mehrere Quellen nennen 150–170 t bzw. 165.000 kg wiederverwendeten Stahl; als belastbarster Einzelwert wird hier **165.000 kg** geführt, weil er von mehreren projektbezogenen Quellen genannt wird. Zusätzlich sind weitere feste Bauteile wie Pflaster/Stein, Innenwände, Sanitärobjekte und Materialien aus dem ","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\BioPartner_5_Leiden_Oegstgeest.md"
"fallstudie/Holbein_Gardens_London","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/BREEAM","- **Entscheidung:** HAUPTFALL - **Bewertung:** ★★★★☆ - **Begründung:** Gebautes und gut dokumentiertes Londoner Büro-Refurbishment mit direkter Wiederverwendung von tragendem Stahl in einer vertikalen Erweiterung. Reused steel ist real, geprüft und eingebaut; die Mengen liegen je nach Quelle bei 24–25 t bzw. ca. 34 % / ein Drittel der Stahltonnage. Nicht auf ★★★★★, weil der Hauptanteil der Kreislaufleistung aus Bestandserhalt/Retrofit und nur ein Teil des neuen Tragwerks aus wiederverwendetem St","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\Holbein_Gardens_London.md"
"fallstudie/Holbein_Gardens_London","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/WELL","- **Entscheidung:** HAUPTFALL - **Bewertung:** ★★★★☆ - **Begründung:** Gebautes und gut dokumentiertes Londoner Büro-Refurbishment mit direkter Wiederverwendung von tragendem Stahl in einer vertikalen Erweiterung. Reused steel ist real, geprüft und eingebaut; die Mengen liegen je nach Quelle bei 24–25 t bzw. ca. 34 % / ein Drittel der Stahltonnage. Nicht auf ★★★★★, weil der Hauptanteil der Kreislaufleistung aus Bestandserhalt/Retrofit und nur ein Teil des neuen Tragwerks aus wiederverwendetem St","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\Holbein_Gardens_London.md"
"fallstudie/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/BREEAM","- **Entscheidung:** VERGLEICHSFALL / HAUPTFALL Reuse-Kette - **Bewertung:** ★★★★☆ - **Begründung:** Die Fallkette ist wichtig, weil Stahl aus dem ehemaligen House of Fraser / 318 Oxford Street in einem anderen Londoner Büroprojekt, TBC.London, als tragendes Bauteil wiederverwendet wurde. Zusätzlich wurden am House-of-Fraser-Projekt selbst Stahlstützen aus unteren Geschossen entfernt, refabriziert und in neuen oberen Geschossen wieder eingesetzt. Nicht fünf Sterne, weil Mengenangaben öffentlich w","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md"
"fallstudie/Liander_Alliander_HQ_Duiven","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/BREEAM","- **Entscheidung:** VERGLEICHSFALL - **Bewertung:** ★★★☆☆ - **Begründung:** Das Alliander-/Liander-Hauptquartier in Duiven ist ein vielzitiertes zirkuläres Transformationsprojekt. Es bleibt aber in dieser Direct-Reuse-Liste nur ein Vergleichsfall, weil ein großer Teil des Erfolgs aus Bestandserhalt, Umbau, Energie-/Betriebskonzept und Circular-Design-Strategien stammt. Belastbar belegte, neu eingesetzte wiederverwendete Tragwerksbauteile stehen nicht im Zentrum. - **Vertrauensgrad:** teilweise b","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\Liander_Alliander_HQ_Duiven.md"
"fallstudie/Multi_Brussels_Reuse_in_MULTI","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/BREEAM","- **Entscheidung:** VERGLEICHSFALL - **Bewertung:** ★★★☆☆ - **Begründung:** MULTI ist ein großmaßstäblicher Umbau mit gut dokumentierter Urban-Mining- und Materialpass-Logik. Für diese Liste zählt jedoch nicht der bloße Erhalt von 89 % des bestehenden Betons, sondern die tatsächlich transformierten oder extern wiederverwendeten Bauteile: Blaustein-Fassadenplatten, Granit-/Natursteinplatten, Aluminiumprofile, wieder eingebaute Aufzugstechnik und weitere feste Bauteile. Die Wiederverwendung ist ba","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\Multi_Brussels_Reuse_in_MULTI.md"
"fallstudie/Roots_in_the_Sky_Blackfriars_Crown_Court","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/BREEAM","- **Entscheidung:** ENTFERNEN aus Hauptliste; ANHANG als nicht realisierter / ersetzter Reuse-Entwurf - **Bewertung:** ★★☆☆☆ - **Begründung:** Der ursprüngliche Fabrix-Entwurf war ein relevanter geplanter Direct-Reuse-Fall mit rückgebautem Stahl aus 1 Broadgate / City of London und Bestandserhalt des ehemaligen Blackfriars Crown Court. Aktuelle Quellen von 2025/2026 zeigen jedoch, dass der Standort durch ein iQ-Studentenwohnprojekt mit Abriss des Bestands ersetzt werden soll. Damit ist der Reuse","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\Roots_in_the_Sky_Blackfriars_Crown_Court.md"
"fallstudie/Roots_in_the_Sky_Blackfriars_Crown_Court","has_zertifizierung_bewertungssystem","zertifizierung_bewertungssystem/WELL","- **Entscheidung:** ENTFERNEN aus Hauptliste; ANHANG als nicht realisierter / ersetzter Reuse-Entwurf - **Bewertung:** ★★☆☆☆ - **Begründung:** Der ursprüngliche Fabrix-Entwurf war ein relevanter geplanter Direct-Reuse-Fall mit rückgebautem Stahl aus 1 Broadgate / City of London und Bestandserhalt des ehemaligen Blackfriars Crown Court. Aktuelle Quellen von 2025/2026 zeigen jedoch, dass der Standort durch ein iQ-Studentenwohnprojekt mit Abriss des Bestands ersetzt werden soll. Damit ist der Reuse","rule_high","scan_50w_has_zertifizierung_bewertungssystem","Gebäude\Roots_in_the_Sky_Blackfriars_Crown_Court.md"
