claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
A06B-rel-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931884888,2hs,dirk_e_hebel,VERBUNDEN_MIT_AKTEUR,actor-network link 2hs -> dirk_e_hebel (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,06b,LOW-QUALITY/STUB endpoint id; unsourced; bidirectional pair with dirk_e_hebel->2hs (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP
A06B-rel-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199640,2hs,kit,VERBUNDEN_MIT_AKTEUR,actor-network link 2hs -> kit (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,06b,LOW-QUALITY/STUB endpoint id; unsourced; bidirectional pair with kit->2hs (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP
A06B-rel-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199830,3xn,gxn,VERBUNDEN_MIT_AKTEUR,actor-network link 3xn -> gxn (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,06b,LOW-QUALITY/STUB endpoint id; unsourced; bidirectional pair with gxn->3xn (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP
A06B-rel-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931885078,3xn,vandkunsten,VERBUNDEN_MIT_AKTEUR,actor-network link 3xn -> vandkunsten (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ESCALATE_HUMAN,06b,LOW-QUALITY/STUB endpoint id; unsourced; bidirectional pair with vandkunsten->3xn (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP
A06B-rel-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162041953559255387,Werner_Sobek,Werner_Sobek,VERBUNDEN_MIT_AKTEUR,actor-network link Werner_Sobek -> Werner_Sobek (no evidence_url/source_url on edge),none,,false,,SCHEMA_VIOLATION,0.0,,DELETE,06b,self-loop VERBUNDEN_MIT_AKTEUR (a==a); structurally invalid; delete
A06B-rel-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931884891,Werner_Sobek,vanessa_propach,VERBUNDEN_MIT_AKTEUR,actor-network link Werner_Sobek -> vanessa_propach (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ADD_SOURCE,06b,unsourced; bidirectional pair with vanessa_propach->Werner_Sobek (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP
A06B-rel-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304513600,akt_ii,symmetrys,VERBUNDEN_MIT_AKTEUR,actor-network link akt_ii -> symmetrys (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ADD_SOURCE,06b,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven"
A06B-rel-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514191,anders_lendager,Lendager,VERBUNDEN_MIT_AKTEUR,actor-network link anders_lendager -> Lendager (context_affiliation_from_actor_list) (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ADD_SOURCE,06b,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven"
A06B-rel-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118199737,andrea_kessler,harvestmap,VERBUNDEN_MIT_AKTEUR,actor-network link andrea_kessler -> harvestmap (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ADD_SOURCE,06b,unsourced; bidirectional pair with harvestmap->andrea_kessler (that reverse = MERGE_DUPLICATE). Needs a source naming both endpoints before KEEP
A06B-rel-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304514196,andrea_klinge,ZRS_Architekten_Ingenieure,VERBUNDEN_MIT_AKTEUR,actor-network link andrea_klinge -> ZRS_Architekten_Ingenieure (context_affiliation_from_actor_list) (no evidence_url/source_url on edge),none,,false,,MISSING_EVIDENCE,0.0,,ADD_SOURCE,06b,"legacy untagged edge, zero on-graph evidence (no evidence_url/source_url). Needs a fetched source naming both endpoints; until then unproven"
