"typed_path","old_path","decision","final_target_path","edge_relation_rule","import_now","reviewer_note"
"bauteiltyp/Auflager_Widerlager","_graph/bauteiltyp/Auflager_Widerlager","TODO","","","no","Review source text and map to strongest real-world type before import."
"bauteiltyp/Bauwerksteil","_graph/bauteiltyp/Bauwerksteil","TODO","","","no","Deferred recommendation: do not import broad bauteiltyp/Bauwerksteil. Most rows are object-scale or system-scale and must be resolved case by case to bauobjekt, bauobjekt_beteiligung, tragwerkstyp, tragwerksprinzip, or a precise component type."
"bauteiltyp/Bruestung","_graph/bauteiltyp/Bruestung","TODO","","","no","Resolve to bauteiltyp/Gelaender, Fassade, or parapet-like component based on case context."
"bauteiltyp/Fliese","_graph/bauteiltyp/Fliese","TODO","","","no","Resolve as bauteiltyp/Boden or bauteiltyp/Wand plus material/Keramik if context is clear."
"bauteiltyp/Holzrahmenelement","_graph/bauteiltyp/Holzrahmenelement","TODO","","","no","Resolve to bausystem/Holzrahmenbau or bauteiltyp/Wand/Platte_Paneel depending on reuse object."
"bauteiltyp/Kern","_graph/bauteiltyp/Kern","TODO","","","no","Usually structural core: prefer tragwerkstyp/tragwerksprinzip or precise component if source is concrete."
"bauteiltyp/Kueche","_graph/bauteiltyp/Kueche","TODO","","","no","Usually fit-out: prefer bauteiltyp/Festes_Einbauteil or boundary logic if furniture/non-direct-reuse."
"bauteiltyp/Landschaftselement","_graph/bauteiltyp/Landschaftselement","TODO","","","no","Review source text and map to strongest real-world type before import."
"bauteiltyp/Tragstruktur","_graph/bauteiltyp/Tragstruktur","TODO","","","no","Deferred recommendation: do not import broad bauteiltyp/Tragstruktur. Derive each case to a true structural type, structural principle, material-specific structure, or precise component; create new clean tragwerkstyp knots only after review."
"bauteiltyp/Treppenwange","_graph/bauteiltyp/Treppenwange","TODO","","","no","Review source text and map to strongest real-world type before import."
"datenmodell/Gebaeuderessourcenpass","_graph/datenmodell/Gebaeuderessourcenpass","TODO","","","no","Clean content first; separate data model from tool/vendor/project profile."
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","_graph/datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","TODO","","","no","Do not import as datenpunkt until it is converted to a measured value with unit/scope."
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","_graph/datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","TODO","","","no","Do not import as datenpunkt until it is converted to a measured value with unit/scope."
"dokumenttyp/Gebaeuderessourcenpass","_graph/dokumenttyp/Gebaeuderessourcenpass","TODO","","","no","Clean content first; keep as document type only, not software or certification system."
"fuegung_verbindung/Beton_Fertigteile_Verbindungen","_graph/fuegung_verbindung/Beton_Fertigteile_Verbindungen","TODO","","","no","Split into atomic connection types or move overview content into method/source notes."
"fuegung_verbindung/Composite_Verbindungen","_graph/fuegung_verbindung/Composite_Verbindungen","TODO","","","no","Split into atomic connection types or move overview content into method/source notes."
"fuegung_verbindung/Holz_Verbindungen","_graph/fuegung_verbindung/Holz_Verbindungen","TODO","","","no","Split into atomic connection types or move overview content into method/source notes."
"fuegung_verbindung/Stahl_Verbindungen","_graph/fuegung_verbindung/Stahl_Verbindungen","TODO","","","no","Split into atomic connection types or move overview content into method/source notes."
"fuegung_verbindung/Stahlseil","_graph/fuegung_verbindung/Stahlseil","TODO","","","no","Split into atomic connection types or move overview content into method/source notes."
"huerde/Logistikproblem","_graph/huerde/Logistikproblem","TODO","","","no","Deferred recommendation: do not import broad huerde/Logistikproblem. Split case by case into concrete barriers such as huerde/Fehlende_Lagerflaeche, huerde/Verfuegbarkeitsproblem, huerde/Terminunsicherheit, huerde/Toleranzen, huerde/Kompatibilitaetsproblem, huerde/Bruch_Beschaedigungsrisiko, or keep source-only if it only says Logistik."
"huerde/Performance_Nachweis","_graph/huerde/Performance_Nachweis","TODO","","","no","Deferred recommendation: do not import broad huerde/Performance_Nachweis as a clean hurdle. Split case by case into concrete barriers such as huerde/Gewaehrleistung, huerde/Technische_Freigabe, huerde/Datenluecke, huerde/Hygieneanforderung, or into performance/proof entities when the source supports it."
"material/Erde","_graph/material/Erde","TODO","","","no","Resolve to Lehm when construction-earth context is clear; otherwise keep source label only."
"material/Guss","_graph/material/Guss","TODO","","","no","Resolve to Gusseisen, Stahlguss, or another exact material; otherwise keep in review."
"material/Metall","_graph/material/Metall","TODO","","","no","Deferred recommendation: do not import broad material/Metall into the clean database. Existing precise material edges already cover known parts such as Stahl, Aluminium, Glas, Holz, Keramik, and Kunststoff; plain or mixed Metall labels remain review-only until the exact metal is known."
"material/Recyclingbeton","_graph/material/Recyclingbeton","TODO","","","no","Treat as material only with recycling boundary; link to reuse_strategy/Recycling and do not count as Direct Reuse."
"reuse_strategie/Temporaerer_Wiedereinbau","_graph/reuse_strategie/Temporaerer_Wiedereinbau","TODO","","","no","Decide whether strategy, status, or both; likely pair with reuse_einsatzstatus/Temporaer."
"zertifizierung_bewertungssystem/DGNB","_graph/zertifizierung_bewertungssystem/DGNB","TODO","","","no","Valid system, but strip resource-pass mixed content before import."
