"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"bauobjekt/55_Great_Suffolk_Street_London","has_bauobjektklasse","bauobjektklasse/Depot_Lager","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | 55_Great_Suffolk_Street_London | denkmalgeschütztes viktorianisches Lagerhaus, Grade II Listed | 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | Retrofit / Conservation / Extension mit neuem außenliegendem Stahlkern","rule_medium","label_50r_has_bauobjektklasse_bauobjekt_context","Gebäude\55_Great_Suffolk_Street_London.md"
"bauobjekt/55_Great_Suffolk_Street_London","has_nutzung","nutzung/Buero","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | flexible Büro-/Arbeitsplatzflächen, Retail am Erdgeschoss / amenity facilities","rule_high","label_50r_has_nutzung_bauobjekt_context","Gebäude\55_Great_Suffolk_Street_London.md"
"bauobjekt/55_Great_Suffolk_Street_London","has_nutzung","nutzung/Gewerbe","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | flexible Büro-/Arbeitsplatzflächen, Retail am Erdgeschoss / amenity facilities","rule_medium","label_50r_has_nutzung_bauobjekt_context","Gebäude\55_Great_Suffolk_Street_London.md"
"bauobjekt/55_Great_Suffolk_Street_London","has_bauobjektstatus","bauobjektstatus/Geplant","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | unklar / Live-Projekt; Quellen nennen „Expected in 2024“, „Estimated completion September 2024“ und Hawkins\Brown führt den Status weiterhin als „Live“. Eine belastbare öffentliche Fertigstellungsmeldung wurde nicht gefunden. | Opera nennt 2021–2023; ASBP/NLA nennen erwartete Fertigstellung 2024; aktueller belastbarer Fertigstellungsstatus unbekannt","rule_medium","label_50r_has_bauobjektstatus_bauobjekt_context","Gebäude\55_Great_Suffolk_Street_London.md"
"bauobjekt/55_Great_Suffolk_Street_London","has_bauobjektrolle","bauobjektrolle/Empfaengerobjekt","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | denkmalgeschütztes viktorianisches Lagerhaus, Grade II Listed | Retrofit / Conservation / Extension mit neuem außenliegendem Stahlkern | Papierwaren-/Lagerhaus, u. a. Spicer Bros paper merchants | flexible Büro-/Arbeitsplatzflächen, Retail am Erdgeschoss / amenity facilities | Opera nennt 2021–2023; ASBP/NLA nennen erwartete Fertigstellung 2024; aktueller belastbarer Fertigstellungsstatus unbekannt | unklar / Live-Projekt; Quellen nennen „Expected in 2024“, „Estimated completion September 2024“ und Hawkins\Brown führt den Status weiterhin als „Live“. Eine belastbare öffentliche Fertigstellungsmeldung wurde nicht gefunden.","rule_high","label_50r_has_bauobjektrolle_bauobjekt_context","Gebäude\55_Great_Suffolk_Street_London.md"
"bauobjekt/55_Great_Suffolk_Street_London","has_bauobjektrolle","bauobjektrolle/Bestandsobjekt","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | denkmalgeschütztes viktorianisches Lagerhaus, Grade II Listed | Retrofit / Conservation / Extension mit neuem außenliegendem Stahlkern | Papierwaren-/Lagerhaus, u. a. Spicer Bros paper merchants | flexible Büro-/Arbeitsplatzflächen, Retail am Erdgeschoss / amenity facilities | Opera nennt 2021–2023; ASBP/NLA nennen erwartete Fertigstellung 2024; aktueller belastbarer Fertigstellungsstatus unbekannt | unklar / Live-Projekt; Quellen nennen „Expected in 2024“, „Estimated completion September 2024“ und Hawkins\Brown führt den Status weiterhin als „Live“. Eine belastbare öffentliche Fertigstellungsmeldung wurde nicht gefunden.","rule_medium","label_50r_has_bauobjektrolle_bauobjekt_context","Gebäude\55_Great_Suffolk_Street_London.md"
"projekt/55_Great_Suffolk_Street_London","has_bauaufgabe_intervention","bauaufgabe_intervention/Umbau","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | Retrofit / Conservation / Extension mit neuem außenliegendem Stahlkern | 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | 55_Great_Suffolk_Street_London | denkmalgeschütztes viktorianisches Lagerhaus, Grade II Listed","rule_medium","label_50r_has_bauaufgabe_intervention_project_context","Gebäude\55_Great_Suffolk_Street_London.md"
"projekt/55_Great_Suffolk_Street_London","has_bauaufgabe_intervention","bauaufgabe_intervention/Erweiterung","55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | Retrofit / Conservation / Extension mit neuem außenliegendem Stahlkern | 55 Great Suffolk Street, London — Fallstudie Direct Reuse / zirkuläres Bauen | 55_Great_Suffolk_Street_London | denkmalgeschütztes viktorianisches Lagerhaus, Grade II Listed","rule_medium","label_50r_has_bauaufgabe_intervention_project_context","Gebäude\55_Great_Suffolk_Street_London.md"
"bauobjekt/AWM_Muenster_Circular_Office","has_bauobjektklasse","bauobjektklasse/Innenausbau","AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen | AWM_Muenster_Circular_Office | altes Verwaltungsgebäude der Abfallwirtschaftsbetriebe Münster | AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen | Umbau des bis dahin nicht mehr nutzbaren dritten Obergeschosses zu Büro-, Workshop-, Besprechungs-, Küchen- und Coworking-Flächen","rule_high","label_50r_has_bauobjektklasse_bauobjekt_context","Gebäude\AWM_Muenster_Circular_Office.md"
"bauobjekt/AWM_Muenster_Circular_Office","has_nutzung","nutzung/Buero","AWM Münster – Zirkulärer Büroausbau 3. OG – Fallstudie Direct Reuse / zirkuläres Bauen | moderne Arbeitswelt mit Büros, festen/mobilen Arbeitsplätzen, Workshop- und Besprechungsräumen, Küche","rule_high","label_50r_has_nutzung_bauobjekt_context","Gebäude\AWM_Muenster_Circular_Office.md"
