anchor_id,claim_type,target_id,target_label,recommended_action,evidence_level,source_title,source_url,source_line_ref,evidence_quote,research_note,import_safe_without_manual_review,claim_scope,pass_name
batiterre,Aufbereitungsverfahren,LOOKUP_REQUIRED_reconditionnement,Reconditionnement,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,BatiTerre Vente et Préparation au réemploi,https://www.batiterre.be/vente-et-preparation-au-reemploi,L60-L62,"“Nous avons développé des processus de reconditionnement ... sanitaires, bois radiateurs en fonte, etc.”",Process link is real; exact Aufbereitungsverfahren ID requires live graph lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
baticycle,Aufbereitungsverfahren,LOOKUP_REQUIRED_reconditionnement,Reconditionnement,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,L81-L83,“Chaque produit est soigneusement sélectionné pour sa qualité et reconditionné par nos équipes.”,Exact Aufbereitungsverfahren ID requires Cypher lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
reempro,Aufbereitungsverfahren,LOOKUP_REQUIRED_mechanical_brick_cleaning,Mechanical brick cleaning,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,Réempro home,https://www.reempro.com/,L225-L230,“Reconditionnement de briques… Grâce à un nettoyage mécanique…”,Exact Aufbereitungsverfahren ID requires Cypher lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
reempro,Aufbereitungsverfahren,LOOKUP_REQUIRED_technical_floor_sanding,Technical floor sanding,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,Réempro home,https://www.reempro.com/,L227-L233,“Le ponçage de la dalle permet de remettre à neuf sa surface…”,Exact Aufbereitungsverfahren ID requires Cypher lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
reempro,Aufbereitungsverfahren,LOOKUP_REQUIRED_ceramic_sanitary_cleaning,Ceramic sanitary cleaning,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,Réempro home,https://www.reempro.com/,L227-L233,“nettoyage en profondeur de la céramique à partir de produits biosourcés”,Exact Aufbereitungsverfahren ID requires Cypher lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
reempro,Rueckbauverfahren,LOOKUP_REQUIRED_deconstruction_selective,Déconstruction sélective,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,Réempro home,https://www.reempro.com/,L176-L179; L200-L201,Réempro intervient ... pour procéder à la déconstruction sélective.,Exact Rueckbauverfahren ID requires Cypher lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
raedificare,PruefungNachweis,LOOKUP_REQUIRED_diagnostic_pemd,Diagnostic PEMD / Ressource,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,RAEDIFICARE marketplace,https://raedificare.com/marketplace/,L176-L177; L217-L225,Synchronization with diagnostic PEMD + Ressource enables automatic publication of materials.,Strong process/evidence candidate; exact PruefungNachweis ID requires graph lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
raedificare,PruefungNachweis,LOOKUP_REQUIRED_bilan_carbone,Bilan environnemental / carbone,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,RAEDIFICARE marketplace,https://raedificare.com/marketplace/,L107-L109; L176-L177,Platform generates environmental balances/waste/reuse/carbon savings and avoided carbon impact per material.,Exact PruefungNachweis ID requires graph lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
salza,PruefungNachweis,LOOKUP_REQUIRED_admin_final_check,Administrative final check before publication,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,Salza Bauteil-Plattform,https://salza.ch/bauteil-plattform,L71-L77,"After payment and a final check by Salza administration, components are published.",Exact PruefungNachweis ID requires graph lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
cornermat_retrival,Rueckbauverfahren,LOOKUP_REQUIRED_dismantling_by_operator,Démontage / curage by own staff,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_SEARCH,Cornermat home,https://www.cornermat.be/-2,search extract,“Nos matériaux sont démontés par notre personnel sur nos chantiers de curage.”,Exact Rueckbauverfahren ID requires graph lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
resandes,Aufbereitungsverfahren,LOOKUP_REQUIRED_restored_reglazed,Restored / re-glazed windows and doors,CYPHER_LOOKUP_REQUIRED,DIRECT_FIRST_PARTY_FETCHED,ResAnDes historical building materials,https://resandes.de/en/,L92-L95,"Old windows and doors available in original salvage condition, drained or fully restored and re-glazed.",Exact Aufbereitungsverfahren ID requires Cypher lookup.,no,material_or_bauteiltyp_or_process,continuation_3_final_evidence_check
