"source","relation","old_target","new_target","raw_label","old_confidence","new_confidence","old_resolution_rule","new_resolution_rule"
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__005__Dachgarten_Tragunterbau","uses_material","material/Sekundaerstahl","material/Stahl","Reused steel/concrete structure","rule_high","rule_high","material_secondary_steel","manual_40c_consolidate_Sekundaerstahl"
"reuse_einsatz/Boulder_Fire_Station_3__003__Glulam_timber_columns","uses_material","material/Brettschichtholz","material/Holz","Brettschichtholz","rule_high","rule_high","material_brettschichtholz","manual_40c_consolidate_Brettschichtholz"
"reuse_einsatz/CascadeUp_London_secondary_timber_glulam_demonstrator__001__Tragwerksrahmen_Balken_St_tzen","uses_material","material/Brettschichtholz","material/Holz","glued-laminated secondary timber (glulamST) aus Abbruchholz","rule_high","rule_high","material_brettschichtholz","manual_40c_consolidate_Brettschichtholz"
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","uses_material","material/Marmor","material/Naturstein","Stahl, Sichtbeton, Glas, Marmor","rule_high","rule_high","material_marmor","manual_40c_consolidate_Marmor"
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","uses_material","material/Marmor","material/Naturstein","Marmor + Glas","rule_high","rule_high","material_marmor","manual_40c_consolidate_Marmor"
"reuse_einsatz/Circular_Pavilion_Paris__002__Mineral_Steinwolle","uses_material","material/Mineralwolle","material/Daemmstoff","Mineralwolle","rule_high","rule_high","material_mineralwolle","manual_40c_consolidate_Mineralwolle"
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__005__Steinwolled_mmung","uses_material","material/Mineralwolle","material/Daemmstoff","Mineralwolle/Steinwolle","rule_high","rule_high","material_mineralwolle","manual_40c_consolidate_Mineralwolle"
"reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","uses_material","material/Granit","material/Naturstein","Granit","rule_high","rule_high","material_granit","manual_40c_consolidate_Granit"
"reuse_einsatz/Grande_Halle_de_Colombelles__001__Mineralwolle_D_mmung","uses_material","material/Mineralwolle","material/Daemmstoff","Stein-/Mineralwolle","rule_high","rule_high","material_mineralwolle","manual_40c_consolidate_Mineralwolle"
"reuse_einsatz/Hastings_Pier_Visitor_Centre__004__neues_Tragwerk_Besucherzentrum","uses_material","material/Brettsperrholz","material/Holz","Brettsperrholz / CLT","rule_high","rule_high","material_brettsperrholz","manual_40c_consolidate_Brettsperrholz"
"reuse_einsatz/Holbein_Gardens_London__005__CLT_Decken","uses_material","material/Brettsperrholz","material/Holz","Holz / CLT","rule_high","rule_high","material_brettsperrholz","manual_40c_consolidate_Brettsperrholz"
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__006__EPS_D_mmung","uses_material","material/Polystyrol","material/Daemmstoff","EPS","rule_high","rule_high","material_polystyrol","manual_40c_consolidate_Polystyrol"
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__003__Granitboden","uses_material","material/Granit","material/Naturstein","geflammter Granit","rule_high","rule_high","material_granit","manual_40c_consolidate_Granit"
"reuse_einsatz/Multi_Brussels_Reuse_in_MULTI__004__Granitplatten_Terrasse","uses_material","material/Granit","material/Naturstein","Granit","rule_high","rule_high","material_granit","manual_40c_consolidate_Granit"
"reuse_einsatz/PLP_London_HQ_Circular_Studio_Fitout__003__Reclaimed_marble","uses_material","material/Marmor","material/Naturstein","Marmor","rule_high","rule_high","material_marmor","manual_40c_consolidate_Marmor"
"reuse_einsatz/Recyclinghaus_Hannover__003__Faserzement_Eternitplatten","uses_material","material/Faserzement","material/Beton","Faserzement","rule_high","rule_high","material_faserzement","manual_40c_consolidate_Faserzement"
"reuse_einsatz/Recypark_Demets_Anderlecht__001__Brettschichtholzb_gen","uses_material","material/Brettschichtholz","material/Holz","Brettschichtholz","rule_high","rule_high","material_brettschichtholz","manual_40c_consolidate_Brettschichtholz"
"reuse_einsatz/Recypark_Demets_Anderlecht__002__Neue_Brettschichtholzb_gen","uses_material","material/Brettschichtholz","material/Holz","Brettschichtholz neu","rule_high","rule_high","material_brettschichtholz","manual_40c_consolidate_Brettschichtholz"
"reuse_einsatz/Resilience_La_Ferme_des_Possibles_Stains__012__Granitpflaster","uses_material","material/Granit","material/Naturstein","Granit","rule_high","rule_high","material_granit","manual_40c_consolidate_Granit"
"reuse_einsatz/Timber_Square_London__004__CLT_floor_panels","uses_material","material/Brettsperrholz","material/Holz","Holz/CLT","rule_high","rule_high","material_brettsperrholz","manual_40c_consolidate_Brettsperrholz"
"reuse_einsatz/TRAE_High_Rise_Aarhus__001__Prim_rstruktur","uses_material","material/Brettsperrholz","material/Holz","Massivholz / CLT / Beton","rule_high","rule_high","material_brettsperrholz","manual_40c_consolidate_Brettsperrholz"
"reuse_einsatz/Villa_Welpeloo_Enschede__004__Polystyrol_D_mmplatten","uses_material","material/Polystyrol","material/Daemmstoff","Polystyrol","rule_high","rule_high","material_polystyrol","manual_40c_consolidate_Polystyrol"
"reuse_einsatz/Woongroep_Boschgaard_Den_Bosch__001__Dachspanten_Kniespanten","uses_material","material/Brettschichtholz","material/Holz","Brettschichtholz / Holz","rule_high","rule_high","material_brettschichtholz","manual_40c_consolidate_Brettschichtholz"
"reuse_einsatz/Zinneke_Feder_Masui4ever_Brussels__003__Steinwolle_D_mmplatten","uses_material","material/Mineralwolle","material/Daemmstoff","Mineralwolle","rule_high","rule_high","material_mineralwolle","manual_40c_consolidate_Mineralwolle"
