entity,group,property,total_in_group,nodes_or_rels_with_property,coverage_pct,missing_count,types,type_drift,empty_count,unique_values_seen_cap_1001,action,priority,reason,sample_values
node,Akteur,id,684,684,100.0,0,str:684,,0,684,keep_minimum,P0,identity handle required by constraints and patch tooling,cbre || werner_sobek_p || gardiner_and_theobald || baumatpool_ch
node,Akteur,name,684,684,100.0,0,str:684,,0,681,keep_minimum,P0,human caption / browser display,CBRE || Werner Sobek || Gardiner & Theobald || Baumatpool.ch
node,Akteur,review_run,684,16,2.34,668,str:16,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,schema_compatible_bauteilboersen_update_2026_06_01
node,Akteur,source_scope,684,15,2.19,669,str:15,,0,1,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",actor_registry_context
node,Akteurrolle,aliases,24,9,37.5,15,list[str]:9,,0,9,review_keep_if_used,P2,human curation aid; keep only if actively queried,"[""Architektur""] || [""Pruefung_Qualitaetssicherung""] || [""Bauausfuehrung""] || [""Rueckbau_Demontage""]"
node,Akteurrolle,id,24,24,100.0,0,str:24,,0,24,keep_minimum,P0,identity handle required by constraints and patch tooling,ar_materialbroker || ar_aufbereitung_refurbishment || ar_bauherr_auftraggeber || ar_forschung_dokumentation
node,Akteurrolle,name,24,24,100.0,0,str:24,,0,24,keep_minimum,P0,human caption / browser display,Materialbroker / Reuse-Marketplace-Betreiber || Aufbereitung_Refurbishment || Bauherr_Auftraggeber || Forschung_Dokumentation
node,Akteurtyp,aliases,10,1,10.0,9,list[str]:1,,0,1,review_keep_if_used,P2,human curation aid; keep only if actively queried,"[""Verband_Kammer""]"
node,Akteurtyp,id,10,10,100.0,0,str:10,,0,10,keep_minimum,P0,identity handle required by constraints and patch tooling,at_person || at_organisation || at_unternehmen || at_oeffentliche_institution
node,Akteurtyp,name,10,10,100.0,0,str:10,,0,10,keep_minimum,P0,human caption / browser display,Person || Organisation || Unternehmen || Oeffentliche_Institution
node,Akzeptanz,id,7,7,100.0,0,str:7,,0,7,keep_minimum,P0,identity handle required by constraints and patch tooling,ak_dgnb_zertifizierung || ak_breeam_zertifizierung || ak_leed_zertifizierung || ak_oeffentlicher_bauherr_pilot
node,Akzeptanz,name,7,7,100.0,0,str:7,,0,7,keep_minimum,P0,human caption / browser display,DGNB || BREEAM || LEED || Public-Bauherr Pilot
node,Akzeptanz,name_full,7,7,100.0,0,str:7,,0,7,review_keep_if_distinct,P2,keep only when materially different from name,DGNB-Zertifizierung akzeptiert Reuse || BREEAM-Zertifizierung akzeptiert Reuse || LEED-Zertifizierung akzeptiert Reuse || Öffentlicher Bauherr (Pilotprojekt-Akzeptanz)
node,Akzeptanz,scope_note,7,7,100.0,0,str:7,,0,7,keep_minimum,P1,controlled vocabulary definition,"Deutsches Nachhaltigkeitszertifikat (DGNB) gewährt Bonuspunkte für Bauteilwiederverwendung. || UK-basiertes Nachhaltigkeitszertifikat; Mat-Credits für Reuse. || US-basiertes Nachhaltigkeitszertifikat; Materials & Resources credits für Reuse. || Öffentliche Bauherren akzeptieren Reuse über Pilot-/Forschungsrahmen (z.B. SBB, ETH, Bauamt)."
node,Aufbereitungsverfahren,id,62,62,100.0,0,str:62,,0,62,keep_minimum,P0,identity handle required by constraints and patch tooling,av_oberflaechenbehandlung || av_zerlegung_vereinzelung || av_materialsortierung_chargenbildung || av_kaskadierende_wiederverwendung
