claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
w4_w4_01-0001,rel,,Rotor,maarten_gielen,VERBUNDEN_MIT_AKTEUR,Rotor -VERBUNDEN_MIT_AKTEUR-> maarten_gielen (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0002,rel,,Rotor,tristan_boniver,VERBUNDEN_MIT_AKTEUR,Rotor -VERBUNDEN_MIT_AKTEUR-> tristan_boniver (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0003,rel,,anja_rosen,urban_mining_index,VERBUNDEN_MIT_AKTEUR,anja_rosen -VERBUNDEN_MIT_AKTEUR-> urban_mining_index (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0004,rel,,anna_buser,re_win,VERBUNDEN_MIT_AKTEUR,anna_buser -VERBUNDEN_MIT_AKTEUR-> re_win (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0005,rel,,baukarussell,markus_meissner,VERBUNDEN_MIT_AKTEUR,baukarussell -VERBUNDEN_MIT_AKTEUR-> markus_meissner (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0006,rel,,baukarussell,matthias_neitsch,VERBUNDEN_MIT_AKTEUR,baukarussell -VERBUNDEN_MIT_AKTEUR-> matthias_neitsch (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0007,rel,,baukarussell,romm_zt,VERBUNDEN_MIT_AKTEUR,baukarussell -VERBUNDEN_MIT_AKTEUR-> romm_zt (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0008,rel,,baukarussell,thomas_romm,VERBUNDEN_MIT_AKTEUR,baukarussell -VERBUNDEN_MIT_AKTEUR-> thomas_romm (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0009,rel,,bauteilkatalog_immobilien_basel_stadt,bauteilboerse_basel_overall,VERBUNDEN_MIT_AKTEUR,bauteilkatalog_immobilien_basel_stadt -VERBUNDEN_MIT_AKTEUR-> bauteilboerse_basel_overall (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0010,rel,,bauteilkatalog_immobilien_basel_stadt,zirkular,VERBUNDEN_MIT_AKTEUR,bauteilkatalog_immobilien_basel_stadt -VERBUNDEN_MIT_AKTEUR-> zirkular (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
w4_w4_01-0011,rel,,c_creators,vera_van_maaren,VERBUNDEN_MIT_AKTEUR,c_creators -VERBUNDEN_MIT_AKTEUR-> vera_van_maaren (W4 selective unsupported delete),web,w3_05_vma.patch.jsonl,true,200,UNSUPPORTED,unbelegt,,DELETE,W4-01,bg_-excluded selective delete; source=w3_05_vma.patch.jsonl,W4-01,element,,rel
