"final_status","final_role","entity","id","title","origin_group","migration_status","came_from","final_path","current_path"
"include_final","core entity","akteur","Architects_for_Future_Deutschland","Architects for Future Deutschland","old knowledge","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\Architects_for_Future_Deutschland.md; akteur\08_digitale_plattformen_daten\Abriss_Atlas.md","_database/akteur/Architects_for_Future_Deutschland/index.md",".\_graph\akteur\Architects_for_Future_Deutschland\index.md"
"include_final","core entity","akteur","Architektenkammer_Berlin_A_Wie_Zirkulaer","Architektenkammer Berlin A Wie Zirkulaer","old knowledge","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\Architektenkammer_Berlin_A_Wie_Zirkulaer.md","_database/akteur/Architektenkammer_Berlin_A_Wie_Zirkulaer/index.md",".\_graph\akteur\Architektenkammer_Berlin_A_Wie_Zirkulaer\index.md"
"include_final","core entity","akteur","Arup","Arup","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\Brent_Cross_Town_Primary_Substation_London.md; Gebäude\Peoples_Pavilion_Eindhoven.md","_database/akteur/Arup/index.md",".\_graph\akteur\Arup\index.md"
"include_final","core entity","akteur","baubuero_in_situ_zirkular","baubüro in situ + Zirkular","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\baubuero_in_situ_zirkular.md","_database/akteur/baubuero_in_situ_zirkular/index.md",".\_graph\akteur\baubuero_in_situ_zirkular\index.md"
"include_final","core entity","akteur","Bauhaus_Erde","Bauhaus Erde","old knowledge","migrated_phase3_core_entities","akteur\03_forschung_lehre_wissenstransfer\Bauhaus_Erde.md","_database/akteur/Bauhaus_Erde/index.md",".\_graph\akteur\Bauhaus_Erde\index.md"
"include_final","core entity","akteur","Bauteilboerse_Bremen","Bauteilboerse Bremen","old knowledge","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Bremen.md","_database/akteur/Bauteilboerse_Bremen/index.md",".\_graph\akteur\Bauteilboerse_Bremen\index.md"
"include_final","core entity","akteur","Bauteilboerse_Hannover","Bauteilbörse Hannover","old knowledge","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilboerse_Hannover.md","_database/akteur/Bauteilboerse_Hannover/index.md",".\_graph\akteur\Bauteilboerse_Hannover\index.md"
"include_final","core entity","akteur","Bauteilnetz_Deutschland","Bauteilnetz Deutschland","old knowledge","migrated_phase3_core_entities","akteur\06_bauteilboersen_marktplaetze_handel\Bauteilnetz_Deutschland.md","_database/akteur/Bauteilnetz_Deutschland/index.md",".\_graph\akteur\Bauteilnetz_Deutschland\index.md"
"include_final","core entity","akteur","BBSR_Zukunft_Bau","BBSR Zukunft Bau","old knowledge","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\BBSR_Zukunft_Bau.md","_database/akteur/BBSR_Zukunft_Bau/index.md",".\_graph\akteur\BBSR_Zukunft_Bau\index.md"
"include_final","core entity","akteur","BDA_Bund_Deutscher_Architektinnen_Architekten","BDA Bund Deutscher Architektinnen Architekten","old knowledge","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\BDA_Bund_Deutscher_Architektinnen_Architekten.md","_database/akteur/BDA_Bund_Deutscher_Architektinnen_Architekten/index.md",".\_graph\akteur\BDA_Bund_Deutscher_Architektinnen_Architekten\index.md"
"include_final","core entity","akteur","Bellastock","Bellastock","old knowledge","migrated_phase3_core_entities","akteur\04_planung_architektur_ingenieurwesen\Bellastock.md","_database/akteur/Bellastock/index.md",".\_graph\akteur\Bellastock\index.md"
"include_final","core entity","akteur","BIM_Berlin","BIM Berlin — vertieftes Forschungsdossier","old knowledge","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\BIM_Berlin.md","_database/akteur/BIM_Berlin/index.md",".\_graph\akteur\BIM_Berlin\index.md"
"include_final","core entity","akteur","BIZH","BIZH","old knowledge","migrated_phase3_core_entities","akteur\07_materialinitiativen_hubs\BIZH.md","_database/akteur/BIZH/index.md",".\_graph\akteur\BIZH\index.md"
"include_final","core entity","akteur","BLAF_Architecten","BLAF Architecten","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\gjG_House_Gentbrugge.md; Gebäude\Maison_DnA_Asse.md","_database/akteur/BLAF_Architecten/index.md",".\_graph\akteur\BLAF_Architecten\index.md"
"include_final","core entity","akteur","Bundesstiftung_Bauakademie","Bundesstiftung Bauakademie","old knowledge","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Bauakademie.md","_database/akteur/Bundesstiftung_Bauakademie/index.md",".\_graph\akteur\Bundesstiftung_Bauakademie\index.md"
"include_final","core entity","akteur","Bundesstiftung_Baukultur","Bundesstiftung Baukultur","old knowledge","migrated_phase3_core_entities","akteur\01_oeffentliche_institutionen_foerderung\Bundesstiftung_Baukultur.md","_database/akteur/Bundesstiftung_Baukultur/index.md",".\_graph\akteur\Bundesstiftung_Baukultur\index.md"
"include_final","core entity","akteur","C2C_NGO","C2C NGO","old knowledge","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\C2C_NGO.md","_database/akteur/C2C_NGO/index.md",".\_graph\akteur\C2C_NGO\index.md"
"include_final","core entity","akteur","cepezed","cepezed","generated actor from repeated case label","migrated_phase8_promoted_repeated_actor","Gebäude\Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md; Gebäude\The_Green_House_Utrecht.md","_database/akteur/cepezed/index.md",".\_graph\akteur\cepezed\index.md"
"include_final","core entity","akteur","Circular_Berlin","Circular Berlin","old knowledge","migrated_phase3_core_entities","akteur\02_kammern_verbaende_ngos_netzwerke\Circular_Berlin.md","_database/akteur/Circular_Berlin/index.md",".\_graph\akteur\Circular_Berlin\index.md"
