value,count,n_files,knoten_kandidat_n>=3,files
Design_for_Disassembly,7,6,JA,Altes_Hobelwerk_Winterthur.md; BOELL_LAB_Berlin.md; Bestandshalle_CRCLR_House.md; Hobelwerk_Haus_D_Oberwinterthur.md; LysP8_Basel_Lysbuechelareal.md; ReUseBox_Heilbronn.md
Bauteiljagd,4,4,JA,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md; Hobelwerk_Haus_D_Oberwinterthur.md; K118_Kopfbau_Halle_118_Winterthur.md; LysP8_Basel_Lysbuechelareal.md
ReUse_LCA,3,3,JA,Hobelwerk_Haus_D_Oberwinterthur.md; K118_Kopfbau_Halle_118_Winterthur.md; LysP8_Basel_Lysbuechelareal.md
Bauteilernte,2,2,,Da_Vinci_Business_District.md; Recyclinghaus_Hannover.md
Bauteilkatalogisierung,2,1,,Areal_Walkeweg_Nord.md
Rueckbauplanung,2,2,,Areal_Walkeweg_Nord.md; Lysbuechel_Parkhaus.md
Materialpass,2,1,,Bestandshalle_CRCLR_House.md
Low_Tech,2,2,,BOELL_LAB_Berlin.md; ReUseBox_Heilbronn.md
Bauteilkatalog,2,2,,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md; Lysbuechel_Parkhaus.md
Circular economy / urban mining,1,1,,55_Great_Suffolk_Street_London.md
ReUse first / Design follows availability,1,1,,AWM_Muenster_Circular_Office.md
Relocate and reuse/recycle infrastructural materials as building components,1,1,,Big_Dig_Building_Boston.md
Prototype / prefabricated system from salvaged components,1,1,,Big_Dig_House_Lexington_Massachusetts.md
"Archivrecherche, Berechnung, destruktive Untersuchung",1,1,,BioPartner_5_Leiden_Oegstgeest.md
harvesting / Oogstkaart-Logik,1,1,,BlueCity_Offices_Rotterdam.md
"Kit-of-parts, demontierbare modulare Struktur",1,1,,CascadeUp_London_secondary_timber_glulam_demonstrator.md
"Materialjagd, Materialpässe, reversible Fügung, sichtbare TGA",1,1,,CRCLR_House_Impact_Hub_Berlin.md
LEAN-Planung,1,1,,Ferme_du_Rail_Paris.md
Brick Wall City / Big Brick,1,1,,gjG_House_Gentbrugge.md
CCTP à variantes / „à trous“,1,1,,Grande_Halle_de_Colombelles.md
Materialsammlung vor/parallel zur Planung,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
frühe Reuse-Beschaffungsentscheidung,1,1,,Holbein_Gardens_London.md
Design for Disassembly,1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
Materialenpaspoort,1,1,,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
Bauteiljagd / component hunting,1,1,,Juch_Areal_Recyclingzentrum_Zuerich.md
"Katalogisieren, Prüfen, Lagermanagement",1,1,,K118_Kopfbau_Halle_118_Winterthur.md
Circular Design / Materialwiederverwendung / adaptive reuse,1,1,,Liander_Alliander_HQ_Duiven.md
„intelligent ruin“,1,1,,Maison_DnA_Asse.md
"Betonsägen, Heben, Transport, Reassemblage",1,1,,ReCrete_footbridge_reused_concrete_blocks.md
recyclinggerechte Bauweise,1,1,,Recyclinghaus_Hannover.md
Urban Mining / elementweises Ausschneiden,1,1,,Resource_Rows_Copenhagen.md
Demolition audit / pre-demolition audit,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
Material mapping vor Abbruch,1,1,,Svanen_Kindergarten_Gladsaxe.md
Harvest Map / Materialscouting,1,1,,Villa_Welpeloo_Enschede.md
Co-design / Co-execution mit technischer Crew,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
Minimalinvasiver_Umbau,1,1,,Altes_Hobelwerk_Winterthur.md
Pioniernutzung,1,1,,Altes_Hobelwerk_Winterthur.md
Gebaeudesimulation,1,1,,BOELL_LAB_Berlin.md
Gebaeuderessourcenpass,1,1,,BOELL_LAB_Berlin.md
Materiallager,1,1,,Da_Vinci_Business_District.md
ReUse_Logistik,1,1,,Da_Vinci_Business_District.md
Erbbaurecht,1,1,,Kindl_Areal.md
Gemeinwohlorientierte_Projektentwicklung,1,1,,Kindl_Areal.md
Pruefung_gebrauchter_Bauteile,1,1,,Lysbuechel_Parkhaus.md
Zwischenlagerung,1,1,,Lysbuechel_Parkhaus.md
Bauteilpass,1,1,,ReUseBox_Heilbronn.md
Bauteillager,1,1,,ReUseBox_Heilbronn.md
