project_id,status,em_id,ae_id,integration_phase,integration_layer,begruendung,skip_edges,em_zuordnung_pruefung,ae_zuordnung_pruefung,belegkonfidenz,em_extraktionsstatus,ae_extraktionsstatus
p_55_great_suffolk_street_london,matched,em_design_with_stock,ae_exposed_reuse_structure,early,structure,Bruetting stock forms external core,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_association_house_groeditz,matched,em_typology_adaptation,ae_modular_grid_form,midway,envelope,DDR panel typology,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_association_house_plauen,matched,em_typology_adaptation,ae_modular_grid_form,midway,envelope,DDR panel typology,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_awm_muenster_circular_office,matched,em_design_for_disassembly,ae_interior_reuse_atmosphere,late,interior,DfD office fit-out,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_bedzed_london_hackbridge,matched,em_design_with_stock,ae_exposed_reuse_structure,early,structure,Stock-informed BedZED,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_berlin_schildow_pilot_house,matched,em_typology_adaptation,ae_modular_grid_form,midway,envelope,Platten pilot,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_bestandverplanzung_pavilion_muenchen,matched,em_design_for_disassembly,ae_reversible_tectonics,midway,envelope,Demountable pavilion,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_big_dig_building_boston,matched,em_circularity_demonstrator,ae_infrastructural_spolia,early,structure,Research + highway spolia,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_big_dig_house_lexington_massachusetts,matched,em_spolia_design,ae_infrastructural_spolia,early,structure,Highway steel spolia,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_biopartner_5_leiden_oegstgeest,matched,em_component_matchmaking,ae_patchwork_envelope,midway,envelope,Donor lab fit-out,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_bluecity_offices_rotterdam,matched,em_design_with_stock,ae_interior_reuse_atmosphere,late,interior,Urban mining office,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_boulder_fire_station_3,matched,em_spolia_design,ae_exposed_reuse_structure,early,structure,Reassembled structure,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_brent_cross_town_primary_substation_london,matched,em_design_with_stock,ae_exposed_reuse_structure,early,structure,Reclaimed steel structure,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_brighton_waste_house_brighton,matched,em_circularity_demonstrator,ae_didactic_circularity,midway,envelope,Waste material research showcase,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_broethen_twin_house_hoyerswerda,matched,em_typology_adaptation,ae_modular_grid_form,midway,envelope,Platten twin house,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_careno_becircular,unmatched_no_projekt,,,,,,true,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_cascadeup_london_secondary_timber_glulam_demonstrator,matched,em_circularity_demonstrator,ae_exposed_reuse_structure,early,structure,Timber glulam demonstrator,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_charles_malis_molenbeek,unmatched_no_projekt,,,,,,true,,,Low/DoNotExtract,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_chiro_d_itterbeek_dilbeek,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,School conversion,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_christ_pavilion_volkenroda,matched,em_design_with_stock,ae_patchwork_envelope,midway,envelope,Reclaimed component pavilion,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_circl_abn_amro,matched,em_design_for_disassembly,ae_reversible_tectonics,midway,envelope,Circl demountable,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,matched,em_design_with_stock,ae_patchwork_envelope,midway,envelope,Reuse pilot centre,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_circular_pavilion_paris,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Paris circular pavilion,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_crclr_house_impact_hub_berlin,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,CRCLR fit-out,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_elementa_walkeweg,matched,em_component_matchmaking,ae_exposed_reuse_structure,early,structure,Donor structure,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_elys_kultur_gewerbehaus_basel,matched,em_design_with_stock,ae_patchwork_envelope,midway,envelope,Reclaimed facade,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_eth_circular_construction_student_reuse_project,unmatched_no_projekt,,,,,,true,,,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_eth_circular_construction_student_reuse,unmatched_no_projekt,,,,,,true,,,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_europa_building_brussels,matched,em_spolia_design,ae_cultural_continuity_spolia,midway,envelope,EU spolia facade,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_fcrbe,unmatched_no_projekt,,,,,,true,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_ferme_du_rail_paris,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Rail building conversion,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_gjg_house_gentbrugge,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,House transformation,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_grande_halle_de_colombelles,matched,em_building_transformation,ae_cultural_continuity_spolia,midway,envelope,Hall memory,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_grubenstrasse_29_werkhof_29_zuerich,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Werkhof conversion,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_hastings_pier_visitor_centre,matched,em_spolia_design,ae_cultural_continuity_spolia,midway,envelope,Pier salvage memory,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_haus_hos_mehrfamilienhaus_muehlhausen,matched,em_design_with_stock,ae_exposed_reuse_structure,early,structure,Reclaimed structure,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_holbein_gardens_london,matched,em_design_with_stock,ae_exposed_reuse_structure,early,structure,Early-procurement steel,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_house_of_fraser_318_oxford_street_tbc_london_reuse_chain,matched,em_component_matchmaking,ae_exposed_reuse_structure,early,structure,HoF to TBC chain,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere,matched,em_circularity_demonstrator,ae_modular_grid_form,midway,envelope,ReCreate pilot,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_impact_hub_berlin_crclr_fitout,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Impact hub fit-out,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_institut_de_botanique_ulg_liege,matched,em_design_with_stock,ae_patchwork_envelope,midway,envelope,Reclaimed doors facade,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_interreg_nwe_fcrbe,unmatched_no_projekt,,,,,,true,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_jeugdkliniek_ithaka_emergis_kloetinge,matched,em_component_matchmaking,ae_interior_reuse_atmosphere,late,interior,Donor clinic,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_juch_areal_recyclingzentrum_zuerich,matched,em_building_transformation,ae_didactic_circularity,midway,envelope,Public recycling didactic,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_jugendtreff_ingersheim,matched,em_circularity_demonstrator,ae_interior_reuse_atmosphere,late,interior,Youth centre pilot,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_k118_kopfbau_halle_118_winterthur,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Hall 118 conversion,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_ka13_kristian_augusts_gate_13_oslo,matched,em_component_matchmaking,ae_exposed_reuse_structure,early,structure,Telephone exchange donor,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_kamikatsu_zero_waste_center_hotel_why,matched,em_building_transformation,ae_didactic_circularity,midway,envelope,Zero waste didactic,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_kindergarten_moeoeslistrasse_manegg_zuerich,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Kindergarten conversion,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_liander_alliander_hq_duiven,matched,em_design_with_stock,ae_interior_reuse_atmosphere,late,interior,HQ interior reuse,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lo_reninge_town_hall_facade,matched,em_building_transformation,ae_patchwork_envelope,midway,envelope,Town hall facade reuse,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lokomotion_technology_centre_mini_pilot_tampere,matched,em_circularity_demonstrator,ae_modular_grid_form,midway,envelope,Tampere pilot,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lycee_michel_lucius_conversion_luxembourg,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,School conversion,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lysp8,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Lysp8 conversion,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_lysp8_basel,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Lysp8 Basel,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_maison_des_canaux_paris,matched,,,,,Low/DoNotExtract,true,True,True,Low,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_maison_dna_asse,matched,,,,,Low/DoNotExtract,true,True,True,Low/DoNotExtract,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_maison_vignette_auderghem,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Maison vignette,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_meduni_campus_mariannengasse,matched,em_component_matchmaking,ae_interior_reuse_atmosphere,late,interior,Campus donor chain,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_mehrow_pilot_house,matched,em_typology_adaptation,ae_modular_grid_form,midway,envelope,Platten pilot house,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_melkinlaituri_primary_school_daycare_centre_helsinki,matched,em_design_with_stock,ae_modular_grid_form,midway,envelope,Module stock school,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_montessori_maassluis,matched,em_design_with_stock,ae_exposed_reuse_structure,early,structure,Reclaimed timber structure,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_multi_brussels_reuse_in_multi,matched,em_building_transformation,ae_didactic_circularity,midway,envelope,Multi didactic reuse,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_musee_de_folklore_mouscron,matched,em_component_matchmaking,ae_patchwork_envelope,midway,envelope,Museum donor facade,false,False,False,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_pavilion_circl_amsterdam,unmatched_no_projekt,,,,,,true,,,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_peoples_pavilion_eindhoven,matched,em_material_bank_building,ae_reversible_tectonics,midway,envelope,100% borrowed pavilion,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_plattenpalast_berlin,matched,em_typology_adaptation,ae_cultural_continuity_spolia,midway,envelope,DDR typology + memory,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_plattenvereinigung_berlin,matched,em_spolia_design,ae_modular_grid_form,midway,envelope,Panel spolia reassembly,false,False,False,Medium,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_plp_london_hq_circular_studio_fitout,matched,em_building_transformation,ae_interior_reuse_atmosphere,late,interior,Studio fit-out,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_rcmi_concular,unmatched_no_projekt,,,,,,true,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_re_use_hoefe,unmatched_no_projekt,,,,,,true,,,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_recrete_footbridge_reused_concrete_blocks,matched,em_spolia_design,ae_infrastructural_spolia,early,structure,Concrete block spolia,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_reallabor_b_e_ware,unmatched_no_projekt,,,,,,true,,,Medium/Research,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_reallabor_be_ware,unmatched_no_projekt,,,,,,true,,,Medium/Research,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_rebridge_structural_reuse_project,unmatched_no_projekt,,,,,,true,,,No/ResearchOnly,DO NOT EXTRACT without stronger evidence,DO NOT EXTRACT without stronger evidence
p_recyclinghaus_hannover,matched,em_design_for_disassembly,ae_interior_reuse_atmosphere,late,interior,Recyclinghaus DfD,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_recypark_demets_anderlecht,matched,em_design_with_stock,ae_patchwork_envelope,midway,envelope,Demolition waste facade,false,False,False,High,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
p_refair_bordeaux_reemploi_platform,unmatched_no_projekt,,,,,,true,,,Medium/TopologyOnly,CREATE/UPDATE if graph relation fits,CREATE/UPDATE if graph relation fits
