value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,2,2,,Big_Dig_House_Lexington_Massachusetts.md; Maison_DnA_Asse.md
Stahlbauverbindungen,1,1,,55_Great_Suffolk_Street_London.md
Ziegelschicht zum Höhenausgleich; überlappende Fassaden-Fertigteile,1,1,,Association_house_Groeditz.md
Anschlussdetails mit Toleranzen für verschiedene Profile,1,1,,BedZED_London_Hackbridge.md
WBS70-Knoten / neue Anschlüsse unbekannt,1,1,,Berlin_Schildow_Pilot_House.md
demontierbar detaillierte Stahlkonstruktion,1,1,,BioPartner_5_Leiden_Oegstgeest.md
geneigte Fensterrahmen / Trennwandsystem,1,1,,BlueCity_Offices_Rotterdam.md
demontierbare/modulare Fügung,1,1,,Christ_Pavilion_Volkenroda.md
Holzbekleidung auf neuem Visitor Centre,1,1,,Hastings_Pier_Visitor_Centre.md
heterogene Fenster in Holzrahmen,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Kalkmörtel / traditioneller Lime mortar,1,1,,Lo_Reninge_Town_Hall_Facade.md
Ziegel-Claustra ohne zusätzliche metallische Aufhängung,1,1,,Maison_Vignette_Auderghem.md
Spannbänder / Metall-Umreifungsbänder,1,1,,Peoples_Pavilion_Eindhoven.md
Stahllaschen und Bolzen; reversible Stahl-/Dübelverbindungen,1,1,,Plattenpalast_Berlin.md
Nachspannung / post-tensioning,1,1,,ReCrete_footbridge_reused_concrete_blocks.md
Fassadenmontage auf Neubau,1,1,,Resource_Rows_Copenhagen.md
geschweißt,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
"Stabkreuzverbände, vertikale Zug-Kreuzverbände",1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
trockene / demontierbare Montage,1,1,,The_Green_House_Utrecht.md
reversible joints / non-composite structural design,1,1,,Timber_Square_London.md
