claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
w3_06-0001,node,bw_cleveland_steel_and_tubes_stock,,,Materialdepot,Cleveland Steel and Tubes reclaimed stock depot exists,none,,true,200,MISSING_EVIDENCE,,,ADD_SOURCE,W3-06,real stockholder; add clevelandsteel.com; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:10,node
w3_06-0002,node,cbre,,,Akteur,CBRE - Unternehmen,candidate,https://www.cbre.com/,true,403,MISSING_EVIDENCE,kandidat,,ADD_SOURCE,W3-06,real identifiable Unternehmen; candidate official domain (UNFETCHED) - verify before import; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:16,node
w3_06-0003,node,bw_school_type_dresden_donor,,,Bauwerk,"Bauwerk 'School type Dresden…' at Gröditz area, 01609, Germany",dossier,archive:Association_house_Groeditz.md,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:26,node
w3_06-0004,node,bw_iw73_6_mass_housing_donor,,,Bauwerk,"Bauwerk 'IW73/6 mass-housing…' at Plauen, 08527, Germany",dossier,archive:Association_house_Plauen.md,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:35,node
w3_06-0005,node,materialrest24,,,Akteur,Materialrest24 sourced only by weak/non-first-party URLs,none,https://www.handwerk-magazin.de/materialrest24de-restbestaende-clever-verwerten-183318,true,200,MISSING_EVIDENCE,,,RESOURCE,W3-06,only third-party/press + Instagram as sources; no first-party site fetched -> resource a canonical URL; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:39534,node
w3_06-0006,node,bw_public_building_material_sources_awm,,,Bauwerk,Bauwerk 'Public building and…' at Münster region public building demolition sources,dossier,archive:AWM_Muenster_Circular_Office.md,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:41,node
w3_06-0007,node,bw_big_dig_building,,,Bauwerk,Bauwerk 'Big Dig Building',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4790,node
w3_06-0008,node,bw_boston_big_dig_infrastructure,,,Bauwerk,Bauwerk 'Big Dig (CA/T)',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4791,node
w3_06-0009,node,bw_cascadeup_modular_demonstrator,,,Bauwerk,Bauwerk 'CascadeUp modularer…',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4820,node
w3_06-0010,node,bw_chiro_itterbeek_sanitary_block,,,Bauwerk,Bauwerk 'Sanitary block for the…',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4851,node
w3_06-0011,node,bw_christus_pavillon_expo_hannover,,,Bauwerk,"Bauwerk 'Christus-Pavillon EXPO…' at EXPO 2000 Hannover / Kloster Volkenroda, 99994 Volkenroda, Germany",dossier,archive:Christ_Pavilion_Volkenroda.md,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4879,node
w3_06-0012,node,bw_christus_pavillon_volkenroda,,,Bauwerk,"Bauwerk 'Christus-Pavillon…' at Kloster Volkenroda, 99994 Volkenroda, Germany",dossier,archive,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4880,node
w3_06-0013,node,bw_crclr_kindl_hall,,,Materialdepot,CRCLR House / Kindl-Areal store hall depot exists,none,,true,404,MISSING_EVIDENCE,,,ADD_SOURCE,W3-06,real site; add crclr.org source; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4935,node
w3_06-0014,node,bw_elys_former_coop_distribution_center,,,Bauwerk,"Bauwerk 'Ehemaliges Coop-Verteilz…' at Elsässerstrasse 215, 4056 Basel, Switzerland",dossier,processed+ELYS,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4956,node
w3_06-0015,node,bw_elys_regional_reuse_sources,,,Bauwerk,Bauwerk 'Regionale Rueckbau- und…' at Basel region demolition/reuse sources,dossier,processed,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4957,node
w3_06-0016,node,immobilien_basel_stadt,,,Akteur,Immobilien Basel-Stadt - Oeffentliche_Institution,candidate,https://www.immobilien.bs.ch/,false,,MISSING_EVIDENCE,kandidat,,ADD_SOURCE,W3-06,real identifiable Oeffentliche_Institution; candidate official domain (UNFETCHED) - verify before import; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4966,node
w3_06-0017,node,bw_europa_building_brussels,,,Bauwerk,"Bauwerk 'Europa Building Brussels' at Rue de la Loi 175, 1048 Brussels, Belgium",dossier,Council of the EU,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4979,node
w3_06-0018,node,bw_residence_palace_block_a,,,Bauwerk,Bauwerk 'Residence Palace Block A',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4980,node
w3_06-0019,node,bw_eu_window_donor_sources,,,Bauwerk,Bauwerk 'EU-weite Renovierungs-…' at EU-wide renovation window sources (no single site),dossier,processed,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4981,node
w3_06-0020,node,belgian_buildings_agency,,,Akteur,Belgian Buildings Agency / Regie der Gebouwen - Oeffentliche_Institution,candidate,https://www.regiedergebouwen.be/,true,200,MISSING_EVIDENCE,kandidat,,ADD_SOURCE,W3-06,real identifiable Oeffentliche_Institution; candidate official domain (UNFETCHED) - verify before import; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4988,node
w3_06-0021,node,jan_de_nul,,,Akteur,Jan De Nul - Unternehmen,candidate,https://www.jandenul.com/,true,200,MISSING_EVIDENCE,kandidat,,ADD_SOURCE,W3-06,real identifiable Unternehmen; candidate official domain (UNFETCHED) - verify before import; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4990,node
w3_06-0022,node,bw_ferme_du_rail_receiver,,,Bauwerk,Bauwerk 'La Ferme du Rail…',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:4996,node
w3_06-0023,node,bw_grande_halle_receiver,,,Bauwerk,Bauwerk 'Grande Halle de Colombel…',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5031,node
w3_06-0024,node,bw_werkhof_29_receiver,,,Bauwerk,Bauwerk 'Werkhof 29',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5052,node
w3_06-0025,node,bw_grubenstrasse_external_donor_sources,,,Bauwerk,Bauwerk 'Externe Rückbauprojekte…' at Zürich region external demolition projects,dossier,archive:Grubenstrasse_29_Werkhof_29_Zuerich.md,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5053,node
w3_06-0026,node,bw_tampere_1980s_office_donor,,,Bauwerk,"Bauwerk '1980er Bürogebäude im…' at Tampere city centre office building (1980s), Finland",dossier,archive:Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,"geo address rests on placeholder source (processed/archive/etc.), not a real URL; W3-06 web ladder",W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5072,node
w3_06-0027,node,bw_biopartner_5,,,Bauwerk,Bauwerk 'BioPartner 5',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5088,node
w3_06-0028,node,deerns,,,Akteur,Deerns - Unternehmen,candidate,https://www.deerns.com/,true,403,MISSING_EVIDENCE,kandidat,,ADD_SOURCE,W3-06,real identifiable Unternehmen; candidate official domain (UNFETCHED) - verify before import; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5100,node
w3_06-0029,node,bw_tropicana_rotterdam,,,Bauwerk,Bauwerk 'Ehemaliges Tropicana',dossier,,false,,MISSING_EVIDENCE,unbelegt,,RESOURCE,W3-06,no real or placeholder source url found for node/address; W3-06 web ladder,W3-06,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:5107,node
