order,project_id,project_name,folder
1,p_55_great_suffolk_street_london,"55 Great Suffolk Street, London",001_p_55_great_suffolk_street_london
2,p_association_house_groeditz,"Association house, Gröditz",002_p_association_house_groeditz
3,p_association_house_plauen,"Association house, Plauen",003_p_association_house_plauen
4,p_awm_muenster_circular_office,AWM Münster – zirkulärer Büroausbau 3. OG,004_p_awm_muenster_circular_office
5,p_bedzed_london_hackbridge,BedZED / Beddington Zero Energy Development,005_p_bedzed_london_hackbridge
6,p_berlin_schildow_pilot_house,Berlin-Schildow Pilot House / Berlin-Schildow 2nd pilot house,006_p_berlin_schildow_pilot_house
7,p_bestandverplanzung_pavilion_muenchen,"Bestandverplanzung Pavilion, München",007_p_bestandverplanzung_pavilion_muenchen
8,p_big_dig_building_boston,"Big Dig Building, Boston/Cambridge",008_p_big_dig_building_boston
9,p_big_dig_house_lexington_massachusetts,"Big Dig House, Lexington, Massachusetts",009_p_big_dig_house_lexington_massachusetts
10,p_biopartner_5_leiden_oegstgeest,"BioPartner 5, Leiden / Oegstgeest",010_p_biopartner_5_leiden_oegstgeest
11,p_bluecity_offices_rotterdam,BlueCity Offices Rotterdam,011_p_bluecity_offices_rotterdam
12,p_boulder_fire_station_3,Boulder Fire Station 3 / City of Boulder Fire Rescue Station #3,012_p_boulder_fire_station_3
13,p_brent_cross_town_primary_substation_london,Brent Cross Town Primary Substation,013_p_brent_cross_town_primary_substation_london
14,p_brighton_waste_house_brighton,Brighton Waste House / Brighton Wild House,014_p_brighton_waste_house_brighton
15,p_broethen_twin_house_hoyerswerda,"Broethen Twin-House, Hoyerswerda",015_p_broethen_twin_house_hoyerswerda
16,p_careno_becircular,"Careno - Be.Circular Brussels — Ceramic Floor Tile Reuse Research (Rotor + RotorDC, Be.Circular grant 2016)",016_p_careno_becircular
17,p_cascadeup_london_secondary_timber_glulam_demonstrator,CascadeUp / London secondary-timber glulam demonstrator,017_p_cascadeup_london_secondary_timber_glulam_demonstrator
19,p_chiro_d_itterbeek_dilbeek,"Chiro d’Itterbeek / Sanitary block, Dilbeek",019_p_chiro_d_itterbeek_dilbeek
20,p_christ_pavilion_volkenroda,Christus-Pavillon / Christ Pavilion Volkenroda,020_p_christ_pavilion_volkenroda
21,p_circl_abn_amro,Circl / ABN AMRO urban mining context,021_p_circl_abn_amro
22,p_circle_house,Circle House,022_p_circle_house
23,p_circular_centre_netherlands_prinsenhof_a_reuse_pilot,Circular Centre Netherlands / Prinsenhof A reuse pilot,023_p_circular_centre_netherlands_prinsenhof_a_reuse_pilot
24,p_circular_pavilion_paris,Circular Pavilion Paris,024_p_circular_pavilion_paris
25,p_crclr_house_impact_hub_berlin,CRCLR House / Impact Hub Berlin,025_p_crclr_house_impact_hub_berlin
26,p_eggshell_pavilion,"Eggshell Pavilion ETH MAS DFAB 2022 (Gramazio Kohler Research; Weil am Rhein, DE)",026_p_eggshell_pavilion
27,p_elementa_walkeweg,ELEMENTA Walkeweg Basel — Wohnbau mit Wiederverwendung von Bestandskomponenten (Kanton Basel-Stadt Wettbewerb),027_p_elementa_walkeweg
28,p_elys_kultur_gewerbehaus_basel,ELYS Kultur- und Gewerbehaus Basel,028_p_elys_kultur_gewerbehaus_basel
29,p_eth_circular_construction_student_reuse_project,ETH Circular Construction student reuse project,029_p_eth_circular_construction_student_reuse_project
30,p_eth_circular_construction_student_reuse,ETH Circular Construction — student reuse demonstrator/news,030_p_eth_circular_construction_student_reuse
31,p_europa_building_brussels,Europa Building Brussels / Résidence Palace – Europa,031_p_europa_building_brussels
32,p_fcrbe,FCRBE — Facilitating the Circulation of Reclaimed Building Elements,032_p_fcrbe
33,p_ferme_du_rail_paris,Ferme du Rail Paris,033_p_ferme_du_rail_paris
34,p_gjg_house_gentbrugge,"gjG House, Gentbrugge / Ghent",034_p_gjg_house_gentbrugge
35,p_granby_workshop,Granby Workshop Liverpool — Assemble + Granby 4 Streets CLT (recycled terrazzo + architectural ceramics CIC),035_p_granby_workshop
36,p_grande_halle_de_colombelles,Grande Halle de Colombelles / Le WIP,036_p_grande_halle_de_colombelles
37,p_grubenstrasse_29_werkhof_29_zuerich,"Grubenstrasse 29 / Werkhof 29, Zürich",037_p_grubenstrasse_29_werkhof_29_zuerich
38,p_hastings_pier_visitor_centre,Hastings Pier Visitor Centre / reclaimed timber cladding,038_p_hastings_pier_visitor_centre
