"typed_path","review_class","held_edge_count","preparation_status","manual_decision_state","next_action"
"material/Metall","broad_material_fallback","46","proposal_ready_first_batch","TODO","Use phase 28-32 proposal files during final decision pass."
"huerde/Performance_Nachweis","broad_barrier_fallback","33","proposal_ready_first_batch","TODO","Use phase 28-32 proposal files during final decision pass."
"bauteiltyp/Tragstruktur","wrong_scale_or_structural_system","28","proposal_ready_first_batch","TODO","Use phase 28-32 proposal files during final decision pass."
"bauteiltyp/Bauwerksteil","wrong_scale_or_structural_system","27","proposal_ready_first_batch","TODO","Use phase 28-32 proposal files during final decision pass."
"huerde/Logistikproblem","broad_barrier_fallback","20","proposal_ready_first_batch","TODO","Use phase 28-32 proposal files during final decision pass."
"bauteiltyp/Fliese","component_scope_unclear","16","proposal_ready_second_batch","TODO","Use phase 34 proposal CSV during final decision pass."
"bauteiltyp/Kueche","component_scope_unclear","8","proposal_ready_second_batch","TODO","Use phase 34 proposal CSV during final decision pass."
"bauteiltyp/Landschaftselement","component_scope_unclear","8","proposal_ready_second_batch","TODO","Use phase 34 proposal CSV during final decision pass."
"bauteiltyp/Bruestung","component_scope_unclear","7","proposal_ready_second_batch","TODO","Use phase 34 proposal CSV during final decision pass."
"bauteiltyp/Kern","wrong_scale_or_structural_system","5","proposal_ready_second_batch","TODO","Use phase 34 proposal CSV during final decision pass."
"datenpunkt/Timber_Square_London__001__Wiederverwendete_Stahltr_ger","datapoint_conflicts_with_reuse_item","5","proposal_ready_third_batch","TODO","Use phase 36 proposal CSV during final decision pass."
"datenpunkt/ELYS_Kultur_Gewerbehaus_Basel__003__Fenster","datapoint_conflicts_with_reuse_item","4","proposal_ready_third_batch","TODO","Use phase 36 proposal CSV during final decision pass."
"material/Guss","ambiguous_material_or_boundary","4","proposal_ready_third_batch","TODO","Use phase 36 proposal CSV during final decision pass."
"material/Erde","ambiguous_material_or_boundary","3","proposal_ready_third_batch","TODO","Use phase 36 proposal CSV during final decision pass."
"bauteiltyp/Auflager_Widerlager","component_scope_unclear","2","proposal_ready_third_batch","TODO","Use phase 36 proposal CSV during final decision pass."
"material/Recyclingbeton","ambiguous_material_or_boundary","1","proposal_ready_third_batch","TODO","Use phase 36 proposal CSV during final decision pass."
"bauteiltyp/Holzrahmenelement","component_scope_unclear","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"bauteiltyp/Treppenwange","component_scope_unclear","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"datenmodell/Gebaeuderessourcenpass","model_document_system_mixed_content","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"dokumenttyp/Gebaeuderessourcenpass","model_document_system_mixed_content","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"fuegung_verbindung/Beton_Fertigteile_Verbindungen","connection_overview_not_atomic_connection","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"fuegung_verbindung/Composite_Verbindungen","connection_overview_not_atomic_connection","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"fuegung_verbindung/Holz_Verbindungen","connection_overview_not_atomic_connection","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"fuegung_verbindung/Stahl_Verbindungen","connection_overview_not_atomic_connection","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"fuegung_verbindung/Stahlseil","connection_overview_not_atomic_connection","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"reuse_strategie/Temporaerer_Wiedereinbau","strategy_status_overlap","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
"zertifizierung_bewertungssystem/DGNB","model_document_system_mixed_content","0","proposal_ready_content_only","TODO","Use phase 37 content-only proposal CSV during final decision pass."
