canonical_name,node_id,n_files,n_variants,variants,files
Einfamilienhaus / Pilotwohnhaus,Einfamilienhaus_Pilotwohnhaus,8,7,Einfamilienhaus / Pilotwohnhaus; Einfamilienhaus / Zwei-Generationenhaus mit Satteldach; Einfamilienhaus / modernes Wohnhaus; Einfamilienhaus; Einfamilienhaus mit Home Office; Einfamilienhaus in Auderghem; Einfamilienhaus / Wohnhaus,Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md; Big_Dig_House_Lexington_Massachusetts.md; Maison_DnA_Asse.md; Maison_Vignette_Auderghem.md; Mehrow_Pilot_House.md; Recyclinghaus_Hannover.md; gjG_House_Gentbrugge.md
Sport-/Vereinshaus,Sport_Vereinshaus,2,1,Sport-/Vereinshaus,Association_house_Groeditz.md; Association_house_Plauen.md
Spender: Berliner Elfgeschosser / Marzahn-Plattenbau,Spender_Berliner_Elfgeschosser_Marzahn_Plattenbau,2,2,Spender: Berliner Elfgeschosser / Marzahn-Plattenbau; Spender: Berliner/Marzahner Plattenbau,Berlin_Schildow_Pilot_House.md; Berlin_Schildow_Pilot_House_2.md
ehemalige Lager-/Fassladehalle auf dem Kindl-Areal,Ehemalige_Lager_Fassladehalle_Auf_Dem_Kindl_Areal,2,2,ehemalige Lager-/Fassladehalle auf dem Kindl-Areal; Kindl_Areal,Bestandshalle_CRCLR_House.md; CRCLR_House_Impact_Hub_Berlin.md
Lysbuechel_Parkhaus,Lysbuechel_Parkhaus,2,1,Lysbuechel_Parkhaus,Areal_Walkeweg_Nord.md; LysP8_Basel_Lysbuechelareal.md
LysP8_Basel_Lysbuechelareal,Lysp8_Basel_Lysbuechelareal,2,1,LysP8_Basel_Lysbuechelareal,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md; Lysbuechel_Parkhaus.md
ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal,Elys_Kultur_Und_Gewerbehaus_Basel_Lysbuechelareal,2,1,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal,K118_Kopfbau_Halle_118_Winterthur.md; LysP8_Basel_Lysbuechelareal.md
Grade II Listed Victorian warehouse,Grade_Ii_Listed_Victorian_Warehouse,1,1,Grade II Listed Victorian warehouse,55_Great_Suffolk_Street_London.md
Spender: Schule Typ Dresden; weiteres WBS70-Gebäude,Spender_Schule_Typ_Dresden_Weiteres_Wbs70_Gebaeude,1,1,Spender: Schule Typ Dresden; weiteres WBS70-Gebäude,Association_house_Groeditz.md
altes Verwaltungsgebäude der awm,Altes_Verwaltungsgebaeude_Der_Awm,1,1,altes Verwaltungsgebäude der awm,AWM_Muenster_Circular_Office.md
Wohn- und Arbeitsquartier,Wohn_Und_Arbeitsquartier,1,1,Wohn- und Arbeitsquartier,BedZED_London_Hackbridge.md
Olympisches Dorf / Bungalows,Olympisches_Dorf_Bungalows,1,1,Olympisches Dorf / Bungalows,Bestandverplanzung_Pavilion_Muenchen.md
Big Dig Building,Big_Dig_Building,1,1,Big Dig Building,Big_Dig_Building_Boston.md
ehemaliges Gorlaeus-Hochhaus / Gorlaeus laboratory,Ehemaliges_Gorlaeus_Hochhaus_Gorlaeus_Laboratory,1,1,ehemaliges Gorlaeus-Hochhaus / Gorlaeus laboratory,BioPartner_5_Leiden_Oegstgeest.md
BioPartner 5,Biopartner_5,1,1,BioPartner 5,BioPartner_5_Leiden_Oegstgeest.md
ehemaliges subtropisches Schwimmbad Tropicana / Club Tropicana,Ehemaliges_Subtropisches_Schwimmbad_Tropicana_Club_Tropicana,1,1,ehemaliges subtropisches Schwimmbad Tropicana / Club Tropicana,BlueCity_Offices_Rotterdam.md
Fire Station 3 & Fire Administration,Fire_Station_3_Fire_Administration,1,1,Fire Station 3 & Fire Administration,Boulder_Fire_Station_3.md
Boulder Community Hospital / Boulder Community Health hospital,Boulder_Community_Hospital_Boulder_Community_Health_Hospital,1,1,Boulder Community Hospital / Boulder Community Health hospital,Boulder_Fire_Station_3.md
Substation screen / oval steel structure,Substation_Screen_Oval_Steel_Structure,1,1,Substation screen / oval steel structure,Brent_Cross_Town_Primary_Substation_London.md
permanentes Forschungs-/Demonstrationsgebäude,Permanentes_Forschungs_Demonstrationsgebaeude,1,1,permanentes Forschungs-/Demonstrationsgebäude,Brighton_Waste_House_Brighton.md
Doppelhaus / twin-house,Doppelhaus_Twin_House,1,1,Doppelhaus / twin-house,Broethen_Twin_House_Hoyerswerda.md
