review_id,origin,expansion_state,country,relationship_kind,source,target,relationship_type,description_for_display_only,profile_proposal,profile_reason_code,profile_review_status,evidence_quote,evidence_url,evidence_flags
AT:K001,baseline_264,retained,AT,AKTEUR-AKTEUR,re:store / HarvestMAP Vienna,materialnomaden,Betreiberschaft,Betrieb als Herausgeberin.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Medieninhaber und Herausgeber: materialnomaden GmbH,https://www.restore.or.at/impressum,
AT:K002,baseline_264,retained,AT,AKTEUR-AKTEUR,BIG (Bundesimmob.),BauKarussell,Dienstleistungsbeziehung,Führte Social Urban Mining am MedUni-Campus durch.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,Zwischen Oktober 2019 und Juli 2020 fuehrte BauKarussell im Auftrag der Bundesimmobiliengesellschaft (BIG) Social Urban Mining in Wien Alsergrund durch.,https://www.baukarussell.at/meduni-campus-mariannengasse-wien/,
AT:K003,baseline_264,retained,AT,AKTEUR-AKTEUR,MedUni Wien,BauKarussell,Gemeinsames Bauvorhaben,Zusammenarbeit.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,"Wir freuen uns, dass wir BauKarussell als Projektpartner beim MedUni Campus Mariannengasse gewinnen konnten.",https://www.meduniwien.ac.at/web/ueber-uns/news/detailseite/2019/news-im-dezember-2020/aus-alt-wird-neu-big-meduni-wien-und-baukarussell-nutzen-grosses-re-use-potential-beim-meduni-campus-mariannengasse/,
AT:K004,baseline_264,proposed_removed,AT,AKTEUR-BAUVORHABEN,DRZ,MedUni Campus Wien,"Projektbeteiligung, Aufgabe unklar",Beteiligung; genaue Rolle noch offen.,Einzelfall / Vorhaben,actor_project_edge,ready,Operative Partner sind das Demontage- und Recyclingzentrum DRZ Wien.,https://www.baukarussell.at/vom-luster-bis-zum-kupferkabel/,
AT:K005,baseline_264,retained,AT,AKTEUR-BAUVORHABEN,DRZ,Ferry-Dusika-Stadion Rückbau,Rückbau,Rückbau.,Einzelfall / Vorhaben,actor_project_edge,ready,Operative Partner sind das Demontage- und Recyclingzentrum DRZ Wien.,https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,
AT:K006,baseline_264,retained,AT,AKTEUR-BAUVORHABEN,Die Kümmerei,Ferry-Dusika-Stadion Rückbau,Rückbau,Rückbau.,Einzelfall / Vorhaben,actor_project_edge,ready,Die KUEMMEREI (Traegerin: BFI Wien/Job-TransFair),https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,
AT:K008,baseline_264,retained,AT,AKTEUR-BAUVORHABEN,MedUni Campus Wien,BauKarussell,Reuse-Konzept,Reuse-Konzept.,Einzelfall / Vorhaben,actor_project_edge,ready,Zwischen Oktober 2019 und Juli 2020 fuehrte BauKarussell im Auftrag der Bundesimmobiliengesellschaft (BIG) Social Urban Mining in Wien Alsergrund durch.,https://www.baukarussell.at/meduni-campus-mariannengasse-wien/,
AT:K009,baseline_264,retained,AT,AKTEUR-AKTEUR,BauKarussell,Re-Use Austria,Gründung,Gründung der Genossenschaft.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,"Als Gruendungsmitglied von BauKarussell ist es Re-Use Austria ein besonderes Anliegen, sozialwirtschaftlichen Re-Use-Betrieben ... eine starke Position ...",https://www.baukarussell.at/genossenschaft/,
AT:K011,baseline_264,retained,AT,AKTEUR-BAUVORHABEN,BauKarussell,Ferry-Dusika-Stadion Rückbau,Reuse-Konzept,Reuse-Konzept.,Einzelfall / Vorhaben,actor_project_edge,ready,BauKarussell mit seinen Partnern im Stadion am Werk,https://www.ots.at/presseaussendung/OTS_20211014_OTS0116/ferry-dusika-stadion-erfolg-fuer-kreislaufwirtschaftliches-rueckbauprojekt,
AT:K013,baseline_264,retained,AT,AKTEUR-AKTEUR,BauKarussell,Job-TransFair gemeinnützige GmbH,Konsortialpartner,Mitgliedschaft in der Genossenschaft.,needs_profile_review,actor_actor_requires_scope_evidence,needs_source_scope_review,"Geschaeftsfuehrer Job-TransFair GmbH ... weil wir dadurch die Chance sehen, unseren Transitarbeitskraeften sehr gute Chancen ... zu eroeffnen.",https://www.baukarussell.at/genossenschaft/,
