claim_id,node_id,name_full,placeholder_class,source_project,processed_kg_path,archive_kg_path,first_git_commit,first_git_date,first_git_subject,import_script,intake_archive_run,label_relabel_run,label_relabel_script,relabel_date,deprecation_agent,deprecation_action,deprecation_patch,deprecation_date,donor_pool_decision,root_cause_bucket,notes
G08-N-001,bw_berlin_fitout_donor_sources,"Aggregierte Donorquellen: Boros/Berghain-Ausstellung, andere Baustellen, Tischlereireste",aggregate_multi_site,p_impact_hub_berlin_crclr_fitout,_neo4j/processed/projects/records/p_impact_hub_berlin_crclr_fitout.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/batches/batch_006/p_impact_hub_berlin_crclr_fitout.kg.jsonl,188ebdc5,2026-05-13,neo4j migration 2,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"Created as :Bauwerk donor-pool node in batch_006 project export; relabelled Materialdepot 1.4; 7 AUS_SPENDER + 1 HAT_BAUWERK removed Q02"
G08-N-002,bw_chiro_itterbeek_reuse_supply_network,Reuse-/Surplus-Liefernetz Chiro d'Itterbeek,network_pool,p_chiro_d_itterbeek_dilbeek,_neo4j/processed/projects/records/p_chiro_d_itterbeek_dilbeek.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_003_exports/batches/batch_003/p_chiro_d_itterbeek_dilbeek.kg.jsonl,15222140,2026-05-13,migration ready,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"note field: Aggregierter Donor-/Lieferpool; supply-network abstraction miscast as depot"
G08-N-003,bw_donor_gebaudegruppe_resource_rows_mauerwerk,Donor-Gebäudegruppe Resource Rows Mauerwerk,aggregate_donor_group,p_resource_rows_copenhagen,_neo4j/processed/projects/records/p_resource_rows_copenhagen.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_012_exports/neo4j_exports/batches/batch_012/p_resource_rows_copenhagen.kg.jsonl,5dd44245,2026-05-13,migrate 5,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"alte_nutzung: genaue Donoren zu prüfen; donor building-group not discrete site"
G08-N-004,bw_externe_stahl_donor_stockholder,Externe Stahl-Donorquellen / Cleveland Steel & Tubes stock,aggregate_duplicate,p_timber_square_london,_neo4j/processed/projects/records/p_timber_square_london.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_013_exports/neo4j_exports/batches/batch_013/p_timber_square_london.kg.jsonl,5dd44245,2026-05-13,migrate 5,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,MERGE_NODE→bw_cleveland_steel_and_tubes_stock,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"Duplicate aggregate of R01-sourced Cleveland stock; AUS_SPENDER+HAT_BAUWERK redirected"
G08-N-005,bw_holbein_grosvenor_donor_projects,Grosvenor-Donor-Projekte für Reuse-Stahl,aggregate_portfolio,p_holbein_gardens_london,_neo4j/processed/projects/records/p_holbein_gardens_london.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_006_exports/neo4j_complete_repo_package/batches/batch_006/p_holbein_gardens_london.kg.jsonl,188ebdc5,2026-05-13,neo4j migration 2,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"nutzung_text: Aggregierte Donor-Sites im Grosvenor-Portfolio; portfolio not one depot"
G08-N-006,bw_lo_reninge_reuse_brick_source,Unbekannte Quelle der wiederverwendeten Ziegel,unknown_source,p_lo_reninge_town_hall_facade,_neo4j/processed/projects/records/p_lo_reninge_town_hall_facade.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_008_exports/neo4j_exports/batches/batch_008/p_lo_reninge_town_hall_facade.kg.jsonl,3fa49bd7,2026-05-13,migrate 3,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"Explicit Unbekannt placeholder; nutzung_text: nicht näher dokumentierte Donor-/Reuse-Ziegelquelle"
G08-N-007,bw_maison_des_canaux_unspecified_donors,Unbekannte Reuse-Quellen Maison des Canaux,unknown_source,p_maison_des_canaux_paris,_neo4j/processed/projects/records/p_maison_des_canaux_paris.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_009_exports/neo4j_exports/batches/batch_009/p_maison_des_canaux_paris.kg.jsonl,3fa49bd7,2026-05-13,migrate 3,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"nicht näher belegte Spenderquellen für feste Ausbauelemente"
G08-N-008,bw_maison_dna_unknown_brick_donor,Unbekannte Spenderquelle der wiederverwendeten Ziegel,unknown_source,p_maison_dna_asse,_neo4j/processed/projects/records/p_maison_dna_asse.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_009_exports/neo4j_exports/batches/batch_009/p_maison_dna_asse.kg.jsonl,3fa49bd7,2026-05-13,migrate 3,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"nicht dokumentiertes Donorobjekt / Ziegellot"
G08-N-009,bw_messebau_lager_hannover,Messebau-Lager / Messebauer Hannover,generic_unverifiable,p_recyclinghaus_hannover,_neo4j/processed/projects/records/p_recyclinghaus_hannover.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_011_exports/neo4j_exports/batches/batch_011/p_recyclinghaus_hannover.kg.jsonl,5dd44245,2026-05-13,migrate 5,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"Generic trade-fair storage label; dossier cites boards from demolition projects not named depot"
G08-N-010,bw_p2_massenwohnungsbau_donor_unknown,Unbekanntes P2-Massenwohnungsbau-Spendergebaeude,unknown_source,p_broethen_twin_house_hoyerswerda,_neo4j/processed/projects/records/p_broethen_twin_house_hoyerswerda.kg.jsonl,_neo4j/intake/archive/2026-05-15_project_batches_legacy/raw_tree/neo4j_batch_003_exports/batches/batch_003/p_broethen_twin_house_hoyerswerda.kg.jsonl,15222140,2026-05-13,migration ready,_scripts/import_jsonl_to_neo4j.py,2026-05-15_project_batches_legacy,2026-05-20_radical_quality_reset,migrations/mig_1_4_materialdepot.cypher,2026-05-20,Q02,DEPRECATE_NODE,patches/quality_pass_q02_deprecate.patch.jsonl,2026-06-06,donor_pool_stub_as_bauwerk_then_materialdepot,aggregate_stub,"note: Adresse und Akteure unbekannt; PRECS case lists donor context only"
