anchor_id,decision,actor_kind,material_bauteiltyp_claims_to_import,reason,finalest_status,strict_total_claim_rows,strict_material_ids,strict_bauteiltyp_ids,review_total_claim_rows,review_material_ids,review_bauteiltyp_ids,scope_evidence_rows,safe_import_summary
articonnex,TAKE,core marketplace/shop,NO,Relevant construction-material reuse/outlet actor; current exact material/type rows are not strict enough.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,10,mat_daemmstoff;mat_holz;mat_kunststoff,bt_ausbau;bt_boden;bt_daemmung;bt_fassade,0,Do not import exact material/type claims from current evidence
backacia,TAKE,core marketplace/shop,NO,Relevant reuse marketplace; needs stronger product-level evidence before importing exact material/type claims.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,8,mat_holz;mat_kunststoff,bt_boden;bt_tuer,0,Do not import exact material/type claims from current evidence
baticycle,TAKE,core marketplace/shop,YES,Strict public evidence for building-component categories.,STRICT_EVIDENCE_AVAILABLE,6,,bt_ausbau;bt_boden;bt_decke;bt_technik;bt_tuer;bt_wand,0,,,0,IMPORT strict claims: bt_ausbau;bt_boden;bt_decke;bt_technik;bt_tuer;bt_wand
batiterre,TAKE,core marketplace/shop,YES,Strict public evidence for multiple materials and Bauteiltypen.,STRICT_EVIDENCE_AVAILABLE,22,mat_glas;mat_gusseisen;mat_holz;mat_kunststoff;mat_ziegel,bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_gelaender;bt_technik;bt_treppe;bt_tuer;bt_wand,2,mat_keramik;mat_naturstein,,0,IMPORT strict claims: mat_glas;mat_gusseisen;mat_holz;mat_kunststoff;mat_ziegel; bt_ausbau;bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_gelaender;bt_technik;bt_treppe;bt_tuer;bt_wand
batrecup,TAKE,core marketplace/app,NO,"Core construction-material reuse app/catalogue, but exact material/type claims need stronger public product evidence.",REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,3,mat_holz,bt_fenster;bt_tuer,1,Do not import exact material/type claims from current evidence
baukarussell,TAKE,core marketplace/shop,YES,Live catalogue/product evidence supports reuse materials and building-component categories.,STRICT_EVIDENCE_AVAILABLE,10,mat_glas;mat_holz,bt_boden;bt_dach;bt_fassade;bt_fenster;bt_technik;bt_tuer;bt_wand,0,,,0,IMPORT strict claims: mat_glas;mat_holz; bt_boden;bt_dach;bt_fassade;bt_fenster;bt_technik;bt_tuer;bt_wand
bauteilboerse_bremen,TAKE,core marketplace/shop,NO,Clearly relevant Bauteilbörse; current rows should be rechecked at product/detail level before exact import.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,40,mat_glas;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_ausbau;bt_boden;bt_dach;bt_fassade;bt_fenster;bt_technik;bt_treppe;bt_tuer;bt_wand,0,Do not import exact material/type claims from current evidence
bauteilladen_winterthur,TAKE,core marketplace/shop,YES,Strict evidence available for material/type claims.,STRICT_EVIDENCE_AVAILABLE,5,mat_holz;mat_naturstein,bt_fenster,7,,bt_boden;bt_technik;bt_treppe;bt_tuer,0,IMPORT strict claims: mat_holz;mat_naturstein; bt_fenster
bauteilnetz_deutschland,TAKE,network/catalogue,YES,Product/detail pages prove exact material/type claims; network/catalgoue role is in scope.,STRICT_EVIDENCE_AVAILABLE,4,mat_keramik;mat_ziegel,bt_boden;bt_dach,5,mat_holz,bt_fenster;bt_technik;bt_tuer;bt_wand,0,IMPORT strict claims: mat_keramik;mat_ziegel; bt_boden;bt_dach
building_spares_market,TAKE,core marketplace/shop,YES,Strict first-party product/category evidence available.,STRICT_EVIDENCE_AVAILABLE,18,mat_aluminium;mat_beton;mat_daemmstoff;mat_glas;mat_holz;mat_stahl;mat_ziegel,bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_traeger;bt_tuer;bt_wand,0,,,0,IMPORT strict claims: mat_aluminium;mat_beton;mat_daemmstoff;mat_glas;mat_holz;mat_stahl;mat_ziegel; bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_traeger;bt_tuer;bt_wand
cornermat_retrival,TAKE,core marketplace/shop,YES,Strict first-party shop/listing evidence available.,STRICT_EVIDENCE_AVAILABLE,18,mat_glas;mat_holz;mat_keramik;mat_ziegel,bt_dach;bt_fenster;bt_technik;bt_tuer;bt_wand,4,mat_daemmstoff,bt_boden;bt_daemmung,0,IMPORT strict claims: mat_glas;mat_holz;mat_keramik;mat_ziegel; bt_dach;bt_fenster;bt_technik;bt_tuer;bt_wand
cycle_up,TAKE,core platform/marketplace,NO,Relevant reuse marketplace/platform; exact material/type claims need stronger public product evidence.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,3,mat_glas;mat_kunststoff,bt_fenster,0,Do not import exact material/type claims from current evidence
cycle_zero,TAKE,app/platform,NO,Relevant app for construction-site materials; no safe exact public material/type import yet.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,7,mat_daemmstoff;mat_holz,bt_boden;bt_daemmung;bt_fenster;bt_technik;bt_tuer,0,Do not import exact material/type claims from current evidence
enviromate,TAKE,core marketplace/shop,YES,"Strict public listing evidence exists, though coverage is limited.",STRICT_EVIDENCE_AVAILABLE,2,mat_keramik,bt_boden,5,mat_daemmstoff;mat_holz,bt_daemmung;bt_treppe;bt_tuer,0,IMPORT strict claims: mat_keramik; bt_boden
gebruiktebouwmaterialen,TAKE,core marketplace/shop,YES,Strict category/product evidence available.,STRICT_EVIDENCE_AVAILABLE,15,mat_aluminium;mat_daemmstoff;mat_holz;mat_kunststoff;mat_stahl;mat_ziegel,bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_technik;bt_traeger;bt_treppe;bt_tuer;bt_wand,0,,,0,IMPORT strict claims: mat_aluminium;mat_daemmstoff;mat_holz;mat_kunststoff;mat_stahl;mat_ziegel; bt_boden;bt_dach;bt_daemmung;bt_fenster;bt_technik;bt_traeger;bt_treppe;bt_tuer;bt_wand
genbyg,TAKE,core marketplace/shop,YES,Strict product/category evidence available.,STRICT_EVIDENCE_AVAILABLE,4,mat_glas,bt_fenster;bt_technik;bt_tuer,3,mat_holz;mat_keramik,bt_boden,0,IMPORT strict claims: mat_glas; bt_fenster;bt_technik;bt_tuer
insert_marketplace,TAKE,core platform/marketplace,NO,Relevant circular construction-material platform; exact material/type claims need stronger product-level proof.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,3,,bt_fenster;bt_tuer,0,Do not import exact material/type claims from current evidence
material_index,TAKE,core marketplace/index,YES,Strict category-level construction component evidence available.,STRICT_EVIDENCE_AVAILABLE,5,,bt_ausbau;bt_boden;bt_technik;bt_tuer;bt_wand,5,mat_holz;mat_stahl;mat_ziegel,,0,IMPORT strict claims: bt_ausbau;bt_boden;bt_technik;bt_tuer;bt_wand
materialenbank_leuven_atelier_circuler,TAKE,core material bank,NO,Relevant material bank; exact material/type claims need product-level confirmation.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,41,mat_daemmstoff;mat_holz;mat_keramik;mat_kunststoff;mat_naturstein;mat_stahl,bt_boden;bt_daemmung;bt_fassade;bt_fenster;bt_technik;bt_traeger;bt_tuer;bt_wand,0,Do not import exact material/type claims from current evidence
materialrest24,TAKE,core marketplace/shop,NO,Relevant materials surplus/reuse actor; exact claims need stronger direct evidence.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,5,mat_holz,bt_ausbau;bt_dach;bt_technik;bt_wand,0,Do not import exact material/type claims from current evidence
r_place,TAKE,core marketplace/shop,NO,Relevant catalogue/marketplace; exact claims should be verified at product-level before import.,REVIEW_ONLY_EVIDENCE_AVAILABLE,0,,,1,,bt_technik,0,Do not import exact material/type claims from current evidence
re_store_harvestmap_vienna,TAKE,core marketplace/shop,YES,Strict product pages prove materials/types.,STRICT_EVIDENCE_AVAILABLE,9,mat_beton;mat_holz;mat_keramik;mat_naturstein,bt_boden;bt_dach,0,,,0,IMPORT strict claims: mat_beton;mat_holz;mat_keramik;mat_naturstein; bt_boden;bt_dach
reempro,TAKE,core marketplace/shop,YES,Strict category/product evidence available.,STRICT_EVIDENCE_AVAILABLE,10,mat_keramik;mat_ziegel,bt_ausbau;bt_boden;bt_daemmung;bt_decke;bt_fenster;bt_technik;bt_tuer;bt_wand,0,,,0,IMPORT strict claims: mat_keramik;mat_ziegel; bt_ausbau;bt_boden;bt_daemmung;bt_decke;bt_fenster;bt_technik;bt_tuer;bt_wand
