claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
A10-N-025,node,bw_cleveland_steel_and_tubes_stock,,,Materialdepot,Cleveland Steel and Tubes reclaimed stock depot exists,none,,true,200,MISSING_EVIDENCE,,no source_urls; Cleveland Steel & Tubes is a real UK reclaimed-steel stockholder (clevelandsteel.com),ADD_SOURCE,10,real stockholder; add clevelandsteel.com,10+POST-04+W2-02,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:10,node
agent11-node-0056,node,rw_madaster_grp,,,ReuseDokumentationsrecht:UmweltUndOekobilanzrecht,typed law node 'Madaster / Gebaeuderessourcenpass' is a real ReuseDokumentationsrecht/UmweltUndOekobilanzrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.80,VARIANT_B_TAXONOMY.md sec.7 lists rw_madaster_grp under ReuseDokumentationsrecht+UmweltUndOekobilanzrecht; node carries source_url+source_quote,KEEP,11,real but soft-law/voluntary guidance (not a binding statute/standard); kept as reference node in *recht layer,11,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:100,node
agent11-node-0057,node,rw_mbo_lbo,,,Bauproduktrecht:Genehmigungsrecht,typed law node 'MBO/LBO' is a real Bauproduktrecht/Genehmigungsrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_mbo_lbo under Bauproduktrecht+Genehmigungsrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes,11,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:101,node
agent11-node-0058,node,rw_mvv_tb,,,Bauproduktrecht:Tragwerksrecht:Brandschutzrecht,typed law node 'MVV TB / VV TB' is a real Bauproduktrecht/Tragwerksrecht/Brandschutzrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_mvv_tb under Bauproduktrecht+Tragwerksrecht+Brandschutzrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes,11,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:102,node
agent11-node-0059,node,rw_naturstein_reuse,,,ReuseDokumentationsrecht:Tragwerksrecht,typed law node 'Naturstein-Wiederverwendung (guidance)' is a real ReuseDokumentationsrecht/Tragwerksrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.65,VARIANT_B_TAXONOMY.md sec.7 lists rw_naturstein_reuse under ReuseDokumentationsrecht+Tragwerksrecht; node carries source_url+source_quote,KEEP,11,real but soft-law/voluntary guidance (not a binding statute/standard); kept as reference node in *recht layer,11,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:103,node
agent11-node-0060,node,rw_nen_8700,,,Tragwerksrecht,typed law node 'NEN 8700-serie (bestaande bouw)' is a real Tragwerksrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.90,VARIANT_B_TAXONOMY.md sec.7 lists rw_nen_8700 under Tragwerksrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes,11,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:104,node
agent11-node-0061,node,rw_nl_bbl,,,ReuseDokumentationsrecht:Bauproduktrecht:Genehmigungsrecht,typed law node 'Dutch Bbl' is a real ReuseDokumentationsrecht/Bauproduktrecht/Genehmigungsrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.90,VARIANT_B_TAXONOMY.md sec.7 lists rw_nl_bbl under ReuseDokumentationsrecht+Bauproduktrecht+Genehmigungsrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes,11,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:105,node
agent11-node-0062,node,rw_nl_mpg,,,UmweltUndOekobilanzrecht,typed law node 'Netherlands MPG (MilieuPrestatie Gebouwen)' is a real UmweltUndOekobilanzrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_nl_mpg under UmweltUndOekobilanzrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes,11,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:106,node
agent11-node-0063,node,rw_no_tek17,,,RueckbauUndAbbruchrecht:Bauproduktrecht,typed law node 'Norway TEK17 (ombrukskartlegging)' is a real RueckbauUndAbbruchrecht/Bauproduktrecht instrument,contract,_neo4j/intake/runs/2026-06-04_regulation_graph_vocabulary/VARIANT_B_TAXONOMY.md,false,,PROVEN,0.85,VARIANT_B_TAXONOMY.md sec.7 lists rw_no_tek17 under RueckbauUndAbbruchrecht+Bauproduktrecht; node carries source_url+source_quote,KEEP,11,real legal instrument; labels==rechtsbereiche; on both GESTUETZT and GILT_IN_LAND axes,11,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:107,node
EP08-n-1006,node,pr_zerstoerungsfreie_pruefung,,,PruefungNachweis,PruefungNachweis pr_zerstoerungsfreie_pruefung fulfills ≥1 Nachweisforderung via ERFUELLT_NACHWEIS,logic,_neo4j/contracts/ + get-schema,false,,PROVEN,hoch,ERFUELLT_NACHWEIS out=1; in_deg=0,KEEP,08,,EP-08,element,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:108,node
