"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"fallstudie/55_Great_Suffolk_Street_London","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\55_Great_Suffolk_Street_London.md"
"fallstudie/AWM_Muenster_Circular_Office","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\AWM_Muenster_Circular_Office.md"
"fallstudie/BlueCity_Offices_Rotterdam","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\BlueCity_Offices_Rotterdam.md"
"fallstudie/Charles_Malis_Molenbeek","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja — Erhalt von Betontragwerk und Fassade ist wichtig, zählt aber nach Grundregel nicht als Direct Reuse.","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Charles_Malis_Molenbeek.md"
"fallstudie/CRCLR_House_Impact_Hub_Berlin","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\CRCLR_House_Impact_Hub_Berlin.md"
"fallstudie/ELYS_Kultur_Gewerbehaus_Basel","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\ELYS_Kultur_Gewerbehaus_Basel.md"
"fallstudie/Europa_Building_Brussels","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Europa_Building_Brussels.md"
"fallstudie/Grande_Halle_de_Colombelles","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja — erhaltene Betonhalle / Betonstruktur nicht als Direct Reuse zählen.","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Grande_Halle_de_Colombelles.md"
"fallstudie/Grubenstrasse_29_Werkhof_29_Zuerich","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja — der Erhalt und die Ertüchtigung des Bestandsgebäudes sind wichtig, werden aber nicht als Direct Reuse gezählt, wenn Bauteile am Ort bleiben und dieselbe Funktion behalten.","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Grubenstrasse_29_Werkhof_29_Zuerich.md"
"fallstudie/Hastings_Pier_Visitor_Centre","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja – die Pier-Restaurierung und der erhaltene viktorianische Pavillon zählen nicht automatisch als Bauteilwiederverwendung.","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Hastings_Pier_Visitor_Centre.md"
"fallstudie/Holbein_Gardens_London","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja — 90/93 % Bestandserhalt ist wichtig, zählt nach Grundregel aber nicht als Bauteilwiederverwendung","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Holbein_Gardens_London.md"
"fallstudie/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md"
"fallstudie/Impact_Hub_Berlin_CRCLR_Fitout","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Impact_Hub_Berlin_CRCLR_Fitout.md"
"fallstudie/Institut_de_Botanique_ULg_Liege","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Institut_de_Botanique_ULg_Liege.md"
"fallstudie/Jeugdkliniek_Ithaka_Emergis_Kloetinge","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Jeugdkliniek_Ithaka_Emergis_Kloetinge.md"
"fallstudie/K118_Kopfbau_Halle_118_Winterthur","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja — die bestehende Halle bleibt erhalten; nur die transformierten/neu eingesetzten Gebrauchtbauteile zählen.","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\K118_Kopfbau_Halle_118_Winterthur.md"
"fallstudie/KA13_Kristian_Augusts_gate_13_Oslo","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\KA13_Kristian_Augusts_gate_13_Oslo.md"
"fallstudie/Kindergarten_Moeoeslistrasse_Manegg_Zuerich","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md"
"fallstudie/Liander_Alliander_HQ_Duiven","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Liander_Alliander_HQ_Duiven.md"
"fallstudie/Lo_Reninge_Town_Hall_Facade","has_kontextmerkmal","kontextmerkmal/Bestandserhalt_Policy","ja – Restaurierung/Umnutzung eines ehemaligen Klosters; gezählt wird nur die neue Hülle mit Recycling-/Reuse-Ziegeln.","structural","bullet_50v_has_kontextmerkmal_warnung_bestandserhalt","Gebäude\Lo_Reninge_Town_Hall_Facade.md"
