"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_bauweise","bauweise/Stahlbauweise","Stahlprofile für neuen externen Kern | Baustahl | Tragwerk eines donor building / reclaimed stock | Tragstruktur externer Service- und Erschließungskern | Tragfähigkeit, Schweißbarkeit, Nachweisbarkeit | Profilgrößen, Services, Aufbereitung, Zertifizierung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_tragwerksprinzip","tragwerksprinzip/Wand_Kern_Tragwerk","Stahlprofile für neuen externen Kern | Baustahl | Tragwerk eines donor building / reclaimed stock | Tragstruktur externer Service- und Erschließungskern | Tragfähigkeit, Schweißbarkeit, Nachweisbarkeit | Profilgrößen, Services, Aufbereitung, Zertifizierung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","has_bauweise","bauweise/Stahlbauweise","Stahl aus 1 Broadgate | Baustahl | Stahlrahmen eines abgebrochenen Bürogebäudes | Teil des neuen Kerntragwerks | strukturelle Verwendung | timing donor/receiver, Profilverfügbarkeit","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","has_bausystem","bausystem/Stahl_Skelettbau","Stahl aus 1 Broadgate | Baustahl | Stahlrahmen eines abgebrochenen Bürogebäudes | Teil des neuen Kerntragwerks | strukturelle Verwendung | timing donor/receiver, Profilverfügbarkeit","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","has_tragwerksprinzip","tragwerksprinzip/Skeletttragwerk","Stahl aus 1 Broadgate | Baustahl | Stahlrahmen eines abgebrochenen Bürogebäudes | Teil des neuen Kerntragwerks | strukturelle Verwendung | timing donor/receiver, Profilverfügbarkeit","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","has_tragwerksprinzip","tragwerksprinzip/Wand_Kern_Tragwerk","Stahl aus 1 Broadgate | Baustahl | Stahlrahmen eines abgebrochenen Bürogebäudes | Teil des neuen Kerntragwerks | strukturelle Verwendung | timing donor/receiver, Profilverfügbarkeit","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","has_bauweise","bauweise/Stahlbauweise","Reclaimed stock von Cleveland | Baustahl | reclaimed stock / surplus | Teil des neuen Kerntragwerks | strukturelle Verwendung | Marktliquidität","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","has_tragwerksprinzip","tragwerksprinzip/Wand_Kern_Tragwerk","Reclaimed stock von Cleveland | Baustahl | reclaimed stock / surplus | Teil des neuen Kerntragwerks | strukturelle Verwendung | Marktliquidität","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__001__Au_enwand_Fertigteile","has_bauweise","bauweise/Fertigteilbauweise","Außenwand-Fertigteile | Stahlbetonfertigteil | Außenwand | Wand/Fassade | Tragfähigkeit, Hülle, Feuchte/Wärme | Maß-/Anschlussdetails","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__001__Au_enwand_Fertigteile","has_bauweise","bauweise/Massivbauweise","Außenwand-Fertigteile | Stahlbetonfertigteil | Außenwand | Wand/Fassade | Tragfähigkeit, Hülle, Feuchte/Wärme | Maß-/Anschlussdetails","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__001__Au_enwand_Fertigteile","has_bausystem","bausystem/Betonfertigteil_System","Außenwand-Fertigteile | Stahlbetonfertigteil | Außenwand | Wand/Fassade | Tragfähigkeit, Hülle, Feuchte/Wärme | Maß-/Anschlussdetails","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__003__Innenwandrahmen","has_bauweise","bauweise/Fertigteilbauweise","Innenwandrahmen | Stahlbetonfertigteil | Wand-/Rahmenelement | räumlich/tragend | Tragfähigkeit | Geometrie","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__003__Innenwandrahmen","has_bauweise","bauweise/Massivbauweise","Innenwandrahmen | Stahlbetonfertigteil | Wand-/Rahmenelement | räumlich/tragend | Tragfähigkeit | Geometrie","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__003__Innenwandrahmen","has_bausystem","bausystem/Betonfertigteil_System","Innenwandrahmen | Stahlbetonfertigteil | Wand-/Rahmenelement | räumlich/tragend | Tragfähigkeit | Geometrie","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__004__Deckenelemente","has_bauweise","bauweise/Fertigteilbauweise","Deckenelemente | Stahlbetonfertigteil | Decke/Boden | Decke/Boden | Tragfähigkeit, Brandschutz | Anschluss, Betondeckung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__004__Deckenelemente","has_bauweise","bauweise/Massivbauweise","Deckenelemente | Stahlbetonfertigteil | Decke/Boden | Decke/Boden | Tragfähigkeit, Brandschutz | Anschluss, Betondeckung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__004__Deckenelemente","has_bausystem","bausystem/Betonfertigteil_System","Deckenelemente | Stahlbetonfertigteil | Decke/Boden | Decke/Boden | Tragfähigkeit, Brandschutz | Anschluss, Betondeckung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__006__Treppen","has_bauweise","bauweise/Fertigteilbauweise","Treppen | Stahlbetonfertigteil | Treppen | Erschließung | Tragfähigkeit, Brandschutz, Barrierefreiheit | Schall/Brandschutz","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__006__Treppen","has_bauweise","bauweise/Massivbauweise","Treppen | Stahlbetonfertigteil | Treppen | Erschließung | Tragfähigkeit, Brandschutz, Barrierefreiheit | Schall/Brandschutz","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__006__Treppen","has_bausystem","bausystem/Betonfertigteil_System","Treppen | Stahlbetonfertigteil | Treppen | Erschließung | Tragfähigkeit, Brandschutz, Barrierefreiheit | Schall/Brandschutz","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","has_bauweise","bauweise/Fertigteilbauweise","WBS70-Paneele | Stahlbetonfertigteil | Wand/Decke unbekannt | Wand/Decke/Fassade | Tragfähigkeit/Hülle | Systemmix","rule_low","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","has_bauweise","bauweise/Massivbauweise","WBS70-Paneele | Stahlbetonfertigteil | Wand/Decke unbekannt | Wand/Decke/Fassade | Tragfähigkeit/Hülle | Systemmix","rule_low","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","has_bausystem","bausystem/Betonfertigteil_System","WBS70-Paneele | Stahlbetonfertigteil | Wand/Decke unbekannt | Wand/Decke/Fassade | Tragfähigkeit/Hülle | Systemmix","rule_low","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","has_bausystem","bausystem/Plattenbau","WBS70-Paneele | Stahlbetonfertigteil | Wand/Decke unbekannt | Wand/Decke/Fassade | Tragfähigkeit/Hülle | Systemmix","rule_low","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","has_tragwerksprinzip","tragwerksprinzip/Wandtragwerk","WBS70-Paneele | Stahlbetonfertigteil | Wand/Decke unbekannt | Wand/Decke/Fassade | Tragfähigkeit/Hülle | Systemmix","rule_low","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__001__Decken_Bodenplatten","has_bauweise","bauweise/Fertigteilbauweise","Decken-/Bodenplatten | Stahlbetonfertigteil | Decke/Boden | Decke/Boden oder tragendes Bauteil im Vereinshaus | Tragfähigkeit, Gebrauchstauglichkeit, Brandschutz | Geometrie, Nachweis, Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__001__Decken_Bodenplatten","has_bauweise","bauweise/Massivbauweise","Decken-/Bodenplatten | Stahlbetonfertigteil | Decke/Boden | Decke/Boden oder tragendes Bauteil im Vereinshaus | Tragfähigkeit, Gebrauchstauglichkeit, Brandschutz | Geometrie, Nachweis, Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__001__Decken_Bodenplatten","has_bausystem","bausystem/Betonfertigteil_System","Decken-/Bodenplatten | Stahlbetonfertigteil | Decke/Boden | Decke/Boden oder tragendes Bauteil im Vereinshaus | Tragfähigkeit, Gebrauchstauglichkeit, Brandschutz | Geometrie, Nachweis, Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","has_bauweise","bauweise/Fertigteilbauweise","Außenwandelemente | Stahlbetonfertigteil | Außenwand | Wand/Hülle | Tragfähigkeit, Wärmeschutz, Feuchte, Brandschutz | Hülle/Anschluss/Wärmebrücken","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","has_bauweise","bauweise/Massivbauweise","Außenwandelemente | Stahlbetonfertigteil | Außenwand | Wand/Hülle | Tragfähigkeit, Wärmeschutz, Feuchte, Brandschutz | Hülle/Anschluss/Wärmebrücken","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","has_bausystem","bausystem/Betonfertigteil_System","Außenwandelemente | Stahlbetonfertigteil | Außenwand | Wand/Hülle | Tragfähigkeit, Wärmeschutz, Feuchte, Brandschutz | Hülle/Anschluss/Wärmebrücken","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","has_tragwerksprinzip","tragwerksprinzip/Wandtragwerk","Außenwandelemente | Stahlbetonfertigteil | Außenwand | Wand/Hülle | Tragfähigkeit, Wärmeschutz, Feuchte, Brandschutz | Hülle/Anschluss/Wärmebrücken","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","has_bauweise","bauweise/Fertigteilbauweise","Innenwandelemente | Stahlbetonfertigteil | Innenwand | Innen-/Tragwand | Tragfähigkeit, Schallschutz, Brandschutz | Grundrissbindung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","has_bauweise","bauweise/Massivbauweise","Innenwandelemente | Stahlbetonfertigteil | Innenwand | Innen-/Tragwand | Tragfähigkeit, Schallschutz, Brandschutz | Grundrissbindung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","has_bausystem","bausystem/Betonfertigteil_System","Innenwandelemente | Stahlbetonfertigteil | Innenwand | Innen-/Tragwand | Tragfähigkeit, Schallschutz, Brandschutz | Grundrissbindung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","has_tragwerksprinzip","tragwerksprinzip/Wandtragwerk","Innenwandelemente | Stahlbetonfertigteil | Innenwand | Innen-/Tragwand | Tragfähigkeit, Schallschutz, Brandschutz | Grundrissbindung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","has_bauweise","bauweise/Fertigteilbauweise","Kellerwandelemente | Stahlbetonfertigteil | Kellerwand | Wand/Sockel/Kellerbereich | Feuchte, Druck, Dauerhaftigkeit | Feuchteschutz","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","has_bauweise","bauweise/Massivbauweise","Kellerwandelemente | Stahlbetonfertigteil | Kellerwand | Wand/Sockel/Kellerbereich | Feuchte, Druck, Dauerhaftigkeit | Feuchteschutz","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","has_bausystem","bausystem/Betonfertigteil_System","Kellerwandelemente | Stahlbetonfertigteil | Kellerwand | Wand/Sockel/Kellerbereich | Feuchte, Druck, Dauerhaftigkeit | Feuchteschutz","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","has_tragwerksprinzip","tragwerksprinzip/Wandtragwerk","Kellerwandelemente | Stahlbetonfertigteil | Kellerwand | Wand/Sockel/Kellerbereich | Feuchte, Druck, Dauerhaftigkeit | Feuchteschutz","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","has_bauweise","bauweise/Stahlbauweise","Stahlrahmen / Stahlprofile | Stahl | Tragende Stahlbauteile in früheren Gebäuden | Tragende Stahlrahmen, v. a. Workspaces | Tragfähigkeit als Stahlrahmen | Profilverfügbarkeit; gebogene Profile nicht verfügbar/akzeptiert","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","has_bausystem","bausystem/Stahl_Skelettbau","Stahlrahmen / Stahlprofile | Stahl | Tragende Stahlbauteile in früheren Gebäuden | Tragende Stahlrahmen, v. a. Workspaces | Tragfähigkeit als Stahlrahmen | Profilverfügbarkeit; gebogene Profile nicht verfügbar/akzeptiert","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","has_tragwerksprinzip","tragwerksprinzip/Skeletttragwerk","Stahlrahmen / Stahlprofile | Stahl | Tragende Stahlbauteile in früheren Gebäuden | Tragende Stahlrahmen, v. a. Workspaces | Tragfähigkeit als Stahlrahmen | Profilverfügbarkeit; gebogene Profile nicht verfügbar/akzeptiert","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","has_bauweise","bauweise/Fertigteilbauweise","zugeschnittene Betonfertigteile | Stahlbeton / WBS70 | Wand/Decke | Wand/Decke/Dach-/Raumteile | Tragfähigkeit, Gebrauchstauglichkeit | Maßanpassung, Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","has_bauweise","bauweise/Massivbauweise","zugeschnittene Betonfertigteile | Stahlbeton / WBS70 | Wand/Decke | Wand/Decke/Dach-/Raumteile | Tragfähigkeit, Gebrauchstauglichkeit | Maßanpassung, Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","has_bausystem","bausystem/Betonfertigteil_System","zugeschnittene Betonfertigteile | Stahlbeton / WBS70 | Wand/Decke | Wand/Decke/Dach-/Raumteile | Tragfähigkeit, Gebrauchstauglichkeit | Maßanpassung, Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","has_bausystem","bausystem/Plattenbau","zugeschnittene Betonfertigteile | Stahlbeton / WBS70 | Wand/Decke | Wand/Decke/Dach-/Raumteile | Tragfähigkeit, Gebrauchstauglichkeit | Maßanpassung, Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__001__zugeschnittene_Betonfertigteile","has_tragwerksprinzip","tragwerksprinzip/Wandtragwerk","zugeschnittene Betonfertigteile | Stahlbeton / WBS70 | Wand/Decke | Wand/Decke/Dach-/Raumteile | Tragfähigkeit, Gebrauchstauglichkeit | Maßanpassung, Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","has_bauweise","bauweise/Fertigteilbauweise","Deckenplatten | Stahlbetonfertigteil | Decke | Ausgangsmaterial für zugeschnittene Bauteile, teils Decke/Dach? | Tragfähigkeit, Brandschutz | Brandschutz/Betondeckung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","has_bauweise","bauweise/Massivbauweise","Deckenplatten | Stahlbetonfertigteil | Decke | Ausgangsmaterial für zugeschnittene Bauteile, teils Decke/Dach? | Tragfähigkeit, Brandschutz | Brandschutz/Betondeckung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__002__Deckenplatten","has_bausystem","bausystem/Betonfertigteil_System","Deckenplatten | Stahlbetonfertigteil | Decke | Ausgangsmaterial für zugeschnittene Bauteile, teils Decke/Dach? | Tragfähigkeit, Brandschutz | Brandschutz/Betondeckung","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","has_bauweise","bauweise/Fertigteilbauweise","Innenwandplatten | Stahlbetonfertigteil | Innenwand | Wand/Tragstruktur | Tragfähigkeit | Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","has_bauweise","bauweise/Massivbauweise","Innenwandplatten | Stahlbetonfertigteil | Innenwand | Wand/Tragstruktur | Tragfähigkeit | Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","has_bausystem","bausystem/Betonfertigteil_System","Innenwandplatten | Stahlbetonfertigteil | Innenwand | Wand/Tragstruktur | Tragfähigkeit | Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__003__Innenwandplatten","has_tragwerksprinzip","tragwerksprinzip/Wandtragwerk","Innenwandplatten | Stahlbetonfertigteil | Innenwand | Wand/Tragstruktur | Tragfähigkeit | Anschlüsse","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__005__Dach_Satteldach","has_bauweise","bauweise/Fertigteilbauweise","Dach/Satteldach | Stahlbetonfertigteile? | Wand/Decke | Satteldachform | Dachlasten, Feuchte, Wärme | ungewöhnliche Geometrie","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__005__Dach_Satteldach","has_bauweise","bauweise/Massivbauweise","Dach/Satteldach | Stahlbetonfertigteile? | Wand/Decke | Satteldachform | Dachlasten, Feuchte, Wärme | ungewöhnliche Geometrie","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House__005__Dach_Satteldach","has_bausystem","bausystem/Betonfertigteil_System","Dach/Satteldach | Stahlbetonfertigteile? | Wand/Decke | Satteldachform | Dachlasten, Feuchte, Wärme | ungewöhnliche Geometrie","rule_medium","label_50o_has_konstruktion_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__001__zugeschnittene_Betonfertigteile","has_bauweise","bauweise/Fertigteilbauweise","zugeschnittene Betonfertigteile | Stahlbeton / WBS70 | Decken und Innenwände | Wand-/Decken-/Raumbauteile im neuen Haus | Tragfähigkeit, Gebrauchstauglichkeit, Brandschutz | Zuschnitt und Anschlussdetails","rule_medium","label_50o_has_konstruktion_component_label",""
