anchor_id,title,url,source_kind,line_ref,excerpt,first_party,retrieval_status,http_status
articonnex,Articonnex home/search extract,https://articonnex.com/,DIRECT_FIRST_PARTY_SEARCH,search result extract,"Contreplaqué, OSB, Bois, Sols, Quincaillerie... produits phares: contreplaqué, OSB, parquets, isolant, bardage, terrasse, tasseaux, quincaillerie.",True,web.run_search_extract; explicit_HTTP_status_not_returned_by_tool,
articonnex,Articonnex sols/reemploi search extract,https://articonnex.com/collections/sols/reemploi,DIRECT_FIRST_PARTY_SEARCH,search result extract,"Collection de revêtements de sol: sol PVC, vinyle, parquets, carrelages, moquettes; dalles/lames PVC.",True,web.run_search_extract; explicit_HTTP_status_not_returned_by_tool,
batiterre,BatiTerre Vente et Préparation au réemploi,https://www.batiterre.be/vente-et-preparation-au-reemploi,DIRECT_FIRST_PARTY_FETCHED,L46-L67,"Stores in Brussels/Liège; available reuse materials; reconditioning processes for sanitaryware, wood and cast-iron radiators.",True,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
batiterre,BatiTerre shop,https://www.batiterre.be/shop,DIRECT_FIRST_PARTY_FETCHED,L51-L101; L113-L160; L213-L283; L295-L346,"Tags include Bois, Carrelage, Châssis et portes extérieures, Cloisons, Électricité, Escaliers et balustrades, HVAC-Chauffage, Isolation, Portes intérieures, Quincaillerie, Revêtements de sol, Sanitaires, Toiture, Verre; product listings include PVC window, glass doors, cast-iron grille/radiator.",True,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
baticycle,Bâticycle Matériaux second oeuvre,https://baticycle.fr/materiaux-second-oeuvre/,DIRECT_FIRST_PARTY_FETCHED,L43-L83,"Categories and text name exterior materials, radiators, CVC, cloisons/blocs-portes, electrical, sanitary, plafonds, sols; products are selected and reconditioned.",True,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
genbyg,Genbyg home/category tree,https://genbyg.dk/,DIRECT_FIRST_PARTY_FETCHED,L2-L5; L36-L67,"Danmarks største webshop for brugte byggematerialer; categories include Brugte Døre, Brugte Vinduer, Enkeltlagsglas, Lamper & EL.",True,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
materialenbank_leuven_atelier_circuler,Atelier Circuler catalog search extract,https://ateliercirculer.be/catalogus/,DIRECT_FIRST_PARTY_SEARCH,search result extract,"Product categories: Hout, Steen, Metaal, Isolatie & akoestiek, Verwarming & Sanitair, Elektriciteit & Verlichting, Ramen & Deuren.",True,web.run_search_extract; explicit_HTTP_status_not_returned_by_tool,
materialenbank_leuven_atelier_circuler,Atelier Circuler Materialenbank search extract,https://ateliercirculer.be/materialenbank/,DIRECT_FIRST_PARTY_SEARCH,search result extract,"Assortiment omvat gerecupereerde hout- en steenfracties; constructiehout, plaatmaterialen, tropisch/rustiek/lokaal hout; kunst- en natuursteen.",True,web.run_search_extract; explicit_HTTP_status_not_returned_by_tool,
materialenbank_leuven_atelier_circuler,Atelier Circuler MDF/category tree search extract,https://ateliercirculer.be/catalogus/hout/plaatmaterialen/mdf/,DIRECT_FIRST_PARTY_SEARCH,search result extract,"Hout subcategories include Constructie, Plaatmaterialen, Terras & Gevelbekleding, Vloerbekleding; also Steen, Metaal, Isolatie & akoestiek, Verwarming & Sanitair, Ramen & Deuren.",True,web.run_search_extract; explicit_HTTP_status_not_returned_by_tool,
materialrest24,Haustec article on Materialrest24 categories,https://www.haustec.de/management/betriebsfuehrung/wie-sie-materialreste-ueber-das-internet-verwerten-koennen,THIRD_PARTY_FETCHED,L159-L164,"Materialrest24 unterteilt 15 Kategorien: Dach, Trockenbau, Befestigungsmaterial, Holz, Baustoffe, Zubehör, Werkzeug & Maschinen, Baustelleneinrichtung, Sanitär & Heizung, Fliesen, Bauelemente, Metallbau, Garten- und Landschaftsbau, Elektronik und Sonstiges.",False,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
reempro,Réempro home,https://www.reempro.com/,DIRECT_FIRST_PARTY_FETCHED,L172-L236; L240-L248; L252-L266,"Réempro services include selective deconstruction, supply/collection of reuse equipment, reconditioning, storage; categories include gros œuvre, second œuvre, placo/electricity/tiles/plumbing, outdoor paving/gravel/fences, equipment.",True,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
reempro,Réempro marketplace,https://www.reempro.com/marketplace/,DIRECT_FIRST_PARTY_FETCHED,L46-L55; L177-L189,"Marketplace dedicated to reuse materials; categories include Second oeuvre > Electricité et éclairage, CVC, sanitaires, isolation/cloisons, plomberie/quincaillerie, portes/fenêtres/menuiserie, revêtements sol et plafond.",True,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
raedificare,RAEDIFICARE marketplace,https://raedificare.com/marketplace/,DIRECT_FIRST_PARTY_FETCHED,L46-L55; L96-L109; L149-L153; L176-L177; L217-L225,"Marketplace for reuse materials from demolition/surplus; catalogues classified by technical lot/category/subcategory; includes environmental/carbon reports, second-life attestations, diagnostic PEMD.",True,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
salza,Salza Bauteil-Plattform,https://salza.ch/bauteil-plattform,DIRECT_FIRST_PARTY_FETCHED,L58-L84,"Users publish components from conversion/demolition/renovation; after payment and final Salza administration check, components are published; buyer/seller coordinate handover and dismantling.",True,web.run_text_extracted; explicit_HTTP_status_not_returned_by_tool,
cycle_zero,Cycle Zéro home,https://cyclezero.fr/,DIRECT_FIRST_PARTY_SEARCH,search result extract,Application for recovering free construction-site materials; materials referenced in app and collected after reservation.,True,web.run_search_extract; explicit_HTTP_status_not_returned_by_tool,
cycle_zero,ConstructionBTP Cycle Zéro article,https://www.constructionbtp.com/environnement/article/2025/05/22/152917/cycle-zero-des-materiaux-chantier-gratuits-aux-particuliers,THIRD_PARTY_DIRECT,search result extract,"Bois, fenêtres, carrelage, isolants, radiateurs… platform connects companies and individuals to maximise material reuse.",False,web.run_search_extract; explicit_HTTP_status_not_returned_by_tool,
