"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/55_Great_Suffolk_Street_London__001__Stahlprofile_f_r_neuen_externen_Kern","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","Ex-situ Bauteilwiederverwendung; Stahl aus donor site / stockholder in neuer Funktion","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\55_Great_Suffolk_Street_London.md"
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","Ex-situ Bauteilwiederverwendung; Stahl aus donor site / stockholder in neuer Funktion","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\55_Great_Suffolk_Street_London.md"
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","Ex-situ Bauteilwiederverwendung; Stahl aus donor site / stockholder in neuer Funktion","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\55_Great_Suffolk_Street_London.md"
"reuse_einsatz/Association_house_Groeditz__001__Au_enwand_Fertigteile","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; direkte Wiederverwendung","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Groeditz.md"
"reuse_einsatz/Association_house_Groeditz__002__Innenwand_Fertigteile","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; direkte Wiederverwendung","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Groeditz.md"
"reuse_einsatz/Association_house_Groeditz__003__Innenwandrahmen","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; direkte Wiederverwendung","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Groeditz.md"
"reuse_einsatz/Association_house_Groeditz__004__Deckenelemente","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; direkte Wiederverwendung","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Groeditz.md"
"reuse_einsatz/Association_house_Groeditz__005__Sockel_Plinthenplatten","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; direkte Wiederverwendung","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Groeditz.md"
"reuse_einsatz/Association_house_Groeditz__006__Treppen","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; direkte Wiederverwendung","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Groeditz.md"
"reuse_einsatz/Association_house_Groeditz__007__WBS70_Paneele","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; direkte Wiederverwendung","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Groeditz.md"
"reuse_einsatz/Association_house_Plauen__001__Decken_Bodenplatten","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; Bauteile aus Spendergebäude in neues Gebäude","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Plauen.md"
"reuse_einsatz/Association_house_Plauen__002__Au_enwandelemente","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; Bauteile aus Spendergebäude in neues Gebäude","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Plauen.md"
"reuse_einsatz/Association_house_Plauen__003__Innenwandelemente","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; Bauteile aus Spendergebäude in neues Gebäude","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Plauen.md"
"reuse_einsatz/Association_house_Plauen__004__Kellerwandelemente","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","ex-situ Bauteilwiederverwendung; Bauteile aus Spendergebäude in neues Gebäude","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\Association_house_Plauen.md"
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","Ex-situ Bauteilwiederverwendung; Tragende Stahlprofile aus Rückbauquellen neu eingebaut","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\BedZED_London_Hackbridge.md"
"reuse_einsatz/BedZED_London_Hackbridge__003__Holzst_nder_Wandst_nder","has_reuse_strategie","reuse_strategie/Direkte_Wiederverwendung","Ex-situ Bauteilwiederverwendung; Tragende Stahlprofile aus Rückbauquellen neu eingebaut","rule_high","table_50a_reuse_strategie_entity_mapping","Gebäude\BedZED_London_Hackbridge.md"
