value,count,n_files,knoten_kandidat_n>=3,files
"Vorausbeschaffung, Lagerung bei Cleveland",1,1,,55_Great_Suffolk_Street_London.md
"ca. 2,5 km Transportdistanz",1,1,,Association_house_Groeditz.md
ca. 7 km Transportdistanz,1,1,,Association_house_Plauen.md
Urban Mining aus öffentlichen Gebäuden,1,1,,AWM_Muenster_Circular_Office.md
Beschaffung in 35-mile-Radius; lokale Materialstrategie,1,1,,BedZED_London_Hackbridge.md
ca. 33 km Distanz; Transport per Tieflader/Kran im Pressekontext,1,1,,Berlin_Schildow_Pilot_House.md
"Tieflader, Kran, just-in-time-Anlieferung; 33 km laut PRECS",1,1,,Berlin_Schildow_Pilot_House_2.md
Transport von Big Dig Bauteilen nach Lexington,1,1,,Big_Dig_House_Lexington_Massachusetts.md
early engagement with Cleveland Steel,1,1,,Brent_Cross_Town_Primary_Substation_London.md
ca. 6 km Spender–Empfänger,1,1,,Broethen_Twin_House_Hoyerswerda.md
lokale/regionale Bauteilbeschaffung und Lieferanten,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
ca. 6 km Donor–Receiver,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
lokale Holzrettung und Holzverwertung,1,1,,Hastings_Pier_Visitor_Centre.md
Tieflader; 30 km von Leinefelde nach Mühlhausen,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Koordination Donor Site–Fabrication–Installation,1,1,,Holbein_Gardens_London.md
Cross-project steel transfer,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
"Bauteiljäger*innen, Katalog, städtische Occasionslager",1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
ca. 7 km Donor–Receiver,1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
8 oder 17 km Distanz laut PRECS,1,1,,Mehrow_Pilot_House.md
Lagerung in Nivelles,1,1,,Recypark_Demets_Anderlecht.md
"Rückbau, Zuschnitt, Transport, Montage von Modulen",1,1,,Resource_Rows_Copenhagen.md
"52-m-Kran, Trailer, lokale Umsetzung",1,1,,Superlocal_Expogebouw_Bleijerheide.md
on-site storage / temporäres Materialdepot,1,1,,Svanen_Kindergarten_Gladsaxe.md
Urban Mining aus Knoopkazerne und alter Kade,1,1,,The_Green_House_Utrecht.md
reused steel sourced from Cleveland Steel & Tubes laut Timber Development UK,1,1,,Timber_Square_London.md
Materiallager / loods,1,1,,Woongroep_Boschgaard_Den_Bosch.md
