claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP02-rel-00001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864408,2hs,at_unternehmen,HAT_AKTEURTYP,2hs —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864408
EP02-rel-00002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864598,3xn,at_unternehmen,HAT_AKTEURTYP,3xn —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864598
EP02-rel-00003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863559,51n4e,at_unternehmen,HAT_AKTEURTYP,51n4e —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699863559
EP02-rel-00004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864170,CITYFOERSTER,at_unternehmen,HAT_AKTEURTYP,CITYFOERSTER —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864170
EP02-rel-00005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864172,Lendager,at_unternehmen,HAT_AKTEURTYP,Lendager —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864172
EP02-rel-00006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864167,Natural_Building_Lab,at_forschung_lehre,HAT_AKTEURTYP,Natural_Building_Lab —[HAT_AKTEURTYP]→ at_forschung_lehre (classifies subject as Akteurtyp vocab node at_forschung_lehre),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864167
EP02-rel-00007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155276658513549699,Rotor,at_ngo_verband_netzwerk,HAT_AKTEURTYP,Rotor —[HAT_AKTEURTYP]→ at_ngo_verband_netzwerk (classifies subject as Akteurtyp vocab node at_ngo_verband_netzwerk),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155276658513549699
EP02-rel-00008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864451,Rotor,at_unternehmen,HAT_AKTEURTYP,Rotor —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864451
EP02-rel-00009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155276658513549659,Werner_Sobek,at_person,HAT_AKTEURTYP,Werner_Sobek —[HAT_AKTEURTYP]→ at_person (classifies subject as Akteurtyp vocab node at_person),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155276658513549659
EP02-rel-00010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864411,Werner_Sobek,at_unternehmen,HAT_AKTEURTYP,Werner_Sobek —[HAT_AKTEURTYP]→ at_unternehmen (classifies subject as Akteurtyp vocab node at_unternehmen),contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"edge HAT_AKTEURTYP: domain :Akteur valid, range :Akteurtyp valid; endpoints ['Akteur'] -> ['Akteurtyp']",KEEP,EP-02,,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153024858699864411
