anchor_id,classification,is_materialboerse,evidence_status,evidence_url,evidence_quote,line_ref
batrecup,CORE_MATERIAL_REUSE_MARKETPLACE_APP,yes,scope_confirmed_no_public_product_catalogue,https://www.batrecup.com/,First-party page: “plateforme communautaire pour le réemploi des matériaux”.,search result extract / first-party page
globechain,BROAD_REUSE_MARKETPLACE_WITH_CONSTRUCTION_VERTICAL,yes_broad,scope_confirmed_no_public_material_categories,https://asbp.org.uk/article/reuse-digital-platforms-and-physical-hubs,ASBP profile: Globechain is an online reuse marketplace with ESG data offer.,search result extract
loopfront,DIGITAL_REUSE_PLATFORM_SOFTWARE,yes_platform_not_public_store,scope_confirmed_public_stock_not_visible,https://www.loopfront.com/product,Loopfront product/platform pages describe reuse/material tracking; public item catalogue was not found.,fetched page/pass context
material_reuse_portal,AGGREGATED_MATERIAL_REUSE_PORTAL,yes_aggregator,aggregator_confirmed_no_own_stock,https://materialreuseportal.com/,Portal allows users to save data about listings; marketplace-provider pages point to connected providers.,search result extract
raedificare,PROFESSIONAL_REUSE_MARKETPLACE_PLATFORM,yes,scope_confirmed_catalogue_login_or_not_public,https://raedificare.com/marketplace/,First-party page: market place de don et de vente en ligne de matériaux de réemploi du BTP.,search result extract
resource_marktplaats,CIRCULAR_CONSTRUCTION_MATERIALS_APP,yes_app,scope_confirmed_no_public_products,https://play.google.com/store/apps/details?id=com.pss.resource,App listing says users can upload circular construction materials digitally for reuse.,search result extract
salza,BAUTEIL_PLATFORM_FOR_REUSE,yes,scope_confirmed_no_material_bt_categories_public,https://salza.ch/bauteil-plattform,Salza page: Bauteil-Plattform for Wiederverwendung; users publish Bauteile from conversion/demolition projects.,L58-L84
warp_it,GENERAL_RESOURCE_REDISTRIBUTION_PLATFORM_ADJACENT,no_core_bauteilboerse_adjacent_reuse_platform,not_core_construction_material_marketplace,https://www.warp-it.co.uk/,"Warp It redistributes surplus resources such as furniture, equipment, fixtures and fittings; broad category list includes building equipment/tools/materials.",search result extract
excess_materials_exchange,INDUSTRIAL_SURPLUS_MATERIALS_EXCHANGE,yes_broad_materials_not_bauteil_specific,scope_confirmed_no_building_product_categories,https://excessmaterialsexchange.com/,Materials exchange scope confirmed; no closed-set Bau material/type categories found in pass 8.,fetched page/pass context
risorse_raekkerne_resource_rows,CASE_PROJECT_NOT_MARKETPLACE,no,not_a_bauteilboerse,https://resource-rows.dk/,"Resource Rows/Ressourcerækkerne is treated as a building project/case, not a material exchange actor.",search result/pass context
