"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/Association_house_Groeditz__002__Innenwand_Fertigteile","has_fuegung_verbindung","fuegung_verbindung/Vermoertelung","Ziegelschicht zum Ausgleich erwähnt","rule_medium","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__006__Holzgalerie_Innenausbau","has_fuegung_verbindung","fuegung_verbindung/Reversible_Fuegung","lösbar/einfache Standards","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__001__Fassadenziegel","has_fuegung_verbindung","fuegung_verbindung/Vermoertelung","Mauerwerk in Schichten","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Chiro_d_Itterbeek_Dilbeek__012__Betonbl_cke","has_fuegung_verbindung","fuegung_verbindung/Vermoertelung","Mauerwerk","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Ferme_du_Rail_Paris__003__Granitbordsteine","has_fuegung_verbindung","fuegung_verbindung/Reversible_Fuegung","Trockenmauer","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Haus_HOS_Mehrfamilienhaus_Muehlhausen__001__Wandelemente","has_fuegung_verbindung","fuegung_verbindung/Verschweissung","Laschen/Ösen-Schweißverbindungen allgemein für Plattenbau im Stern-Bericht beschrieben","rule_medium","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__003__Externe_Treppe","has_fuegung_verbindung","fuegung_verbindung/Verschraubung","geschraubt / demontierbar laut Quellen","rule_medium","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/K118_Kopfbau_Halle_118_Winterthur__003__Externe_Treppe","has_fuegung_verbindung","fuegung_verbindung/Reversible_Fuegung","geschraubt / demontierbar laut Quellen","rule_medium","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/KA13_Kristian_Augusts_gate_13_Oslo__008__L_ftungskan_le_ducts_and_pipes","has_fuegung_verbindung","fuegung_verbindung/Verschraubung","Flansche/Verbindungen","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Lo_Reninge_Town_Hall_Facade__001__Fassadenziegel","has_fuegung_verbindung","fuegung_verbindung/Vermoertelung","Kalkmörtel, Fugen, Kalkwash","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Maison_Vignette_Auderghem__001__Fassaden_Claustra_Ziegel","has_fuegung_verbindung","fuegung_verbindung/Vermoertelung","Mauerwerk; breite Ziegel erlaubten Claustra ohne zusätzliche metallische Aufhängung","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Musee_de_Folklore_Mouscron__001__Fassadenziegel","has_fuegung_verbindung","fuegung_verbindung/Vermoertelung","Mauerwerk mit neuen Ziegeln gemischt","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Peoples_Pavilion_Eindhoven__002__Holztr_ger","has_fuegung_verbindung","fuegung_verbindung/Klemmverbindung","Spannbänder / Umreifungsbänder","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Peoples_Pavilion_Eindhoven__003__Fassadenelemente","has_fuegung_verbindung","fuegung_verbindung/Klemmverbindung","Band-/Klemmverbindung","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Plattenpalast_Berlin__001__Wand_Deckenelemente_Gro_fl_chenplatten","has_fuegung_verbindung","fuegung_verbindung/Verschraubung","Stahllaschen, Bolzen, reversible Dübel","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Plattenpalast_Berlin__001__Wand_Deckenelemente_Gro_fl_chenplatten","has_fuegung_verbindung","fuegung_verbindung/Steckverbindung","Stahllaschen, Bolzen, reversible Dübel","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Plattenpalast_Berlin__001__Wand_Deckenelemente_Gro_fl_chenplatten","has_fuegung_verbindung","fuegung_verbindung/Reversible_Fuegung","Stahllaschen, Bolzen, reversible Dübel","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Plattenpalast_Berlin__003__Stahllaschen_Bolzen_reversible_D_bel","has_fuegung_verbindung","fuegung_verbindung/Reversible_Fuegung","lösbar","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__001__St_tzen_Pfosten","has_fuegung_verbindung","fuegung_verbindung/Verschweissung","geschweißt","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/Saxum_Vineyard_Equipment_Barn_Paso_Robles__002__Dachtragwerk_Rohrtr_ger","has_fuegung_verbindung","fuegung_verbindung/Verschweissung","geschweißt; Purlins angeschlossen","rule_high","table_50b_fuegung_verbindung_label",""
"reuse_einsatz/gjG_House_Gentbrugge__004__Innenoberfl_chen_der_Schale","has_fuegung_verbindung","fuegung_verbindung/Vermoertelung","Mauerwerk","rule_high","table_50b_fuegung_verbindung_label",""
