anchor_id,rel_type,target_id,target_label,evidence_url,evidence_quote,line_ref,evidence_basis,final_decision,source_note,pass8_action,evidence_tier,finalest_decision
baticycle,HAT_BAUTEILTYP,bt_ausbau,Ausbau,https://baticycle.fr/materiaux-second-oeuvre/,Page is explicitly “Matériaux second oeuvre”.,L43-L44,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party category evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
baticycle,HAT_BAUTEILTYP,bt_boden,Boden,https://baticycle.fr/materiaux-second-oeuvre/,Category “Sols”; text names floor coverings and technical floor slabs.,L77-L80,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party category evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
baticycle,HAT_BAUTEILTYP,bt_decke,Decke,https://baticycle.fr/materiaux-second-oeuvre/,Category “Plafonds”; text names dalles de faux-plafonds.,L72-L75,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party category evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
baticycle,HAT_BAUTEILTYP,bt_technik,Technik,https://baticycle.fr/materiaux-second-oeuvre/,"Categories/text name radiateurs, CVC, Electricité, sanitaires, luminaires.",L51-L70,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party category evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
baticycle,HAT_BAUTEILTYP,bt_tuer,Tür,https://baticycle.fr/materiaux-second-oeuvre/,Constructions intérieures names “blocs-portes”.,L56-L60,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party category evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
baticycle,HAT_BAUTEILTYP,bt_wand,Wand,https://baticycle.fr/materiaux-second-oeuvre/,Category “Constructions intérieures” names cloisons.,L56-L60,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party category evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_ausbau,Ausbau,https://www.batiterre.be/shop,Tags include “Quincaillerie”; listing includes brass handle.,L91; L213-L215; L336,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_ausbau,ausbau,https://www.batiterre.be/shop,Shop listing includes “Verrière en métal et verre”.,shop listing lines captured in current session,direct_public_listing,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from component text. Raw material=""métal et verre""; raw component=""Verrière / interior glazed partition""; status=DIRECT_EXPLICIT; source_kind=shop_listing_page",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_boden,Boden,https://www.batiterre.be/shop,Tags include “Revêtements de sol”.,L93; L338,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_dach,Dach,https://www.batiterre.be/shop,Tags include “Toiture”.,L99; L344,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_daemmung,Dämmung,https://www.batiterre.be/shop,Tags include “Isolation”.,L79; L324,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_fenster,Fenster,https://www.batiterre.be/shop,Tags/listing include “Châssis et portes extérieures” and “Châssis de fenêtre PVC”.,L65; L160-L162,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_gelaender,Geländer,https://www.batiterre.be/shop,Tags include “Escaliers et balustrades”.,L75; L320,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_technik,Technik,https://www.batiterre.be/shop,"Tags include Électricité, HVAC-Chauffage, Luminaires, Sanitaires et Salles de bain.",L73-L81; L95; L318-L340,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_technik,technik,https://www.batiterre.be/shop/radiateur-suspendu-en-fonte-70x58x6-cm-l-5376,Product URL/title indicates “Radiateur suspendu en fonte”.,direct URL open attempted; title available from shop/listing capture,direct_product_detail,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from component text. Raw material=""fonte / cast iron""; raw component=""Radiateur""; status=DIRECT_EXPLICIT; source_kind=product_detail_page_or_listing",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_treppe,Treppe,https://www.batiterre.be/shop,Tags include “Escaliers et balustrades”.,L75; L320,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_tuer,Tür,https://www.batiterre.be/shop,"Tags/listings include “Portes intérieures”, “Porte à panneaux”, “Porte vitrée”, “Porte extérieure”.",L89; L113-L137; L219-L242; L334,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_wand,Wand,https://www.batiterre.be/shop,Tags include “Cloisons”.,L67; L312,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party shop tag/product evidence.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_wand,wand,https://www.batiterre.be/shop,"Shop listing includes “Brique en terre cuite rouge 20,5x11x5,5 cm”.",shop listing lines captured in current session,direct_public_listing,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from component text. Raw material=""terre cuite / terracotta clay""; raw component=""Brique / brick""; status=DIRECT_EXPLICIT; source_kind=shop_listing_page",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,HAT_BAUTEILTYP,bt_wand,wand,https://www.batiterre.be/shop,Shop listing includes “Verrière en métal et verre”.,shop listing lines captured in current session,direct_public_listing,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from component text. Raw material=""métal et verre""; raw component=""Verrière / interior glazed partition""; status=DIRECT_EXPLICIT; source_kind=shop_listing_page",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,NUTZT_MATERIAL,mat_glas,Glas,https://www.batiterre.be/shop,Tags include “Verre”; product listings include glass doors and stained glass/chassis items.,L101; L236-L265,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,First-party shop names glass as tag and products.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,NUTZT_MATERIAL,mat_glas,glas,https://www.batiterre.be/shop,Shop listing includes “Verrière en métal et verre”.,shop listing lines captured in current session,direct_public_listing,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from material text. Raw material=""métal et verre""; raw component=""Verrière / interior glazed partition""; status=DIRECT_EXPLICIT; source_kind=shop_listing_page",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,NUTZT_MATERIAL,mat_gusseisen,gusseisen,https://www.batiterre.be/shop/radiateur-suspendu-en-fonte-70x58x6-cm-l-5376,Product URL/title indicates “Radiateur suspendu en fonte”.,direct URL open attempted; title available from shop/listing capture,direct_product_detail,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from material text. Raw material=""fonte / cast iron""; raw component=""Radiateur""; status=DIRECT_EXPLICIT; source_kind=product_detail_page_or_listing",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,NUTZT_MATERIAL,mat_gusseisen,Gusseisen,https://www.batiterre.be/vente-et-preparation-au-reemploi,"Processes for reuse preparation cover “sanitaires, bois radiateurs en fonte, etc.”",L60-L62,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party evidence: bois = wood; fonte = cast iron.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,NUTZT_MATERIAL,mat_holz,holz,https://www.batiterre.be/shop/marche-en-hetre-petit-triangle-5401,Product URL/title indicates “Marche en hêtre”.,direct URL open attempted; title available from shop/listing capture,direct_product_detail,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from material text. Raw material=""hêtre / beech wood""; raw component=""Marche / stair tread""; status=DIRECT_EXPLICIT; source_kind=product_detail_page_or_listing",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,NUTZT_MATERIAL,mat_holz,Holz,https://www.batiterre.be/vente-et-preparation-au-reemploi,"Processes for reuse preparation cover “sanitaires, bois radiateurs en fonte, etc.”",L60-L62,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,Direct first-party evidence: bois = wood; fonte = cast iron.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,NUTZT_MATERIAL,mat_kunststoff,Kunststoff,https://www.batiterre.be/shop,“Châssis de fenêtre PVC blanc avec vantail fixe”.,L160-L162,DIRECT_FIRST_PARTY_FETCHED,IMPORT_SAFE_SOURCE_LINE,PVC window frame is explicit plastic material.,CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
batiterre,NUTZT_MATERIAL,mat_ziegel,ziegel,https://www.batiterre.be/shop,"Shop listing includes “Brique en terre cuite rouge 20,5x11x5,5 cm”.",shop listing lines captured in current session,direct_public_listing,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from material text. Raw material=""terre cuite / terracotta clay""; raw component=""Brique / brick""; status=DIRECT_EXPLICIT; source_kind=shop_listing_page",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
bauteilladen_winterthur,HAT_BAUTEILTYP,bt_fenster,fenster,https://bauteilladen.ch/shop/,Listing title: “2 -flügl Holz/Metallfenster JG 2012”.,L79-L84,direct_public_listing,IMPORT_SAFE_MAPPED_FROM_DIRECT_PRODUCT,"Pass4-6 mapped from component text. Raw material=""Holz/Metall""; raw component=""window / Fenster""; status=DIRECT_EXPLICIT; source_kind=webshop_listing_page",CARRIED_FORWARD_FROM_PASS_7,STRICT_IMPORT_SAFE,IMPORT_SAFE_STRICT
