file,line,category,snippet,recommended_action
_scripts/_gap_survey.py,55,gap-audit,"MATCH (p:Projekt) WHERE NOT EXISTS { (p)-[:LIEGT_IN_STADT]->() }","After Phase C — split into two checks: one for :Projekt (built reuse projects), one for :Programm (research/funded programmes). Programmes don't always have a city."
_scripts/_gap_survey.py,56,gap-audit,"MATCH (p:Projekt) WHERE NOT EXISTS { (p)-[:LIEGT_IN_LAND]->() }","After Phase C — same split. Programmes may be multi-country (FCRBE)."
_scripts/_gap_survey.py,57,gap-audit,"MATCH (p:Projekt) WHERE NOT EXISTS { (p)-[:HAT_INTERVENTION]->() }",":Projekt-only check — intervention is project-level. Leave as-is."
_scripts/_gap_survey.py,58,gap-audit,"MATCH (p:Projekt) WHERE NOT EXISTS { (p)-[:HAT_NUTZUNG]->() }",":Projekt-only — building usage is project-level. Leave as-is."
_scripts/_gap_survey.py,59,gap-audit,"MATCH (p:Projekt) WHERE NOT EXISTS { (p)-[:HAT_METHODE]->() }","Both apply; relax to MATCH (p) WHERE 'Projekt' IN labels(p) OR 'Programm' IN labels(p)."
_scripts/_gap_survey.py,60,gap-audit,"MATCH (p:Projekt) WHERE NOT EXISTS { (p)-[:NUTZT_BAUWERK]->() }",":Projekt-only — building reuse is project-level. Leave as-is."
_scripts/_gap_survey.py,61,gap-audit,"MATCH (p:Projekt) WHERE NOT EXISTS { (p)-[:TEIL_VON_PROGRAMM]->() }",":Projekt-only by definition. Leave as-is."
_scripts/_gap_survey.py,73,gap-audit,"MATCH (p:Projekt) WHERE size(p.name) > 25","Apply to all reuse entities — change to MATCH (p) WHERE 'Projekt' IN labels(p) OR 'Programm' IN labels(p)."
_scripts/run_neo4j_current_build_review.py,267,dashboard,"projects: MATCH (p:Projekt) RETURN count(p) AS c","Add a sibling count for :Programm and report both. Don't fold into a single number — the user reads ‘projects’ literally."
_scripts/run_neo4j_current_build_review.py,268,dashboard,"projects_no_source: MATCH (p:Projekt) WHERE NOT (p)-[:BELEGT_IN]->(:Quelle)","Add sibling for :Programm. Source-coverage is critical for both."
_scripts/run_neo4j_current_build_review.py,269,dashboard,"projects_no_component_or_work: MATCH (p:Projekt) WHERE NOT ((p)-[:HAT_BAUTEILGRUPPE]->(:Bauteilgruppe) OR (p)-[:NUTZT_BAUWERK]->(:Bauwerk))",":Projekt-only — programmes don't have to attach components directly. Leave as-is."
_scripts/run_neo4j_current_build_review.py,322,dashboard,"MATCH (p:Projekt) ...",Inspect full query and decide per its purpose.
_scripts/run_neo4j_round002_baseline.py,294,baseline-frozen,"projects: MATCH (p:Projekt) RETURN count(p)","Frozen 2026-05-20 baseline. DO NOT REWRITE — diff against post-cleanup baseline instead."
_scripts/run_neo4j_round002_baseline.py,295,baseline-frozen,"projects_no_source: MATCH (p:Projekt) WHERE NOT (p)-[:BELEGT_IN]->(:Quelle)","Frozen. DO NOT REWRITE."
_scripts/run_neo4j_round002_baseline.py,297,baseline-frozen,"MATCH (p:Projekt) ...","Frozen. DO NOT REWRITE."
_scripts/generate_page_links.py,36,page-gen,"MATCH (p:Projekt) ...","Inspect output. If page links should include programme pages, change to label union."
_scripts/generate_project_links.py,28,page-gen,"MATCH (p:Projekt) ...","Same as above. Programme links may need their own generator."
_scripts/generate_review_lists.py,36,page-gen,"MATCH (p:Projekt) ...","Same as above. Review list scope decision."
