seed_node,kategorie,definition,n_files,n_raw_values,raw_values
Beton,Mineralisch_gebunden,"Vor Ort gegossener Beton, unbewehrt oder schwach bewehrt.",24,21,"Stahlbetonfertigteile (n=2); WBS70-Stahlbetonfertigteile (n=2); Stahl und Beton (n=2); Beton (n=2); Stahlbetonfertigteile / precast concrete (n=1); Stahlbetonfertigteile / WBS70 (n=1); Beton / Stahlbetonfertigteile (n=1); Stahlbetonfertigteile / P2-PC-System (n=1); Dämmung, Betonblöcke, Holzrahmen (n=1); Stahl, Sichtbeton, Glas, Marmor (n=1); Fertigbeton (n=1); Spannbeton (n=1); Stahlbetonfertigteile / WBS70-Plattenbauteile (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); Spannbeton / Fertigbeton (n=1); Spannbeton/Fertigbeton (n=1); Beton / Spannbeton vermutlich (n=1); Betonbestand (n=1); wiederverwendete ost- und westdeutsche Plattenbauteile / Fertigbetonteile (n=1); Stahlbeton / Ortbeton (n=1); Beton, Aluminium, Holz/Fensterrahmen, Metall, Plattenmaterial (n=1)"
Holz,Holz,Massivholz / Konstruktionsvollholz / Bauholz.,17,16,"Holz (n=2); Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); europäisches Konstruktionsholz (n=1); sekundäres Abbruchholz / reclaimed solid timber (n=1); Dämmung, Betonblöcke, Holzrahmen (n=1); Holz, Stroh, Lehm (n=1); Holz, tropisches Hartholz / Pier decking (n=1); Holz, vermutlich reclaimed timber (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); Holz, Stroh, Erde, BTC, Granit, Gussradiatoren (n=1); Ziegel / Mauerwerk; Holz sekundär möglich (n=1); Beton, Aluminium, Holz/Fensterrahmen, Metall, Plattenmaterial (n=1); Holz, massive Holzbalken/Platten Verbiest (n=1); Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe (n=1); Holzbau (n=1); Altholz (n=1)"
Stahl,Eisenmetall,"Walzstahl in Hochbau-Gütegruppen (S235, S355, ältere Sorten ohne Werkszeugnis).",14,10,"Stahl (n=3); Baustahl (n=2); Stahl und Beton (n=2); Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); Stahlrohre (n=1); Eiche oder ähnliche Holzarten; Glas/Stahl/Edelstahlrahmen (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); Stahlrohr, reclaimt (n=1); CLT und Stahl (n=1); Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe (n=1)"
Sekundaerstahl,Eisenmetall,"Walzstahl in Hochbau-Gütegruppen (S235, S355, ältere Sorten ohne Werkszeugnis).",13,9,"Stahl (n=3); Baustahl (n=2); Stahl und Beton (n=2); Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); Stahlrohre (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); Stahlrohr, reclaimt (n=1); CLT und Stahl (n=1); Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe (n=1)"
Holz_Verbindungen,,,12,11,"Holz (n=2); Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); Dämmung, Betonblöcke, Holzrahmen (n=1); Holz, Stroh, Lehm (n=1); Holz, tropisches Hartholz / Pier decking (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); Holz, Stroh, Erde, BTC, Granit, Gussradiatoren (n=1); Ziegel / Mauerwerk; Holz sekundär möglich (n=1); Beton, Aluminium, Holz/Fensterrahmen, Metall, Plattenmaterial (n=1); Holz, massive Holzbalken/Platten Verbiest (n=1); Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe (n=1)"
Stahl_Verbindungen,,,9,6,"Stahl (n=3); Stahl und Beton (n=2); Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1); CLT und Stahl (n=1); Stahl, Holz, Polystyrol, Werbetafeln, weitere lokale Reststoffe (n=1)"
Stroh,Bio_Sonderstoff,"Biogener Dämmstoff (Hanf, Stroh, Jute, Cellulose, Holzfaser, Schafwolle).",8,9,"Hanfkalksteine, Lehm, Akustikbaffeln, Teppich (n=1); Holz, Stroh, Lehm (n=1); Holz, Stroh, Hanf-Kalk, Naturputz (n=1); Jutedämmung aus Kakaosäcken (n=1); Holz, Stroh, Erde, BTC, Granit, Gussradiatoren (n=1); PET-Filz, Textilien, Papiergranulat, Hanf/Seegras (n=1); Hanf (n=1); Strohplatten (n=1); Stroh (n=1)"
Recyclingbeton,Mineralisch_gebunden,"Beton mit rezyklierter Gesteinskörnung (RC-Beton, Mauerwerksbruch-Zuschlag).",5,5,Mauerwerkspuin / Abbruchschutt (n=1); rezyklierter Beton-Zuschlag (n=1); Recyclingbeton (n=1); recycled/upcycled concrete from Copenhagen Metro (n=1); Rezyklate (n=1)
Lehm,Bio_Sonderstoff,"Erdmaterial (Lehm, Stampflehm, Lehmestrich, BTC-Lehmstein).",3,3,"Holz, Stroh, Lehm (n=1); Lehm (n=1); Lehmestrich_Oxacrete (n=1)"
Glas,Mineralisch_gebrannt,"Glas als Material (Float, ESG, VSG, Isolierglas).",2,2,"Stahl, Holz, Stein, Glas, Recyclingmaterialien (n=1); Stahl, Beton, Holz, Glas, Ausbau-/TGA-Materialien (n=1)"
Keramik,Mineralisch_gebrannt,"Gebrannte Keramik (Fliesen, Fayence, Sanitärkeramik).",2,2,"Glas- und Keramikscherben (n=1); Holz, Fliesen/Keramik, Metall, Sanitärkeramik, Textil/Beläge (n=1)"
Brettschichtholz,Holz,"Mehrschichtig verleimtes Tragholz (BSH, Glulam).",1,1,Holz / Brettschichtholz (n=1)
Beton-Fertigteile_Verbindungen,,,0,0,
Brettsperrholz,Holz,Kreuzverleimte Massivholzplatte (CLT/CLST).,0,0,
Composite_Verbindungen,,,0,0,
Datenluecke,Datenluecke,Datenlücke — Wert nicht angegeben oder unbekannt.,0,0,
Sanitarkeramik,Mineralisch_gebrannt,Spezifische Sanitärkeramik als Material.,0,0,
