claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes
A12-rel-agg-0001,rel,agg:HAT_AKTEURROLLE,,Akteurrolle,HAT_AKTEURROLLE,"All HAT_AKTEURROLLE edges point to a valid Akteurrolle vocab node and originate from a valid actor-like domain",contract,get-schema + _neo4j/contracts/project_batches_v1_1/controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"1493 edges: range 100% ->Akteurrolle; domain Akteur 1461 / Software 30 (valid) / Stadt 2 (INVALID, see A12-rel-0001/0002)",KEEP,12,"1491 of 1493 domain-valid; 2 Stadt-domain edges flagged separately"
A12-rel-agg-0002,rel,agg:HAT_BAUTEILTYP,,Bauteiltyp,HAT_BAUTEILTYP,"All HAT_BAUTEILTYP edges point to a valid Bauteiltyp vocab node from valid domains (Bauteilgruppe/Akteur/Projekt/Software)",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"871 edges: range 100% ->Bauteiltyp; domains Bauteilgruppe 465 / Akteur 304 / Projekt 94 / Software 8 all valid",KEEP,12,"no free-text/orphan target receives edges"
A12-rel-agg-0003,rel,agg:HAT_AKTEURTYP,,Akteurtyp,HAT_AKTEURTYP,"All HAT_AKTEURTYP edges point to a valid Akteurtyp vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"700 edges: range 100% ->Akteurtyp; domain Akteur 699 (valid) / Stadt 1 (INVALID, see A12-rel-0003)",KEEP,12,"699 of 700 domain-valid"
A12-rel-agg-0004,rel,agg:NUTZT_MATERIAL,,Material,NUTZT_MATERIAL,"All NUTZT_MATERIAL edges point to a valid Material vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"633 edges: range 100% ->Material; domains Bauteilgruppe 390 / Akteur 174 / Projekt 62 / Software 4 / Bausystem 3 all valid",KEEP,12,"orphan mat_drahtglas/mat_spannbeton receive no edges"
A12-rel-agg-0005,rel,agg:HAT_MATERIALGRUPPE,,Materialgruppe,HAT_MATERIALGRUPPE,"All HAT_MATERIALGRUPPE edges point to a valid Materialgruppe vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"403 edges: range 100% ->Materialgruppe; domains Bauteilgruppe 375 / Material 28 all valid",KEEP,12,
A12-rel-agg-0006,rel,agg:HAT_BAUTEILGRUPPE,,Bauteilgruppe,HAT_BAUTEILGRUPPE,"All HAT_BAUTEILGRUPPE edges point to a valid Bauteilgruppe instance node",logic,get-schema,false,,PROVEN,hoch,"364 edges: range 100% ->Bauteilgruppe; domains Projekt 360 / Programm 4 all valid",KEEP,12,"Bauteilgruppe is an instance label (donor component group), not a closed vocab"
A12-rel-agg-0007,rel,agg:HAT_KENNWERT,,Kennwert,HAT_KENNWERT,"All HAT_KENNWERT edges point to a valid Kennwert instance node",logic,get-schema,false,,PROVEN,hoch,"255 edges: range 100% ->Kennwert; domain Projekt 255 valid",KEEP,12,"Kennwert nodes have name=null by design (identity in kennwert/wert/einheit); not a free-text violation"
A12-rel-agg-0008,rel,agg:HAT_NUTZUNG,,Nutzung,HAT_NUTZUNG,"All HAT_NUTZUNG edges point to a valid Nutzung vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"235 edges: range 100% ->Nutzung; domains Projekt 135 / Bauwerk 88 / Materialdepot 12 all valid",KEEP,12,
A12-rel-agg-0009,rel,agg:HAT_BAUOBJEKTROLLE,,Bauobjektrolle,HAT_BAUOBJEKTROLLE,"All HAT_BAUOBJEKTROLLE edges point to a valid Bauobjektrolle vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"225 edges: range 100% ->Bauobjektrolle; domains Bauwerk 199 / Materialdepot 26 all valid",KEEP,12,
A12-rel-agg-0010,rel,agg:HAT_BAUWEISE,,Bauweise,HAT_BAUWEISE,"All HAT_BAUWEISE edges point to a valid Bauweise vocab node",contract,get-schema + controlled_vocabulary.seed.kg.jsonl,false,,PROVEN,hoch,"124 edges: range 100% ->Bauweise; domains Bauteilgruppe 58 / Bauwerk 47 / Projekt 9 / Materialdepot 7 / Bausystem 3 all valid",KEEP,12,
