rel_type,property,rel_count,coverage,coverage_pct,distinct_values,suggested_verdict,samples
ANCHORED_BY,evidence_confidence,695,695,100.0,1,KEEP,unklar
APPLIES_IN,id,20,20,100.0,20,KEEP,r_rr_gb_stahl__APPLIES_IN__land_vereinigtes_koenigreich | r_rr_be_stahl__APPLIES_IN__land_belgien | r_rr_de_stahl__APPLIES_IN__land_deutschland | r_rr_nl_stahl__APPLIES_IN__land_niederlande
APPLIES_IN,evidence_confidence,20,20,100.0,1,KEEP,teilweise_belegt
APPLIES_TO,id,20,20,100.0,20,KEEP,r_rr_gb_stahl__APPLIES_TO__mat_stahl | r_rr_be_stahl__APPLIES_TO__mat_stahl | r_rr_de_stahl__APPLIES_TO__mat_stahl | r_rr_nl_stahl__APPLIES_TO__mat_stahl
APPLIES_TO,evidence_confidence,20,20,100.0,1,KEEP,teilweise_belegt
BELEGT_IN,evidence_confidence,6357,4730,74.4,4,KEEP,unklar | teilweise_belegt | belegt | inferiert
BELEGT_IN,id,6357,3278,51.6,3278,KEEP,r_p_55_great_suffolk_street_london__BELEGT_IN__q_55_great_suffolk_street_london… | r_p_55_great_suffolk_street_london__BELEGT_IN__q_schadstoff_reuse_knowledge_gra… | r_bw_55_great_suffolk_street_warehouse__BELEGT_IN__q_55_great_suffolk_street_lo… | r_bw_1_broadgate_london__BELEGT_IN__q_55_great_suffolk_street_london_md
BERECHNET_NACH_MODUL,evidence_confidence,8,8,100.0,1,KEEP,teilweise_belegt
BETEILIGT_AN,id,561,560,99.8,560,KEEP,r_cbre__BETEILIGT_AN__p_55_great_suffolk_street_london | r_gardiner_and_theobald__BETEILIGT_AN__p_55_great_suffolk_street_london | r_gardiner_and_theobald__BETEILIGT_AN__p_bedzed_london_hackbridge | r_gardiner_and_theobald__BETEILIGT_AN__bg_reuse_stahl_mehrere_55gss_external_co…
BETEILIGT_AN,evidence_confidence,561,560,99.8,1,KEEP,unklar
BETRIEBEN_VON,id,5,3,60.0,3,KEEP,r_software_restado__betrieben_von__concular | r_re_store_harvestmap_vienna__betrieben_von__materialnomaden | r_salvoweb__betrieben_von__salvo_ltd
BETRIEBEN_VON,evidence_confidence,5,2,40.0,1,KEEP,unklar
BUILT_IN_ERA,id,8,8,100.0,8,KEEP,r_bw_rws_districtskantoor_terneuzen__BUILT_IN_ERA__era_1990_2000 | r_bw_ka13_existing_building__BUILT_IN_ERA__era_nachkrieg_1945_1970 | r_bw_werkhof_moeoeslistrasse__BUILT_IN_ERA__era_1970_1990 | r_bw_lycee_block_3000__BUILT_IN_ERA__era_1970_1990
BUILT_IN_ERA,evidence_confidence,8,8,100.0,1,KEEP,inferiert
ERHALT_FOERDERUNG_DURCH,id,3,3,100.0,3,KEEP,r_p_jugendtreff_ingersheim__ERHALT_FOERDERUNG_DURCH__prog_holzbau_offensive_bw | r_p_harmalanranta_a_kruunu_recreate_mini_pilot_tampere__ERHALT_FOERDERUNG_DURCH… | r_p_superlocal_expogebouw_bleijerheide__ERHALT_FOERDERUNG_DURCH__prog_urban_inn…
ERHALT_FOERDERUNG_DURCH,evidence_confidence,3,3,100.0,1,KEEP,unklar
FROM_DONOR,id,284,284,100.0,284,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__AUS_BAUWERK__bw_palais_des_expos… | r_bg_reuse_keramik_boden_verbiest_charleroi__AUS_BAUWERK__bw_palais_des_exposit… | r_bg_reuse_naturstein_wand_verbiest_charleroi__AUS_BAUWERK__bw_palais_des_expos… | r_bg_reuse_stahl_mehrere_55gss_external_core__AUS_BAUWERK__bw_1_broadgate_london
FROM_DONOR,evidence_confidence,284,284,100.0,1,KEEP,unklar
GEHÖRT_ZU,id,250,250,100.0,250,KEEP,r_mario_monotti__GEHÖRT_ZU__monotti_ingegneri | r_roger_keller__GEHÖRT_ZU__usus_la | r_ana_olalquiaga__GEHÖRT_ZU__parabase | r_stefan_perez__GEHÖRT_ZU__perez_schmidlin_bauingenieure
GEHÖRT_ZU,evidence_confidence,250,249,99.6,1,KEEP,unklar
GEHÖRT_ZU,rolle,250,209,83.6,1,KEEP,land
GILT_IN_LAND,evidence_confidence,172,172,100.0,2,KEEP,unklar | belegt
GILT_IN_LAND,id,172,170,98.8,170,KEEP,r_norm_historic_sections_book__GILT_IN_LAND__land_vereinigtes_koenigreich | norm_en_1992__GILT_IN_LAND__land_portugal | norm_en_1992__GILT_IN_LAND__land_italien | norm_en_1992__GILT_IN_LAND__land_deutschland
HAS_BAUWERK,evidence_confidence,183,183,100.0,1,KEEP,teilweise_belegt
HAS_BAUWERK,role,183,183,100.0,2,KEEP,receiver | donor
HAS_RISK_POLLUTANT,id,795,795,100.0,795,KEEP,r_p_bedzed_london_hackbridge__HAS_RISK_POLLUTANT__s_formaldehyd__documented | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAS_RISK_POLLUTANT__s_schwermeta… | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAS_RISK_POLLUTANT__s_bleifarbe_… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAS_RISK_POLLUTANT__s_schwermetall…
HAS_RISK_POLLUTANT,evidence_confidence,795,795,100.0,2,KEEP,unklar | inferiert
HAS_SOURCE_LINK,evidence_confidence,20,20,100.0,1,KEEP,belegt
HAS_SOURCE_LINK,property_name,20,20,100.0,1,KEEP,source_url
HAT_AKTEURROLLE,id,1403,1308,93.2,1308,KEEP,r_cbre__HAT_AKTEURROLLE__ar_nachhaltigkeitsberatung | r_gardiner_and_theobald__HAT_AKTEURROLLE__ar_projektmanagement_koordination | r_gardiner_and_theobald__HAT_AKTEURROLLE__ar_reuse_beratung | r_cantillon__HAT_AKTEURROLLE__ar_rueckbau_bauteilernte_logistik
HAT_AKTEURROLLE,evidence_confidence,1403,1161,82.8,2,KEEP,unklar | teilweise_belegt
HAT_AKTEURTYP,id,692,673,97.3,673,KEEP,r_cbre__HAT_AKTEURTYP__at_unternehmen | r_gardiner_and_theobald__HAT_AKTEURTYP__at_unternehmen | r_cantillon__HAT_AKTEURTYP__at_unternehmen | r_abfallwirtschaftsbetriebe_muenster__HAT_AKTEURTYP__at_oeffentliche_institution
HAT_AKTEURTYP,evidence_confidence,692,646,93.4,2,KEEP,unklar | teilweise_belegt
HAT_AUFBEREITUNG,id,433,433,100.0,433,KEEP,r_p_bedzed_london_hackbridge__HAT_AUFBEREITUNG__av_entrosten_korrosionsbehandlu… | r_p_bedzed_london_hackbridge__HAT_AUFBEREITUNG__av_oberflaechenbehandlung_metal… | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_AUFBEREITUNG__av_reinigung | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_AUFBEREITUNG__av_zuschnitt
HAT_AUFBEREITUNG,evidence_confidence,433,433,100.0,1,KEEP,unklar
HAT_BAUOBJEKTKLASSE,id,224,224,100.0,224,KEEP,r_bw_55_great_suffolk_street_warehouse__HAT_BAUOBJEKTKLASSE__bok_gebaeude | r_bw_1_broadgate_london__HAT_BAUOBJEKTKLASSE__bok_gebaeude | r_bw_cleveland_steel_and_tubes_stock__HAT_BAUOBJEKTKLASSE__bok_depot_lager | r_bw_association_house_groeditz__HAT_BAUOBJEKTKLASSE__bok_gebaeude
HAT_BAUOBJEKTKLASSE,evidence_confidence,224,224,100.0,1,KEEP,unklar
HAT_BAUOBJEKTROLLE,id,225,225,100.0,225,KEEP,r_bw_55_great_suffolk_street_warehouse__HAT_BAUOBJEKTROLLE__bor_bestandsobjekt | r_bw_55_great_suffolk_street_warehouse__HAT_BAUOBJEKTROLLE__bor_empfaengerobjekt | r_bw_1_broadgate_london__HAT_BAUOBJEKTROLLE__bor_donorobjekt | r_bw_cleveland_steel_and_tubes_stock__HAT_BAUOBJEKTROLLE__bor_zwischenlager
HAT_BAUOBJEKTROLLE,evidence_confidence,225,225,100.0,1,KEEP,unklar
HAT_BAUPRODUKTSTATUS,id,65,65,100.0,65,KEEP,r_bg_reuse_stahl_mehrere_55gss_external_core__HAT_BAUPRODUKTSTATUS__bps_ce_hen | r_bg_reuse_holz_fassade_botanique__HAT_BAUPRODUKTSTATUS__bps_bestand_no_status | r_bg_retained_mehrere_mehrere_botanique_main_structure__HAT_BAUPRODUKTSTATUS__b… | r_bg_reuse_stahl_traeger_boulder_hospital_stockpile__HAT_BAUPRODUKTSTATUS__bps_…
HAT_BAUPRODUKTSTATUS,evidence_confidence,65,65,100.0,1,KEEP,unklar
HAT_BAUSYSTEM,id,64,64,100.0,64,KEEP,r_bw_iw73_6_mass_housing_donor__HAT_BAUSYSTEM__bsys_plattenbau | r_bg_reuse_beton_mehrere_bestandverplanzung_betonfertigteil_paneele__HAT_BAUSYS… | r_bg_reuse_stahlbeton_mehrere_big_dig_house_inverset_panels__HAT_BAUSYSTEM__bsy… | r_bg_reuse_stahlbeton_decke_broethen_p2_deckenplatten__HAT_BAUSYSTEM__bsys_p2_p…
HAT_BAUSYSTEM,evidence_confidence,64,64,100.0,1,KEEP,unklar
HAT_BAUTEILEBENE,id,359,359,100.0,359,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_BAUTEILEBENE__be_bauteilgrup… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_BAUTEILEBENE__be_bauteilgruppe | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_BAUTEILEBENE__be_bauteilgrup… | r_bg_reuse_stahl_mehrere_55gss_external_core__HAT_BAUTEILEBENE__be_bauteilgruppe
HAT_BAUTEILEBENE,evidence_confidence,359,359,100.0,1,KEEP,unklar
HAT_BAUTEILGRUPPE,id,356,356,100.0,356,KEEP,r_p_55_great_suffolk_street_london__HAT_BAUTEILGRUPPE__bg_reuse_stahl_mehrere_5… | r_p_association_house_groeditz__HAT_BAUTEILGRUPPE__bg_reuse_stahlbeton_mehrere_… | r_p_association_house_groeditz__HAT_BAUTEILGRUPPE__bg_reuse_stahlbeton_mehrere_… | r_p_association_house_plauen__HAT_BAUTEILGRUPPE__bg_reuse_stahlbeton_mehrere_pl…
HAT_BAUTEILGRUPPE,evidence_confidence,356,356,100.0,2,KEEP,teilweise_belegt | unklar
HAT_BAUTEILTYP,evidence_confidence,741,741,100.0,2,KEEP,belegt | unklar
HAT_BAUTEILTYP,id,741,593,80.0,593,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_BAUTEILTYP__bt_gelaender | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_BAUTEILTYP__bt_boden | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_BAUTEILTYP__bt_fassade | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_BAUTEILTYP__bt_wand
HAT_BAUTEILTYP,evidence_url,741,76,10.3,15,KEEP,https://www.la-ressourcerie.ch/les-mat%C3%A9riaux | https://materiuum.ch/ressourcerie-lausanne-magasin-shop/ | https://www.baumatpool.ch/de/ | https://ggzatwork.ch/gaeste/laden2/laden-2-bauteile
HAT_BAUTEILTYP,evidence_quote,741,76,10.3,15,KEEP,"Le magasin de la Ressourcerie dispose en permanence de matériaux de constructio… | La Ressourcerie Lausanne permet de stocker et de prolonger la durée de vie de m… | Die Schweizer Materialbörse – Baumaterialien und Restposten einfach finden, kau… | Im LADEN 2 Bauteile finden Sie alles für einen nachhaltigen Wohnungsumbau – von…"
HAT_BAUWEISE,id,128,128,100.0,128,KEEP,r_bg_reuse_mehrere_mehrere_alliander_common_roof_atrium__HAT_BAUWEISE__bauw_hyb… | r_bg_reuse_beton_mehrere_bestandverplanzung_betonfertigteil_paneele__HAT_BAUWEI… | r_bg_planned_mehrere_mehrere_big_dig_building_geplante_infrastrukturbauteile__H… | r_bg_reuse_stahlbeton_mehrere_big_dig_house_inverset_panels__HAT_BAUWEISE__bauw…
HAT_BAUWEISE,evidence_confidence,128,128,100.0,1,KEEP,unklar
HAT_BESCHAFFUNGSWEG,id,274,274,100.0,274,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_BESCHAFFUNGSWEG__bweg_rueckb… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_BESCHAFFUNGSWEG__bweg_rueckbau… | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_BESCHAFFUNGSWEG__bweg_rueckb… | r_bg_reuse_stahl_mehrere_55gss_external_core__HAT_BESCHAFFUNGSWEG__bweg_direktv…
HAT_BESCHAFFUNGSWEG,evidence_confidence,274,274,100.0,1,KEEP,unklar
HAT_DEFEKT,id,42,42,100.0,42,KEEP,r_bg_reuse_mehrere_mehrere_bedzed_fixed_secondary_components__HAT_DEFEKT__def_k… | r_bg_reuse_stahl_mehrere_bedzed_structural__HAT_DEFEKT__def_korrosion | r_bg_reuse_stahl_mehrere_biopartner_5_stuetzen_rahmen__HAT_DEFEKT__def_korrosion | r_bg_reuse_stahl_mehrere_drill_stem_pipe_dachtragwerk_saxum__HAT_DEFEKT__def_ko…
HAT_DEFEKT,evidence_confidence,42,42,100.0,1,KEEP,unklar
HAT_DEFEKT_BEFUND,id,25,25,100.0,25,KEEP,r_p_bedzed_london_hackbridge__HAT_DEFEKT_BEFUND__def_korrosion | r_p_bedzed_london_hackbridge__HAT_DEFEKT_BEFUND__def_keine_befunde | r_p_berlin_schildow_pilot_house__HAT_DEFEKT_BEFUND__def_korrosion | r_p_grubenstrasse_29_werkhof_29_zuerich__HAT_DEFEKT_BEFUND__def_korrosion
HAT_DEFEKT_BEFUND,evidence_confidence,25,25,100.0,1,KEEP,unklar
HAT_FUNKTIONSWECHSEL,id,293,293,100.0,293,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_FUNKTIONSWECHSEL__fw_neue_fu… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_FUNKTIONSWECHSEL__fw_neue_funk… | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_FUNKTIONSWECHSEL__fw_neue_fu… | r_bg_reuse_stahl_mehrere_55gss_external_core__HAT_FUNKTIONSWECHSEL__fw_neue_fun…
HAT_FUNKTIONSWECHSEL,evidence_confidence,293,293,100.0,1,KEEP,unklar
HAT_GELTUNGSBEREICH,id,15,15,100.0,15,KEEP,norm_cen_ts_1090_201_2024__HAT_GELTUNGSBEREICH__geltungsbereich_cen_ts_europaei… | norm_cen_ts_17440__HAT_GELTUNGSBEREICH__geltungsbereich_cen_ts_europaeisch | norm_en_1992__HAT_GELTUNGSBEREICH__geltungsbereich_eurocodes_eu_efta_uk | norm_en_1993__HAT_GELTUNGSBEREICH__geltungsbereich_eurocodes_eu_efta_uk
HAT_GELTUNGSBEREICH,evidence_confidence,15,15,100.0,2,KEEP,teilweise_belegt | belegt
HAT_GESCHAEFTSMODELL,evidence_confidence,66,44,66.7,2,KEEP,wahrscheinlich | belegt
HAT_HUERDE,evidence_confidence,1044,1044,100.0,1,KEEP,unklar
HAT_HUERDE,id,1044,987,94.5,987,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_HUERDE__h_materialqualitaet_… | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_HUERDE__h_technische_freigabe | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_HUERDE__h_materialqualitaet_un… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_HUERDE__h_technische_freigabe
HAT_HUERDEKATEGORIE,id,167,167,100.0,167,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_HUERDEKATEGORIE__hk_technisch | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_HUERDEKATEGORIE__hk_daten_ev… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_HUERDEKATEGORIE__hk_technisch | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_HUERDEKATEGORIE__hk_daten_evid…
HAT_HUERDEKATEGORIE,evidence_confidence,167,167,100.0,1,KEEP,unklar
HAT_INTERVENTION,id,144,144,100.0,144,KEEP,r_p_55_great_suffolk_street_london__HAT_INTERVENTION__bai_erweiterung | r_p_55_great_suffolk_street_london__HAT_INTERVENTION__bai_sanierung | r_p_association_house_groeditz__HAT_INTERVENTION__bai_neubau | r_p_association_house_plauen__HAT_INTERVENTION__bai_neubau
HAT_INTERVENTION,evidence_confidence,144,144,100.0,1,KEEP,unklar
HAT_KENNWERT,evidence_confidence,255,255,100.0,3,KEEP,unklar | teilweise_belegt | belegt
HAT_LEISTUNGSANFORDERUNG,id,549,549,100.0,549,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_LEISTUNGSANFORDERUNG__la_dau… | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_LEISTUNGSANFORDERUNG__la_tra… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_LEISTUNGSANFORDERUNG__la_dauer… | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_LEISTUNGSANFORDERUNG__la_dau…
HAT_LEISTUNGSANFORDERUNG,evidence_confidence,549,549,100.0,1,KEEP,unklar
HAT_LOGISTIK,evidence_confidence,494,494,100.0,1,KEEP,unklar
HAT_LOGISTIK,id,494,436,88.3,436,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_LOGISTIK__log_transport | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_LOGISTIK__log_transport | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_LOGISTIK__log_transport | r_bg_reuse_stahl_mehrere_55gss_external_core__HAT_LOGISTIK__log_lagerung
HAT_MARKTMODELL,id,420,374,89.0,374,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_MARKTMODELL__mm_same_site | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_MARKTMODELL__mm_plattform_ve… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_MARKTMODELL__mm_same_site | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_MARKTMODELL__mm_plattform_verm…
HAT_MARKTMODELL,evidence_confidence,420,374,89.0,1,KEEP,unklar
HAT_MARKTMODELL,original_source_excerpt,420,315,75.0,1,KEEP,propagated from project HAT_DOMINANT_MARKTMODELL (project-wide sourcing)
HAT_MATCHINGQUALITAET,id,182,182,100.0,182,KEEP,r_p_55_great_suffolk_street_london__HAT_MATCHINGQUALITAET__mq_temporal_planned | r_p_55_great_suffolk_street_london__HAT_MATCHINGQUALITAET__mq_spec_exact | r_p_55_great_suffolk_street_london__HAT_MATCHINGQUALITAET__mq_spec_anpassung | r_p_association_house_groeditz__HAT_MATCHINGQUALITAET__mq_spec_anpassung
HAT_MATCHINGQUALITAET,evidence_confidence,182,182,100.0,1,KEEP,unklar
HAT_MATERIALGRUPPE,id,503,503,100.0,503,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_MATERIALGRUPPE__mg_metall | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_MATERIALGRUPPE__mg_glas_keramik | r_bg_reuse_naturstein_wand_verbiest_charleroi__HAT_MATERIALGRUPPE__mg_mineralis… | r_bg_reuse_stahl_mehrere_55gss_external_core__HAT_MATERIALGRUPPE__mg_metall
HAT_MATERIALGRUPPE,evidence_confidence,503,503,100.0,1,KEEP,unklar
HAT_METHODE,evidence_confidence,654,595,91.0,1,KEEP,unklar
HAT_METHODE,id,654,532,81.3,532,KEEP,r_p_55_great_suffolk_street_london__HAT_METHODE__meth_urban_mining | r_p_association_house_groeditz__HAT_METHODE__meth_bauteilkatalogisierung | r_p_association_house_plauen__HAT_METHODE__meth_bauteilkatalogisierung | r_p_bedzed_london_hackbridge__HAT_METHODE__meth_building_material_scouting
HAT_NUTZUNG,id,214,214,100.0,214,KEEP,r_p_55_great_suffolk_street_london__HAT_NUTZUNG__nut_buero | r_p_55_great_suffolk_street_london__HAT_NUTZUNG__nut_gewerbe | r_p_association_house_groeditz__HAT_NUTZUNG__nut_sozialbau | r_p_association_house_plauen__HAT_NUTZUNG__nut_sozialbau
HAT_NUTZUNG,evidence_confidence,214,214,100.0,1,KEEP,unklar
HAT_PROZESSPHASE,evidence_confidence,812,812,100.0,1,KEEP,unklar
HAT_PROZESSPHASE,id,812,693,85.3,693,KEEP,r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_PROZESSPHASE__phase_rueckbau | r_bg_reuse_stahl_gelaender_verbiest_charleroi__HAT_PROZESSPHASE__phase_wiederei… | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_PROZESSPHASE__phase_rueckbau | r_bg_reuse_keramik_boden_verbiest_charleroi__HAT_PROZESSPHASE__phase_wiedereinb…
HAT_PRUEFUNG,id,408,408,100.0,408,KEEP,r_p_bedzed_london_hackbridge__HAT_PRUEFUNG__pn_sichtpruefung__research_inferred | r_p_bedzed_london_hackbridge__HAT_PRUEFUNG__pn_rostgrad__research_inferred | r_p_bedzed_london_hackbridge__HAT_PRUEFUNG__pn_restquerschnitt__research_inferr… | r_p_bedzed_london_hackbridge__HAT_PRUEFUNG__pn_ultraschall_dickenmessung__resea…
HAT_PRUEFUNG,evidence_confidence,408,408,100.0,2,KEEP,unklar | belegt
