value,count,n_files,knoten_kandidat_n>=3,files
unbekannt,13,13,JA,Association_house_Groeditz.md; Association_house_Plauen.md; BioPartner_5_Leiden_Oegstgeest.md; House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md; Liander_Alliander_HQ_Duiven.md; Lo_Reninge_Town_Hall_Facade.md; Maison_DnA_Asse.md; Maison_Vignette_Auderghem.md; Maison_des_Canaux_Paris.md; Saxum_Vineyard_Equipment_Barn_Paso_Robles.md; Timber_Square_London.md; Villa_Welpeloo_Enschede.md; gjG_House_Gentbrugge.md
Kostenwirkung,2,2,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md; Lokomotion_Technology_Centre_mini_pilot_Tampere.md
"Materialkosten niedriger, aber keine Gesamteinsparung",1,1,,55_Great_Suffolk_Street_London.md
Reclaimed steel ca. 4 % günstiger; mit Zusatzaufwand effektiv kostenneutral,1,1,,BedZED_London_Hackbridge.md
free materials minus transport / lower cost claims,1,1,,Big_Dig_House_Lexington_Massachusetts.md
55.000 € Bau-/Renovierungskosten; 15 m²,1,1,,Chiro_d_Itterbeek_Dilbeek.md
"80,000 € HT",1,1,,Circular_Pavilion_Paris.md
"wirtschaftlicher Einsatz von Reuse dort, wo sinnvoll",1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
£12.6 Mio. / £11.4 Mio. HLF-Förderung,1,1,,Hastings_Pier_Visitor_Centre.md
Circulair bouwen nicht unbedingt billiger,1,1,,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
"CHF 33,1 Mio. Ausführungskredit / CHF 18 Mio. frühere Schätzung / CHF 25 Mio. Perita-Bausumme",1,1,,Juch_Areal_Recyclingzentrum_Zuerich.md
Kosten etwa vergleichbar mit ähnlichem Neubau,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
HCS 5–6× teurer als neue HCS laut Thesis,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
"kostenneutrale Re-Use-Einsparung / 9 % Kosteneinsparung Re-Use-Bauteile, 18 % Mehrhonorar Planung",1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
840 EUR/m² berichtet; ca. 1.100 EUR/m² Vergleich laut Biele,1,1,,Mehrow_Pilot_House.md
Budget Kunstintervention 55.788 €; Architektur 2.976.107 €,1,1,,Musee_de_Folklore_Mouscron.md
£64/sq ft; 68 % günstiger / 32 % Standard-Fit-out,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
"Baukosten 3,072 Mio. € / 3,1 Mio. € HT",1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Projektkosten £180m,1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
Miet-/Leasingmodelle für Licht/Möbel,1,1,,The_Green_House_Utrecht.md
Budget sozialer Wohnungsbau,1,1,,Woongroep_Boschgaard_Den_Bosch.md
