value,count,n_files,knoten_kandidat_n>=3,files
Sport-/Vereinshaus,2,2,,Association_house_Groeditz.md; Association_house_Plauen.md
Einfamilienhaus / Pilotwohnhaus,2,2,,Berlin_Schildow_Pilot_House.md; Mehrow_Pilot_House.md
Lysbuechel_Parkhaus,2,2,,Areal_Walkeweg_Nord.md; LysP8_Basel_Lysbuechelareal.md
LysP8_Basel_Lysbuechelareal,2,2,,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md; Lysbuechel_Parkhaus.md
ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal,2,2,,K118_Kopfbau_Halle_118_Winterthur.md; LysP8_Basel_Lysbuechelareal.md
Grade II Listed Victorian warehouse,1,1,,55_Great_Suffolk_Street_London.md
Spender: Schule Typ Dresden; weiteres WBS70-Gebäude,1,1,,Association_house_Groeditz.md
altes Verwaltungsgebäude der awm,1,1,,AWM_Muenster_Circular_Office.md
Wohn- und Arbeitsquartier,1,1,,BedZED_London_Hackbridge.md
Spender: Berliner Elfgeschosser / Marzahn-Plattenbau,1,1,,Berlin_Schildow_Pilot_House.md
Einfamilienhaus / Zwei-Generationenhaus mit Satteldach,1,1,,Berlin_Schildow_Pilot_House_2.md
Spender: Berliner/Marzahner Plattenbau,1,1,,Berlin_Schildow_Pilot_House_2.md
Olympisches Dorf / Bungalows,1,1,,Bestandverplanzung_Pavilion_Muenchen.md
Big Dig Building,1,1,,Big_Dig_Building_Boston.md
Einfamilienhaus / modernes Wohnhaus,1,1,,Big_Dig_House_Lexington_Massachusetts.md
ehemaliges Gorlaeus-Hochhaus / Gorlaeus laboratory,1,1,,BioPartner_5_Leiden_Oegstgeest.md
BioPartner 5,1,1,,BioPartner_5_Leiden_Oegstgeest.md
ehemaliges subtropisches Schwimmbad Tropicana / Club Tropicana,1,1,,BlueCity_Offices_Rotterdam.md
Fire Station 3 & Fire Administration,1,1,,Boulder_Fire_Station_3.md
Boulder Community Hospital / Boulder Community Health hospital,1,1,,Boulder_Fire_Station_3.md
Substation screen / oval steel structure,1,1,,Brent_Cross_Town_Primary_Substation_London.md
permanentes Forschungs-/Demonstrationsgebäude,1,1,,Brighton_Waste_House_Brighton.md
Doppelhaus / twin-house,1,1,,Broethen_Twin_House_Hoyerswerda.md
Spender: Massenwohnungsbau / Plattenbau,1,1,,Broethen_Twin_House_Hoyerswerda.md
ehemalige Zigarettenfabrik,1,1,,Charles_Malis_Molenbeek.md
Sanitärpavillon neben alter Farm,1,1,,Chiro_d_Itterbeek_Dilbeek.md
Christus-Pavillon,1,1,,Christ_Pavilion_Volkenroda.md
"Circulair Centrum Nederland, Heerde",1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
"Prinsenhof A, Arnhem",1,1,,Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot.md
ehemalige Lager-/Fassladehalle auf dem Kindl-Areal,1,1,,CRCLR_House_Impact_Hub_Berlin.md
ehemaliges Coop-Verteilzentrum / Großbäckerei,1,1,,ELYS_Kultur_Gewerbehaus_Basel.md
Europa Building mit Residence Palace Block A,1,1,,Europa_Building_Brussels.md
Neubauensemble,1,1,,Ferme_du_Rail_Paris.md
Einfamilienhaus,1,1,,gjG_House_Gentbrugge.md
ehemalige elektrische Werkstatt der Société Métallurgique de Normandie,1,1,,Grande_Halle_de_Colombelles.md
ehemaliges Fabrik-/Gewerbe-/Schlossereigebäude,1,1,,Grubenstrasse_29_Werkhof_29_Zuerich.md
Härmälänrannan Ernst,1,1,,Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere.md
Hastings Pier / Visitor Centre,1,1,,Hastings_Pier_Visitor_Centre.md
Mehrfamilienhaus,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
Spender: Rückbaustelle Leinefelde,1,1,,Haus_HOS_Mehrfamilienhaus_Muehlhausen.md
1980er-Jahre Bürogebäude,1,1,,Holbein_Gardens_London.md
318 Oxford Street / former House of Fraser / The Elephant,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
TBC.London / Tower Bridge Court,1,1,,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md
"CRCLR House, ehemalige Kindl-Brauerei",1,1,,Impact_Hub_Berlin_CRCLR_Fitout.md
Institut de Botanique de l’ULg,1,1,,Institut_de_Botanique_ULg_Liege.md
ehemaliges Districtskantoor Rijkswaterstaat Terneuzen,1,1,,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
bestehender Emergis-Bestand Kloetinge,1,1,,Jeugdkliniek_Ithaka_Emergis_Kloetinge.md
bestehende Industriehalle Halle 118,1,1,,K118_Kopfbau_Halle_118_Winterthur.md
Bürogebäude mit Umbau und Erweiterung,1,1,,KA13_Kristian_Augusts_gate_13_Oslo.md
Kamikatsu Zero Waste Center „WHY“,1,1,,Kamikatsu_Zero_Waste_Center_Hotel_WHY.md
Werkhof Mööslistrasse,1,1,,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md
Büro-/Campuskomplex,1,1,,Liander_Alliander_HQ_Duiven.md
Rathaus Lo-Reninge / ehemaliges Kloster,1,1,,Lo_Reninge_Town_Hall_Facade.md
kleiner Technikbau + Personalräume „space within a space“,1,1,,Lokomotion_Technology_Centre_mini_pilot_Tampere.md
"Lycée Michel Lucius Campus, Flügel 3000 und 6000",1,1,,Lycee_Michel_Lucius_Conversion_Luxembourg.md
Bestandsgebäude am Canal,1,1,,Maison_des_Canaux_Paris.md
Einfamilienhaus mit Home Office,1,1,,Maison_DnA_Asse.md
Einfamilienhaus in Auderghem,1,1,,Maison_Vignette_Auderghem.md
Spender: abgerissener Marzahner Elfgeschosser,1,1,,Mehrow_Pilot_House.md
Grundschule und Kita,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Suutarila community centre,1,1,,Melkinlaituri_Primary_School_Daycare_Centre_Helsinki.md
Montessorischool Maassluis,1,1,,Montessori_Maassluis.md
ehemaliger Philips Tower / Brouckère Tower,1,1,,Multi_Brussels_Reuse_in_MULTI.md
Musée de Folklore Vie Frontalière,1,1,,Musee_de_Folklore_Mouscron.md
Kleinsthaus / Galerie / experimenteller Wohnraum,1,1,,Plattenpalast_Berlin.md
vollständig de- und remontierbares Recycling-Gebäude,1,1,,Plattenvereinigung_Berlin.md
The White Chapel Building,1,1,,PLP_London_HQ_Circular_Studio_Fitout.md
Einfamilienhaus / Wohnhaus,1,1,,Recyclinghaus_Hannover.md
ehemalige Reithalle / riding arena / horse riding school,1,1,,Recypark_Demets_Anderlecht.md
"Neubau, bioklimatisches Betriebs-/Bürogebäude",1,1,,Resilience_La_Ferme_des_Possibles_Stains.md
Wohngebäude / Wohnquartier,1,1,,Resource_Rows_Copenhagen.md
"Former Blackfriars Crown Court, 1 Pocock Street / Loman Street, Southwark",1,1,,Roots_in_the_Sky_Blackfriars_Crown_Court.md
Agricultural storage / equipment barn,1,1,,Saxum_Vineyard_Equipment_Barn_Paso_Robles.md
Expogebouw / Superlocal Pavilion,1,1,,Superlocal_Expogebouw_Bleijerheide.md
Hochhausflat Ursulastraat,1,1,,Superlocal_Expogebouw_Bleijerheide.md
ehemalige Gladsaxe School,1,1,,Svanen_Kindergarten_Gladsaxe.md
The Green House,1,1,,The_Green_House_Utrecht.md
Industrie-/Fabrikgebäude von 1967/1968,1,1,,Thoravej_29_Copenhagen.md
Print Building und Ink Building,1,1,,Timber_Square_London.md
78 m / 20-geschossiges Holzhochhaus,1,1,,TRAE_High_Rise_Aarhus.md
Reihenhausensemble,1,1,,Upcycle_Studios_Copenhagen.md
Verbiest,1,1,,Verbiest_Karreveld_Brussels.md
Karreveld,1,1,,Verbiest_Karreveld_Brussels.md
Wohnhaus mit Ausstellungs-/Kunstlagerfunktion,1,1,,Villa_Welpeloo_Enschede.md
ehemaliges Nachbarschaftszentrum De Patio + neue Wohnbauten,1,1,,Woongroep_Boschgaard_Den_Bosch.md
ehemalige Werkstätten / ehemaliger Gebäudekomplex des Finanzministeriums,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
Hobelwerk_Haus_D_Oberwinterthur,1,1,,Altes_Hobelwerk_Winterthur.md
Kindl_Areal,1,1,,Bestandshalle_CRCLR_House.md
K118_Kopfbau_Halle_118_Winterthur,1,1,,ELYS_Kultur_und_Gewerbehaus_Basel_Lysbuechelareal.md
Altes_Hobelwerk_Winterthur,1,1,,Hobelwerk_Haus_D_Oberwinterthur.md
Bestandshalle_CRCLR_House,1,1,,Kindl_Areal.md
Areal_Walkeweg_Nord,1,1,,Lysbuechel_Parkhaus.md
