entity_type,file,raw_value,matched_nodes
Material,55_Great_Suffolk_Street_London.md,Baustahl,Sekundaerstahl | Stahl
Bauteil,Association_house_Groeditz.md,279 Betonfertigteile + 159 WBS70-Paneele,Betonfertigteil | Wand
Tragwerkssystem,Association_house_Groeditz.md,Fertigteil-Wand-/Deckensystem,Betonfertigteil_System | Tragende_Wand
Tragwerkssystem,Association_house_Plauen.md,Plattenbau-/Wandbau-System mit Fertigteilplatten,Betonfertigteil_System | Tragende_Wand
Material,BedZED_London_Hackbridge.md,"Stahl, Holz, Stein, Glas, Recyclingmaterialien",Sekundaerstahl | Stahl | Stahl_Verbindungen | Glas | Holz | Holz_Verbindungen
Huerde,BedZED_London_Hackbridge.md,Verfügbarkeit passender Profile; lange Vorlaufzeiten; gebogene Profile nicht reused,Verfuegbarkeitsproblem | Terminunsicherheit
Prozessphase,Bestandverplanzung_Pavilion_Muenchen.md,"Rückbau, Transport, Wiedereinbau",Rueckbau | Wiedereinbau
Material,Big_Dig_Building_Boston.md,Stahl und Beton,Beton | Sekundaerstahl | Stahl | Stahl_Verbindungen
Bauteil,Big_Dig_House_Lexington_Massachusetts.md,Stahlträger und Stahlstützen,Stuetze | Traeger
Material,Big_Dig_House_Lexington_Massachusetts.md,Stahl und Beton,Beton | Sekundaerstahl | Stahl | Stahl_Verbindungen
Methode,BlueCity_Offices_Rotterdam.md,harvesting / Oogstkaart-Logik,Bauteilkatalogisierung | Materialinventur
Material,Boulder_Fire_Station_3.md,Stahl,Sekundaerstahl | Stahl | Stahl_Verbindungen
Huerde,Boulder_Fire_Station_3.md,fehlende Industriestandards für Prüfung reclaimed steel,Fehlende_Datenstandards | Fehlende_Lagerflaeche | Fehlende_Standardisierung
Huerde,Boulder_Fire_Station_3.md,hohe Front-End-Kosten und Logistikunsicherheit,Fehlende_Lagerflaeche | Logistikproblem
Material,Brent_Cross_Town_Primary_Substation_London.md,Stahlrohre,Sekundaerstahl | Stahl
Bauteil,Broethen_Twin_House_Hoyerswerda.md,50 Deckenplatten,Betonfertigteil | Deckenplatte
Methode,CascadeUp_London_secondary_timber_glulam_demonstrator.md,"Kit-of-parts, demontierbare modulare Struktur",Design_for_Disassembly | Reversibilitaet
Bauteil,Chiro_d_Itterbeek_Dilbeek.md,Außentüren und Holzfenster,Feuerschutztuer | Fenster
Material,Chiro_d_Itterbeek_Dilbeek.md,"Dämmung, Betonblöcke, Holzrahmen",Beton | Holz | Holz_Verbindungen
Huerde,Chiro_d_Itterbeek_Dilbeek.md,logistisch-organisatorische Hindernisse,Fehlende_Lagerflaeche | Logistikproblem
Pruefung,CRCLR_House_Impact_Hub_Berlin.md,"Zugversuche, chemische Analyse, Schweißbarkeit, Korrosionsschutz",Materialpruefung | Zugversuch
Aufbereitungsmethode,Europa_Building_Brussels.md,"abschleifen, restaurieren, lackieren, in Edelstahlrahmen setzen",Holzaufbereitung | Rekonditionierung
Tragwerkssystem,gjG_House_Gentbrugge.md,"formaktive, gekrümmte Ziegelschale + Stahl-/Holz-Infill",Stahl_Skelettbau | Holz_Skelettbau
Bauteil,Grande_Halle_de_Colombelles.md,Holzpfetten / Holzstücke,Brettschichtholzstuetze | Pfette | Stuetze | Traeger
Huerde,Grande_Halle_de_Colombelles.md,Versicherung / assurabilité,Gewaehrleistung | Haftung
Material,Grubenstrasse_29_Werkhof_29_Zuerich.md,"Holz, Stroh, Lehm",Stroh | Holz | Holz_Verbindungen | Lehm
Material,Hastings_Pier_Visitor_Centre.md,"Holz, tropisches Hartholz / Pier decking",Holz | Holz_Verbindungen
Material,Holbein_Gardens_London.md,Baustahl,Sekundaerstahl | Stahl
Material,House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain.md,Stahl,Sekundaerstahl | Stahl | Stahl_Verbindungen
Pruefung,Impact_Hub_Berlin_CRCLR_Fitout.md,Zugversuche / chemische Analysen für Stahl,Materialpruefung | Zugversuch
Reuse_Strategie,KA13_Kristian_Augusts_gate_13_Oslo.md,Großmaßstäbliche Bauteilwiederverwendung + Transformation,Weiterbauen_im_Bestand | Direkte_Wiederverwendung
Tragwerkssystem,KA13_Kristian_Augusts_gate_13_Oslo.md,bestehendes Stahlstützensystem + donor HCS/Steel,Betonfertigteil_System | Stahl_Skelettbau
Prozessphase,KA13_Kristian_Augusts_gate_13_Oslo.md,"Umbau, Rückbau, Aufbereitung, Wiedereinbau",Rueckbau | Aufbereitung | Wiedereinbau
Kennwert,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md,ca. 30 % graue THG-Einsparung,CO2_Einsparung | Graue_Energie
Logistik,Kindergarten_Moeoeslistrasse_Manegg_Zuerich.md,"Bauteiljäger*innen, Katalog, städtische Occasionslager",Lagerung | Zwischenlagerung
