"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"bauobjekt/Areal_Walkeweg_Nord","has_bausystem","bausystem/Betonfertigteil_System","Areal Walkeweg Nord | Areal_Walkeweg_Nord | Areal Walkeweg Nord | Entwerfen mit Bestand; Bauteilwiederverwendung im Neubau; sozialer Wohnungsbau; kommunale Arealentwicklung; ressourcenschonender Betonbau; Re-Use-Wettbewerbe. | Areal Walkeweg Nord | Entwerfen mit Bestand; Bauteilwiederverwendung im Neubau; sozialer Wohnungsbau; kommunale Arealentwicklung; ressourcenschonender Betonbau; Re-Use-Wettbewerbe. | Entwerfen mit Bestand; Bauteilwiederverwendung im Neubau; sozialer Wohnungsbau; kommunale Arealentwicklung; ressourcenschonender Betonbau; Re-Use-Wettbewerbe. | Das Areal Walkeweg Nord in Basel ist ein kommunales Entwicklungsgebiet für preisgünstigen Wohnraum und soziale Infrastruktur. Für die Baufelder C und D wurde ein Neubauprojekt mit expliziter Bauteilwiederverwendung ausgelobt; das Siegerprojekt `Elementa` von PARABASE sieht die konstruktive und gestalterische Integration wiedergewonnener Betonfertigteile aus dem Rückbau kantonaler bzw. regionaler Bestandsbauten vor, besonders aus dem Lysbüchel-Parkhaus. Die Datei behandelt Walkeweg Nord als gebäudebezogene Fallstudie: nicht als allgemeine Quartiersseite, sondern als Beispiel dafür, wie ein Neubau als Aufnahmegebäude für großformatige Re-Use-Bauteile geplant wird. | Entwerfen mit Bestand; Bauteilwiederverwendung im Neubau; sozialer Wohnungsbau; kommunale Arealentwicklung; ressourcenschonender Betonbau; Re-Use-Wettbewerbe. | Das Areal Walkeweg Nord in Basel ist ein kommunales Entwicklungsgebiet für preisgünstigen Wohnraum und soziale Infrastruktur. Für die Baufelder C und D wurde ein Neubauprojekt mit expliziter Bauteilwiederverwendung ausgelobt; das Siegerprojekt `Elementa` von PARABASE sieht die konstruktive und gestalterische Integration wiedergewonnener Betonfertigteile aus dem Rückbau kantonaler bzw. regionaler Bestandsbauten vor, besonders aus dem Lysbüchel-Parkhaus. Die Datei behandelt Walkeweg Nord als gebäudebezogene Fallstudie: nicht als allgemeine Quartiersseite, sondern als Beispiel dafür, wie ein Neubau als Aufnahmegebäude für großformatige Re-Use-Bauteile geplant wird.","rule_medium","label_50r_has_bausystem_bauobjekt_context","gebaeude\Areal_Walkeweg_Nord.md"
"bauobjekt/Association_house_Groeditz","has_bausystem","bausystem/Betonfertigteil_System","Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Association_house_Groeditz | Sport-/Vereinshaus | Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Neubau eines Sport-/Vereinshauses mit wiederverwendeten Betonfertigteilen aus mindestens zwei Spendergebäuden | Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Sport-/Vereinshaus | Neubau eines Sport-/Vereinshauses mit wiederverwendeten Betonfertigteilen aus mindestens zwei Spendergebäuden | Spender 1: Schule Typ Dresden; Spender 2: WBS70-Gebäude, genaue Nutzung unbekannt | 2007 laut PRECS-Fallstudienliste | gebaut","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Association_house_Groeditz.md"
"bauobjekt/Association_house_Groeditz","has_bausystem","bausystem/Plattenbau","Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Association_house_Groeditz | Sport-/Vereinshaus | Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Neubau eines Sport-/Vereinshauses mit wiederverwendeten Betonfertigteilen aus mindestens zwei Spendergebäuden | Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Sport-/Vereinshaus | Neubau eines Sport-/Vereinshauses mit wiederverwendeten Betonfertigteilen aus mindestens zwei Spendergebäuden | Spender 1: Schule Typ Dresden; Spender 2: WBS70-Gebäude, genaue Nutzung unbekannt | 2007 laut PRECS-Fallstudienliste | gebaut","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Association_house_Groeditz.md"
"bauobjekt/Association_house_Plauen","has_bausystem","bausystem/Betonfertigteil_System","Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Association_house_Plauen | Sport-/Vereinshaus | Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Neubau eines Sport-/Vereinshauses aus wiederverwendeten Stahlbetonfertigteilen | Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Sport-/Vereinshaus | Neubau eines Sport-/Vereinshauses aus wiederverwendeten Stahlbetonfertigteilen | Spendergebäude: industrieller Wohnungsbau / mass housing, Fertigteilsystem IW73/6 | 2007 laut PRECS-Fallstudienliste | gebaut","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Association_house_Plauen.md"
"bauobjekt/Association_house_Plauen","has_bausystem","bausystem/Plattenbau","Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Association_house_Plauen | Sport-/Vereinshaus | Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Neubau eines Sport-/Vereinshauses aus wiederverwendeten Stahlbetonfertigteilen | Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Sport-/Vereinshaus | Neubau eines Sport-/Vereinshauses aus wiederverwendeten Stahlbetonfertigteilen | Spendergebäude: industrieller Wohnungsbau / mass housing, Fertigteilsystem IW73/6 | 2007 laut PRECS-Fallstudienliste | gebaut","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Association_house_Plauen.md"
"bauobjekt/Berlin_Schildow_Pilot_House","has_bausystem","bausystem/Plattenbau","Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Berlin_Schildow_Pilot_House | Einfamilienhaus / Pilotwohnhaus | Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Wiederverwendung von WBS70-Plattenbauteilen aus Berliner/Marzahner Plattenbau | Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Einfamilienhaus / Pilotwohnhaus | Wiederverwendung von WBS70-Plattenbauteilen aus Berliner/Marzahner Plattenbau | WBS70-Plattenbau / Elfgeschosser in Berlin-Marzahn | Einfamilienhaus | 2005 laut PRECS; Presseberichte 2005/2006 | gebaut","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Berlin_Schildow_Pilot_House.md"
"bauobjekt/Berlin_Schildow_Pilot_House","has_bausystem","bausystem/Betonfertigteil_System","Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Berlin_Schildow_Pilot_House | Einfamilienhaus / Pilotwohnhaus | Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Wiederverwendung von WBS70-Plattenbauteilen aus Berliner/Marzahner Plattenbau | Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Einfamilienhaus / Pilotwohnhaus | Wiederverwendung von WBS70-Plattenbauteilen aus Berliner/Marzahner Plattenbau | WBS70-Plattenbau / Elfgeschosser in Berlin-Marzahn | Einfamilienhaus | 2005 laut PRECS; Presseberichte 2005/2006 | gebaut","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Berlin_Schildow_Pilot_House.md"
"bauobjekt/Berlin_Schildow_Pilot_House_2","has_bausystem","bausystem/Plattenbau","Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Berlin_Schildow_Pilot_House_2 | Einfamilienhaus / Zwei-Generationenhaus; genaue Zuordnung zu einem oder zwei Gebäuden unbekannt | Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Pilot zur Wiederverwendung von WBS70-Plattenbauteilen | Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Einfamilienhaus / Zwei-Generationenhaus; genaue Zuordnung zu einem oder zwei Gebäuden unbekannt | Pilot zur Wiederverwendung von WBS70-Plattenbauteilen | Plattenbau / Wohnungsbau, WBS70-System; Berlin-Marzahn im Pressekontext | Einfamilienhaus / Zwei-Generationenhaus | 2005; Presseberichte 2005/2006 | gebaut / Rohbau 2005; genaue Trennung zweier Häuser unbekannt","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Berlin_Schildow_Pilot_House_2.md"
"bauobjekt/Berlin_Schildow_Pilot_House_2","has_bausystem","bausystem/Betonfertigteil_System","Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Berlin_Schildow_Pilot_House_2 | Einfamilienhaus / Zwei-Generationenhaus; genaue Zuordnung zu einem oder zwei Gebäuden unbekannt | Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Pilot zur Wiederverwendung von WBS70-Plattenbauteilen | Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Einfamilienhaus / Zwei-Generationenhaus; genaue Zuordnung zu einem oder zwei Gebäuden unbekannt | Pilot zur Wiederverwendung von WBS70-Plattenbauteilen | Plattenbau / Wohnungsbau, WBS70-System; Berlin-Marzahn im Pressekontext | Einfamilienhaus / Zwei-Generationenhaus | 2005; Presseberichte 2005/2006 | gebaut / Rohbau 2005; genaue Trennung zweier Häuser unbekannt","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Berlin_Schildow_Pilot_House_2.md"
"bauobjekt/Broethen_Twin_House_Hoyerswerda","has_bausystem","bausystem/Plattenbau","Bröthen Twin-House, Hoyerswerda — Fallstudie Direct Reuse / Wiederverwendung von P2-Plattenbauteilen | Broethen_Twin_House_Hoyerswerda | Doppelhaus / Wohnhaus | Bröthen Twin-House, Hoyerswerda — Fallstudie Direct Reuse / Wiederverwendung von P2-Plattenbauteilen | Wiederverwendung von P2-Fertigteilen aus Massenwohnungsbau | Bröthen Twin-House, Hoyerswerda — Fallstudie Direct Reuse / Wiederverwendung von P2-Plattenbauteilen | Doppelhaus / Wohnhaus | Wiederverwendung von P2-Fertigteilen aus Massenwohnungsbau | Massenwohnungsbau / Plattenbau im P2-System | Doppelhaus / Wohnnutzung | 2001 laut PRECS | gebaut","rule_medium","label_50r_has_bausystem_bauobjekt_context","Gebäude\Broethen_Twin_House_Hoyerswerda.md"
