claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,degree,in_degree,out_degree,curated_overlap_id,curated_inbound,reg_overlap_pct,stub_only_reg_targets,remediation_status,patch_ref
R05-node-001,node,c33_circular_construction_catalyst,,,Akteur,"C33 Swiss coordination office for circular construction (degree-0 orphan after Tier-2 mesh deletion)",logic,read-cypher + agent_01.csv,false,,SCHEMA_VIOLATION,belegt,"degree=0 in_degree=0; prior cirkla→c33 VERBUNDEN_MIT_AKTEUR Tier-2 removed (EVIDENCE_AUDIT §TIER2)",CONNECT,R05,"Real org PROVEN (circularconstructioncatalyst.ch); structural orphan only — no unsupported mesh edge to restore",0,0,0,,,,"","DRAFTED","patches/remediation_r05_connect_orphans.patch.jsonl"
R05-node-002,node,circular_economy_switzerland,,,Akteur,"Circular Economy Switzerland network node (degree-0 orphan after Tier-2 mesh deletion)",logic,read-cypher + agent_01.csv,false,,SCHEMA_VIOLATION,belegt,"degree=0 in_degree=0; prior cirkla→ces VERBUNDEN_MIT_AKTEUR Tier-2 removed (page never named Cirkla)",CONNECT,R05,"Real org PROVEN (circular-economy-switzerland.ch); await evidenced actor-to-actor edge before any VERBUNDEN_MIT_AKTEUR",0,0,0,,,,"","DRAFTED","patches/remediation_r05_connect_orphans.patch.jsonl"
R05-node-003,node,repurpose,,,Akteur,"Repurpose BV Dutch reuse consultancy / Madopt operator (degree-0 orphan; stray land scalar)",logic,read-cypher + agent_05.csv,false,,SCHEMA_VIOLATION,belegt,"degree=0; all prior Dutch mesh edges Tier-1 deleted; madopt folded into repurpose per NL intake plan",CONNECT,R05,"CONNECT LIEGT_IN_LAND→land_niederlande + FIX_PROPERTY drop land; substantive actor edge deferred (no madopt node; insert↔repurpose mesh was unsupported)",0,0,0,,,,"","DRAFTED","patches/remediation_r05_connect_orphans.patch.jsonl + remediation_r05_fix_property.patch.jsonl"
R05-node-004,node,bt_fassadenelement,,,Bauteiltyp,"Regulation vocab stub; content-graph orphan (0 HAT_BAUTEILTYP inbound)",logic,read-cypher + TYPE_BY_RW rw_en_13830,false,,SCHEMA_VIOLATION,mittel,"degree=5 out=5 in=0; name=Fassadenelement (fix_property applied); reg targets 5/5 identical to bt_fassade",DEPRECATE_NODE,R05,"100% regulation-subgraph duplicate of bt_fassade; kept only as EN 13830 fine-grain anchor in build_vocabulary_graph.py — human must choose merge vs keep",5,0,5,bt_fassade,89,100,"","HUMAN_GATE","patches/remediation_r05_deprecate_candidates.HUMAN_GATE.md"
R05-node-005,node,bt_fassadenmodul_mauerwerk,,,Bauteiltyp,"Masonry facade module regulation anchor (0 content inbound)",logic,read-cypher + TYPE_BY_RW rw_en_13830/rw_en_771,false,,PARTIAL,mittel,"degree=7 out=7 in=0; name=Fassadenmodul (Mauerwerk); reg overlap bt_fassade 5/7 (71%)",KEEP,R05,"Distinct tragwerk/material targets vs bt_fassade; referenced by rw_en_13830 and rw_en_771_reclaimed — retain as regulation anchor",7,0,7,bt_fassade,89,71,"nf_materialpruefung; rf_tragwerkssicherheit_frage","APPLIED_NAME","patches/remediation_r05_fix_property.patch.jsonl (noop)"
R05-node-006,node,bt_glasscheibe,,,Bauteiltyp,"Glazing pane regulation stub; duplicate reg profile with bt_verglasung",logic,read-cypher + TYPE_BY_RW rw_din_18008/rw_glas_reuse_igu,false,,SCHEMA_VIOLATION,mittel,"degree=7 out=7 in=0; reg overlap bt_fenster 3/7 (43%); identical 7-target subgraph as bt_verglasung",DEPRECATE_NODE,R05,"Pairwise duplicate of bt_verglasung — merge one into the other before any content wiring",7,0,7,bt_fenster,72,43,"nf_materialpruefung; nf_sicherheitsglas_info; nf_absturzsicherung; rf_tragwerkssicherheit_frage","HUMAN_GATE","patches/remediation_r05_deprecate_candidates.HUMAN_GATE.md"
R05-node-007,node,bt_hohlkoerperdecke,,,Bauteiltyp,"Hollow-core slab regulation anchor (0 content inbound)",logic,read-cypher + TYPE_BY_RW rw_en_1168,false,,PARTIAL,mittel,"degree=5 out=5 in=0; reg overlap bt_fassade 2/5 (40%) — semantic parent is bt_decke (0 outgoing reg edges)",KEEP,R05,"Not a facade subtype; rw_en_1168-specific anchor — low overlap with bt_fassade is expected",5,0,5,bt_fassade,89,40,"nf_standsicherheitsnachweis; nf_materialpruefung; rf_tragwerkssicherheit_frage","APPLIED_NAME","patches/remediation_r05_fix_property.patch.jsonl (noop)"
R05-node-008,node,bt_mauerstein,,,Bauteiltyp,"Masonry unit regulation anchor (0 content inbound)",logic,read-cypher + TYPE_BY_RW rw_en_771/rw_din_18945,false,,PARTIAL,mittel,"degree=4 out=4 in=0; reg overlap bt_fassade 2/4 (50%)",KEEP,R05,"Masonry-specific; overlaps bt_fassade only on generic produktstatus/tragwerk questions",4,0,4,bt_fassade,89,50,"nf_materialpruefung; rf_tragwerkssicherheit_frage","APPLIED_NAME","patches/remediation_r05_fix_property.patch.jsonl (noop)"
R05-node-009,node,bt_verglasung,,,Bauteiltyp,"Glazing assembly regulation stub; duplicate reg profile with bt_glasscheibe",logic,read-cypher + TYPE_BY_RW rw_din_18008/rw_glas_reuse_igu,false,,SCHEMA_VIOLATION,mittel,"degree=7 out=7 in=0; reg overlap bt_fenster 3/7 (43%); identical 7-target subgraph as bt_glasscheibe",KEEP,R05,"Preferred canonical glazing stub if bt_glasscheibe merged; broader term than Glasscheibe",7,0,7,bt_fenster,72,43,"nf_materialpruefung; nf_sicherheitsglas_info; nf_absturzsicherung; rf_tragwerkssicherheit_frage","HUMAN_GATE","patches/remediation_r05_deprecate_candidates.HUMAN_GATE.md (merge bt_glasscheibe→here)"
R05-node-010,node,mat_drahtglas,,,Material,"Wired-glass material regulation anchor (0 NUTZT_MATERIAL inbound)",logic,read-cypher + MAT_BY_RW rw_din_18008/rw_glas_reuse_igu,false,,PARTIAL,mittel,"degree=7 out=7 in=0; reg overlap mat_glas 5/7 (71%)",KEEP,R05,"Subtype anchor for safety glazing / wired glass (DIN 18008); extra absturz+tragwerk targets vs mat_glas",7,0,7,mat_glas,69,71,"nf_absturzsicherung; rf_tragwerkssicherheit_frage","APPLIED_NAME","patches/remediation_r05_fix_property.patch.jsonl (noop)"
R05-node-011,node,mat_spannbeton,,,Material,"Prestressed concrete regulation anchor (0 NUTZT_MATERIAL inbound)",logic,read-cypher + MAT_BY_RW rw_en_1168,false,,PARTIAL,mittel,"degree=5 out=5 in=0; reg targets are 100% subset of mat_beton (5/5 ⊆ 8)",DEPRECATE_NODE,R05,"Subset duplicate of mat_beton regulation subgraph; distinguish only if prestressed semantics needed (rw_en_1168)",5,0,5,mat_beton,44,100,"","HUMAN_GATE","patches/remediation_r05_deprecate_candidates.HUMAN_GATE.md"
