entity,group,property,total_in_group,nodes_or_rels_with_property,coverage_pct,missing_count,types,type_drift,empty_count,unique_values_seen_cap_1001,action,priority,reason,sample_values
node,Akteur,actor_registry_order,669,1,0.15,668,int:1,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,66
node,Akteur,aliases,669,16,2.39,653,list[str]:16,,0,16,review_keep_if_used,P2,human curation aid; keep only if actively queried,"[""IMd raadgevende ingenieurs""] || [""bauburo_in_situ"",""baubüro in situ""] || [""Cleveland Steel and Tubes""] || [""opera_pm""]"
node,Akteur,id,669,669,100.0,0,str:669,,0,669,keep_minimum,P0,identity handle required by constraints and patch tooling,cbre || werner_sobek_p || gardiner_and_theobald || cantillon
node,Akteur,invalid_candidate_source_urls,669,216,32.29,453,list[str]:216,,0,34,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag","["""",""https://t""] || [""https://projecta"",""https://pr""] || [""""] || [""https://ww""]"
node,Akteur,land,669,81,12.11,588,str:81,,0,9,review_relationship_duplicate,P0,likely duplicates graph topology; replace with relationships or aliases only if needed,NL || AT || FR || CH
node,Akteur,name,669,669,100.0,0,str:669,,0,668,keep_minimum,P0,human caption / browser display,CBRE || Werner Sobek || Gardiner & Theobald || Cantillon
node,Akteur,name_full,669,81,12.11,588,str:81,,0,81,review_keep_if_distinct,P2,keep only when materially different from name,ABN AMRO Bank N.V. — Circl pavilion client / initiator || BAM Bouw + Techniek (Royal BAM Group) — Circl construction team || Delft University of Technology — Circl research partner + REBRIDGE partner || BIG — Bundesimmobiliengesellschaft m.b.H. — MedUni Campus property client
node,Akteur,primary_source_url,669,134,20.03,535,str:134,,0,68,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",https://labs.aap.cornell.edu/ccl/umar-unit || https://www.hft-stuttgart.com/research/projects/current/stuttgart-210-ii || https://www.insitu.ch/projekte/196-k-118 || https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house
node,Akteur,repair_phase,669,2,0.3,667,str:2,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,1.5_1.6_residuals
node,Akteur,reuse_relevanz_text,669,1,0.15,668,str:1,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,UMAR/Systemengineering: zirkuläre Gebäudesysteme und reversibles Bauen; eher Future-Reuse als direkte Bauteil-Reuse.
node,Akteur,review_run,669,31,4.63,638,str:31,,0,1,review_sparse,P2,sparse property; verify it is not one-off import residue,2026-05-28_bauteilboersen_integration
node,Akteur,review_status,669,535,79.97,134,str:535,,0,2,review_domain_property,P3,domain-specific value; decide per label,needs_source_url_review || reviewed_legacy_profile_needs_url_fact_check
node,Akteur,source_count,669,134,20.03,535,int:134,,0,6,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",1 || 3 || 4 || 5
node,Akteur,source_file,669,1,0.15,668,str:1,,0,1,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",akteursliste_master.md
node,Akteur,source_freshness_summary,669,638,95.37,31,str:638,,0,88,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag","{""n_reachable"": 5, ""n_reachable_via_3xx"": 0, ""n_dead"": 1, ""n_unchecked"": 0, ""n_wayback_fallback"": 1, ""latest_check_date"": ""2026-05-22""} || {""n_reachable"": 1, ""n_reachable_via_3xx"": 0, ""n_dead"": 0, ""n_unchecked"": 0, ""n_wayback_fallback"": 0, ""latest_check_date"": ""2026-05-22""} || {""n_reachable"": 11, ""n_reachable_via_3xx"": 0, ""n_dead"": 2, ""n_unchecked"": 0, ""n_wayback_fallback"": 2, ""latest_check_date"": ""2026-05-22""} || {""n_reachable"": 6, ""n_reachable_via_3xx"": 0, ""n_dead"": 0, ""n_unchecked"": 0, ""n_wayback_fallback"": 0, ""latest_check_date"": ""2026-05-22""}"
node,Akteur,source_quality_summary,669,638,95.37,31,str:638,,0,129,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag","{""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 0, ""n_dead"": 0, ""n_unchecked"": 17} || {""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 1, ""n_dead"": 0, ""n_unchecked"": 1} || {""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 0, ""n_dead"": 0, ""n_unchecked"": 31} || {""n_verbatim"": 0, ""n_paraphrase"": 0, ""n_no_match"": 0, ""n_dead"": 0, ""n_unchecked"": 12}"
node,Akteur,source_resolution_status,669,638,95.37,31,str:638,,0,2,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",needs_source_url_review || trusted_incident_relationship_source_urls
node,Akteur,source_scope,669,669,100.0,0,list[str]:5; str:664,yes,0,8,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag","actor_registry || bauteilboerse_legacy_review || [""actor_registry"",""actor_registry_context""] || case_markdown"
node,Akteur,source_trust_score,669,507,75.78,162,float:507,,0,41,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",0.0 || 0.0054 || 0.0125 || 0.0185
node,Akteur,source_url,669,29,4.33,640,str:29,,0,22,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",https://labs.aap.cornell.edu/ccl/umar-unit || https://www.zhaw.ch/en/archbau/institutes-centres/iik/research/reuse-in-construction || https://urban-mining-index.de || https://www.architektur.uni-wuppertal.de/en/people/annette-hillebrandt
node,Akteur,source_url_node_ids,669,122,18.24,547,list[str]:122,,0,90,review_relationship_duplicate,P0,likely duplicates graph topology; replace with relationships or aliases only if needed,"[""q_url_5368eaa41895c58f""] || [""q_url_576c46740500c21b"",""q_url_37e5c064bf50e5fd"",""q_url_f94a923d48fc3a3b""] || [""q_url_576c46740500c21b"",""q_url_37e5c064bf50e5fd"",""q_url_4487887bb22507ac""] || [""q_url_7007d99a15adf97e"",""q_url_712b7b6ff74b6df1"",""q_url_ff2f176cd780a5e5""]"
node,Akteur,source_urls,669,134,20.03,535,list[str]:134,,0,97,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag","[""https://labs.aap.cornell.edu/ccl/umar-unit""] || [""https://www.hft-stuttgart.com/research/projects/current/stuttgart-210-ii"",""https://www.archdaily.com/1024776/stuttgart-210-think-ahead-build-on-hft-stuttgart"",""https://klingelhoefer-kroetsch.de/projekte/Stuttgart_210""] || [""https://www.insitu.ch/projekte/196-k-118"",""https://zirkular.net/en/project/building-k-118"",""https://www.park-books.com/produkt/bauteile-wiederverwenden/108"",""https://zirkular.net/en/project/culture-commercial-center-e… || [""https://circularmaterialsystems.com/en/case/impact-hub-berlin-crclr-house"",""https://www.zrs.berlin/en/project/crclr-house-2"",""https://www.nbau.org/2022/12/08/transformation-bauen-das-crclr-haus-in-berlin"",""https://zus…"
node,Akteur,strict_candidate_url_array_cleanup,669,216,32.29,453,str:216,,0,1,move_to_provenance_model,P1,"provenance should be on Quelle/BELEGT_IN/relationship provenance, not semantic node bag",mig_strict_candidate_url_array_cleanup_2026_05_23
