"claim_id","claim_kind","element_id","from_id","to_id","rel_type_or_label","asserted_claim","basis_type","basis_ref","fetched","http_status","verdict","confidence","proof_quote","proposed_action","agent_id","notes","remediation_status","r02_verdict","requirement_valid","demands","fulfillments","regelwerk_support","high_confidence_pn","medium_confidence_pn","new_pn_suggestion","patch_ops_count"
"A13-nf-dangle-0001","node","nf_oekobilanz_epd","","","Nachweisforderung","Requirement OekobilanzEPD is demanded by 67 ERFORDERT_NACHWEIS edges but satisfiable by 0 ERFUELLT_NACHWEIS/PruefungNachweis","logic","satisfiability query (demands vs fulfillments)","false","","CONTRADICTION","belegt","demands=67 fulfillments=0; no PruefungNachweis can satisfy this requirement","ADD_PRUEFUNGNACHWEIS","R02","R02: 67 demands; 9 GESTUETZT_AUF_REGELWERK (EN 15804/15978, EU Taxonomy). No EPD/LCA PruefungNachweis in catalog.; agent13: dangling requirement; needs ERFUELLT_NACHWEIS coverage or downgrade","DEFERRED_NEW_PN","VALID_REQUIREMENT","yes","67","0","9","","","pn_epd_oder_lca_nachweis","0"
"A13-nf-dangle-0002","node","nf_materialpass_ressourcenpass","","","Nachweisforderung","Requirement MaterialpassRessourcenpass demanded by 54 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=54 fulfillments=0","ADD_PRUEFUNGNACHWEIS","R02","R02: 54 demands; ESPR DPP / EU Level(s) backed. No material-passport / DPP procedure node.; agent13: dangling requirement","DEFERRED_NEW_PN","VALID_REQUIREMENT","yes","54","0","4","","","pn_materialpass_oder_dpp","0"
"A13-nf-dangle-0003","node","nf_bauteilidentifikation","","","Nachweisforderung","Requirement Bauteilidentifikation demanded by 50 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=50 fulfillments=0","ADD_ERFUELLT_NACHWEIS","R02","R02: 1 high-confidence PN→NF edge(s) drafted; 0 medium candidates documented.; agent13: dangling requirement","PATCH_DRAFTED","COVERAGE_GAP","yes","50","0","7","pn_bauteilpass (belegt)","","","1"
"A13-nf-dangle-0004","node","nf_befestigungsnachweis","","","Nachweisforderung","Requirement Befestigungsnachweis demanded by 48 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","teilweise_belegt","demands=48 fulfillments=0","ESCALATE_HUMAN","R02","R02: Only medium-confidence PN candidates (pn_ankerpruefung); human review before patch.; agent13: dangling requirement","DEFERRED_MEDIUM","COVERAGE_GAP","yes","48","0","4","","pn_ankerpruefung (teilweise_belegt)","","0"
"A13-nf-dangle-0005","node","nf_schadstoffkataster_erkundung","","","Nachweisforderung","Requirement SchadstoffkatasterErkundung demanded by 39 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","teilweise_belegt","demands=39 fulfillments=0","ESCALATE_HUMAN","R02","R02: Only medium-confidence PN candidates (pr_dokumentenpruefung_bestand); human review before patch.; agent13: dangling requirement","DEFERRED_MEDIUM","COVERAGE_GAP","yes","39","0","7","","pr_dokumentenpruefung_bestand (teilweise_belegt)","","0"
"A13-nf-dangle-0006","node","nf_dauerhaftigkeit_restlebensdauer","","","Nachweisforderung","Requirement DauerhaftigkeitRestlebensdauer demanded by 35 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","teilweise_belegt","demands=35 fulfillments=0","ESCALATE_HUMAN","R02","R02: Only medium-confidence PN candidates (pr_zustandsbewertung); human review before patch.; agent13: dangling requirement","DEFERRED_MEDIUM","COVERAGE_GAP","yes","35","0","4","","pr_zustandsbewertung (teilweise_belegt)","","0"
"A13-nf-dangle-0007","node","nf_holzschutzmittel_check","","","Nachweisforderung","Requirement HolzschutzmittelCheck demanded by 29 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=29 fulfillments=0","ADD_ERFUELLT_NACHWEIS","R02","R02: 2 high-confidence PN→NF edge(s) drafted; 0 medium candidates documented.; agent13: dangling requirement","PATCH_DRAFTED","COVERAGE_GAP","yes","29","0","1","pn_schadstoffanalyse_holz (belegt); pn_biozid_screening (belegt)","","","2"
"A13-nf-dangle-0008","node","nf_bauphysiknachweis","","","Nachweisforderung","Requirement Bauphysiknachweis demanded by 28 edges, 0 fulfillments (also Leistungsanforderung la_waermeschutz maps here)","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=28 fulfillments=0","ADD_ERFUELLT_NACHWEIS","R02","R02: 3 high-confidence PN→NF edge(s) drafted; 0 medium candidates documented.; agent13: dangling requirement; la_waermeschutz maps_to this node","PATCH_DRAFTED","COVERAGE_GAP","yes","28","0","4","pn_lambda_wert (belegt); pn_ug_wert (belegt); pn_ug_uw_wert (belegt)","","","3"
"A13-nf-dangle-0009","node","nf_genehmigungs_oder_zustimmungsbedarf","","","Nachweisforderung","Requirement GenehmigungsOderZustimmungsbedarf demanded by 27 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","teilweise_belegt","demands=27 fulfillments=0","ESCALATE_HUMAN","R02","R02: Only medium-confidence PN candidates (pn_approval_process); human review before patch.; agent13: dangling requirement","DEFERRED_MEDIUM","COVERAGE_GAP","yes","27","0","6","","pn_approval_process (teilweise_belegt)","","0"
"A13-nf-dangle-0010","node","nf_rc_gesteinskoernung_eignung","","","Nachweisforderung","Requirement RcGesteinskoernungEignung demanded by 25 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","teilweise_belegt","demands=25 fulfillments=0","ESCALATE_HUMAN","R02","R02: Only medium-confidence PN candidates (pn_petrografie, pr_eignungspruefung_baulehm); human review before patch.; agent13: dangling requirement","DEFERRED_MEDIUM","COVERAGE_GAP","yes","25","0","1","","pn_petrografie (teilweise_belegt); pr_eignungspruefung_baulehm (teilweise_belegt)","","0"
"A13-nf-dangle-0011","node","nf_barrierefreiheit_nachweis","","","Nachweisforderung","Requirement BarrierefreiheitNachweis demanded by 18 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=18 fulfillments=0","ADD_PRUEFUNGNACHWEIS","R02","R02: 18 demands; DIN 18040 backed. No accessibility audit procedure in catalog.; agent13: dangling requirement","DEFERRED_NEW_PN","VALID_REQUIREMENT","yes","18","0","2","","","pn_barrierefreiheitsaudit","0"
"A13-nf-dangle-0012","node","nf_absturzsicherung","","","Nachweisforderung","Requirement AbsturzsicherungNachweis demanded by 14 edges, 0 fulfillments (Leistungsanforderung la_rutschhemmung maps here)","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=14 fulfillments=0","ADD_ERFUELLT_NACHWEIS","R02","R02: 1 high-confidence PN→NF edge(s) drafted; 0 medium candidates documented.; agent13: dangling requirement; la_rutschhemmung maps_to this node","PATCH_DRAFTED","COVERAGE_GAP","yes","14","0","2","pn_rutschhemmung (belegt)","","","1"
"A13-nf-dangle-0013","node","nf_asbest_check","","","Nachweisforderung","Requirement AsbestCheck demanded by 10 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=10 fulfillments=0","ADD_ERFUELLT_NACHWEIS","R02","R02: 1 high-confidence PN→NF edge(s) drafted; 0 medium candidates documented.; agent13: dangling requirement; pr_schadstoffscreening exists but does not ERFUELLT this node","PATCH_DRAFTED","COVERAGE_GAP","yes","10","0","4","pr_schadstoffscreening (belegt)","","","1"
"A13-nf-dangle-0014","node","nf_elektrosicherheitsnachweis","","","Nachweisforderung","Requirement Elektrosicherheitsnachweis demanded by 7 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=7 fulfillments=0","ADD_PRUEFUNGNACHWEIS","R02","R02: 7 demands; rw_dguv_v3_vde. No electrical safety test procedure in PruefungNachweis vocab.; agent13: dangling requirement","DEFERRED_NEW_PN","VALID_REQUIREMENT","yes","7","0","1","","","pn_elektrosicherheitspruefung","0"
"A13-nf-dangle-0015","node","nf_hygiene_und_reinigungsnachweis","","","Nachweisforderung","Requirement HygieneUndReinigungsnachweis demanded by 7 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=7 fulfillments=0","ADD_PRUEFUNGNACHWEIS","R02","R02: 7 demands; rw_vdi_6023_6022 drinking-water hygiene. No matching procedure.; agent13: dangling requirement","DEFERRED_NEW_PN","VALID_REQUIREMENT","yes","7","0","1","","","pn_trinkwasser_hygiene_nachweis","0"
"A13-nf-dangle-0016","node","nf_schwermetall_oder_bleifarbe_check","","","Nachweisforderung","Requirement SchwermetallOderBleifarbeCheck demanded by 6 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=6 fulfillments=0","ADD_ERFUELLT_NACHWEIS","R02","R02: 1 high-confidence PN→NF edge(s) drafted; 0 medium candidates documented.; agent13: dangling requirement","PATCH_DRAFTED","COVERAGE_GAP","yes","6","0","1","pn_schwermetalle (belegt)","","","1"
"A13-nf-dangle-0017","node","nf_formaldehyd_oder_emissionsnachweis","","","Nachweisforderung","Requirement FormaldehydOderEmissionsnachweis demanded by 5 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","belegt","demands=5 fulfillments=0","ADD_ERFUELLT_NACHWEIS","R02","R02: 1 high-confidence PN→NF edge(s) drafted; 0 medium candidates documented.; agent13: dangling requirement","PATCH_DRAFTED","COVERAGE_GAP","yes","5","0","2","pn_schadstoffanalyse_kleber (belegt)","","","1"
"A13-nf-dangle-0018","node","nf_mineralische_ersatzbaustoff_guete","","","Nachweisforderung","Requirement MineralischeErsatzbaustoffGuete demanded by 4 edges, 0 fulfillments","logic","satisfiability query","false","","CONTRADICTION","teilweise_belegt","demands=4 fulfillments=0","ESCALATE_HUMAN","R02","R02: Only medium-confidence PN candidates (pr_eignungspruefung_baulehm); human review before patch.; agent13: dangling requirement","DEFERRED_MEDIUM","COVERAGE_GAP","yes","4","0","1","","pr_eignungspruefung_baulehm (teilweise_belegt)","","0"
