anchor_id,rel_type,target_id,target_label,evidence_url,evidence_quote,line_ref,evidence_basis,final_decision,source_note,pass8_action,evidence_tier,finalest_decision,promoted_to_strict_in_finalest
articonnex,HAT_BAUTEILTYP,bt_ausbau,Ausbau,https://articonnex.com/,Product scope includes “quincaillerie”.,search extract,DIRECT_FIRST_PARTY_SEARCH,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Hardware/fittings fit the Ausbau category.,,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,HAT_BAUTEILTYP,bt_boden,Boden,https://articonnex.com/collections/sols/reemploi,"Revêtements de sol: sol PVC, vinyle, parquets, carrelages, moquettes.",search extract,DIRECT_FIRST_PARTY_SEARCH,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Direct floor-covering category.,,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,HAT_BAUTEILTYP,bt_daemmung,daemmung,https://articonnex.com/collections/all?page=30,"Collection page exposes type filters including Contreplaqué, Panneau, Panneau décoratif feutre, Panneau isolant, Tôle and Tasseau; provenance filters include Réemploi and Surplus de chantier.",L856-L888,direct_category_filter,REVIEW_ONLY_MAPPED_FROM_NON_PRODUCT_OR_WEAK_SOURCE,"Pass4-6 mapped from component text. Raw material=""MDF, contreplaqué, feutre, isolant, tôle, bois categories (as category labels, not product composition)""; raw component=""Panneau / Contreplaqué / Panneau décoratif feutre / Panneau isolant / Tôle / Tasseau categories""; status=DIRECT_CATEGORY; source_kind=webshop_listing_page",,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,HAT_BAUTEILTYP,bt_fassade,Fassade,https://articonnex.com/,Produits phares include “bardage”.,search extract,DIRECT_FIRST_PARTY_SEARCH,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Bardage/cladding supports facade/skin component.,,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,NUTZT_MATERIAL,mat_daemmstoff,Dämmstoff,https://articonnex.com/,Produits phares include “isolant”.,search extract,DIRECT_FIRST_PARTY_SEARCH,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,French “isolant” supports insulation material.,,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,NUTZT_MATERIAL,mat_daemmstoff,daemmstoff,https://articonnex.com/collections/all?page=30,"Collection page exposes type filters including Contreplaqué, Panneau, Panneau décoratif feutre, Panneau isolant, Tôle and Tasseau; provenance filters include Réemploi and Surplus de chantier.",L856-L888,direct_category_filter,REVIEW_ONLY_MAPPED_FROM_NON_PRODUCT_OR_WEAK_SOURCE,"Pass4-6 mapped from material text. Raw material=""MDF, contreplaqué, feutre, isolant, tôle, bois categories (as category labels, not product composition)""; raw component=""Panneau / Contreplaqué / Panneau décoratif feutre / Panneau isolant / Tôle / Tasseau categories""; status=DIRECT_CATEGORY; source_kind=webshop_listing_page",,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,NUTZT_MATERIAL,mat_holz,Holz,https://articonnex.com/,"Contreplaqué, OSB, Bois; products include parquets, terrasse, tasseaux.",search extract,DIRECT_FIRST_PARTY_SEARCH,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,Direct first-party wording names wood/wood products.,,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,NUTZT_MATERIAL,mat_holz,holz,https://articonnex.com/collections/all?page=30,"Collection page exposes type filters including Contreplaqué, Panneau, Panneau décoratif feutre, Panneau isolant, Tôle and Tasseau; provenance filters include Réemploi and Surplus de chantier.",L856-L888,direct_category_filter,REVIEW_ONLY_MAPPED_FROM_NON_PRODUCT_OR_WEAK_SOURCE,"Pass4-6 mapped from material text. Raw material=""MDF, contreplaqué, feutre, isolant, tôle, bois categories (as category labels, not product composition)""; raw component=""Panneau / Contreplaqué / Panneau décoratif feutre / Panneau isolant / Tôle / Tasseau categories""; status=DIRECT_CATEGORY; source_kind=webshop_listing_page",,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,NUTZT_MATERIAL,mat_holz,holz,https://articonnex.com/collections/all?page=30,Listing title: “Panneau décoratif en feutre et bois massif épicéa…”,L969-L972,direct_public_listing,REVIEW_ONLY_MAPPED_FROM_NON_PRODUCT_OR_WEAK_SOURCE,"Pass4-6 mapped from material text. Raw material=""feutre + bois massif épicéa""; raw component=""panneau décoratif / decorative panel""; status=DIRECT_EXPLICIT; source_kind=webshop_listing_page",,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
articonnex,NUTZT_MATERIAL,mat_kunststoff,Kunststoff,https://articonnex.com/collections/sols/reemploi,"Collection de revêtements de sol: sol PVC, vinyle; dalles et lames PVC.",search extract,DIRECT_FIRST_PARTY_SEARCH,REVIEW_ONLY_SOURCE_EXTRACT_OR_CATEGORY_SCOPE,PVC/vinyl is explicit plastic material.,,REVIEW_ONLY,DO_NOT_IMPORT_REVIEW_ONLY,False
