"source","case_id","legacy_path","value","relationship","confidence_source","note","raw_label","reason"
"bauobjekt/Altes_Hobelwerk_Winterthur","","gebaeude\Altes_Hobelwerk_Winterthur.md","","","","","Altes Hobelwerk, Winterthur | Altes Hobelwerk, Winterthur | Bestandserhalt; minimale Instandsetzung; adaptive reuse; Quartiersinfrastruktur; industrielle Patina; Pioniernutzung; reversible Einbauten. | Das Alte Hobelwerk ist die erhaltene ehemalige Hobelfabrik bzw. Industriehalle auf dem Hobelwerk-Areal in Oberwinterthur. Die Halle wurde von baubüro in situ für die Baugenossenschaft mehr als wohnen instand gesetzt und als offener Gemeinschafts- und Quartiersraum nutzbar gemacht. Der Umbau ist kein vollständiger Ausbau zu einem normierten Innenraum, sondern eine bewusst zurückhaltende, reversible und ressourcenschonende Aktivierung des Bestands.

Gebäudebezogen ist das Alte Hobelwerk ein wichtiges Gegenmodell zu maximaler Sanierung: Die Halle bleibt weitgehend in ihrer räumlichen und materiellen Eigenart erhalten, wird zunächst unbeheizt genutzt und erhält nur die minimale Infrastruktur, die für eine Pioniernutzung als Quartierstreff erforderlich ist.","no_has_nutzung_target"
"bauobjekt/Altes_Hobelwerk_Winterthur","","gebaeude\Altes_Hobelwerk_Winterthur.md","","","","","Altes Hobelwerk, Winterthur | Altes Hobelwerk, Winterthur | Bestandserhalt; minimale Instandsetzung; adaptive reuse; Quartiersinfrastruktur; industrielle Patina; Pioniernutzung; reversible Einbauten. | Das Alte Hobelwerk ist die erhaltene ehemalige Hobelfabrik bzw. Industriehalle auf dem Hobelwerk-Areal in Oberwinterthur. Die Halle wurde von baubüro in situ für die Baugenossenschaft mehr als wohnen instand gesetzt und als offener Gemeinschafts- und Quartiersraum nutzbar gemacht. Der Umbau ist kein vollständiger Ausbau zu einem normierten Innenraum, sondern eine bewusst zurückhaltende, reversible und ressourcenschonende Aktivierung des Bestands.

Gebäudebezogen ist das Alte Hobelwerk ein wichtiges Gegenmodell zu maximaler Sanierung: Die Halle bleibt weitgehend in ihrer räumlichen und materiellen Eigenart erhalten, wird zunächst unbeheizt genutzt und erhält nur die minimale Infrastruktur, die für eine Pioniernutzung als Quartierstreff erforderlich ist.","no_has_bauobjektstatus_target"
"bauobjekt/Areal_Walkeweg_Nord","","gebaeude\Areal_Walkeweg_Nord.md","","","","","Areal Walkeweg Nord | Entwerfen mit Bestand; Bauteilwiederverwendung im Neubau; sozialer Wohnungsbau; kommunale Arealentwicklung; ressourcenschonender Betonbau; Re-Use-Wettbewerbe. | Das Areal Walkeweg Nord in Basel ist ein kommunales Entwicklungsgebiet für preisgünstigen Wohnraum und soziale Infrastruktur. Für die Baufelder C und D wurde ein Neubauprojekt mit expliziter Bauteilwiederverwendung ausgelobt; das Siegerprojekt `Elementa` von PARABASE sieht die konstruktive und gestalterische Integration wiedergewonnener Betonfertigteile aus dem Rückbau kantonaler bzw. regionaler Bestandsbauten vor, besonders aus dem Lysbüchel-Parkhaus. Die Datei behandelt Walkeweg Nord als gebäudebezogene Fallstudie: nicht als allgemeine Quartiersseite, sondern als Beispiel dafür, wie ein Neubau als Aufnahmegebäude für großformatige Re-Use-Bauteile geplant wird.","no_has_bauobjektstatus_target"
"bauobjekt/Association_house_Groeditz","","Gebäude\Association_house_Groeditz.md","","","","","Association house, Gröditz — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Sport-/Vereinshaus","no_has_nutzung_target"
"bauobjekt/Association_house_Plauen","","Gebäude\Association_house_Plauen.md","","","","","Association house, Plauen — Fallstudie Direct Reuse / Wiederverwendung von Betonfertigteilen | Sport-/Vereinshaus","no_has_nutzung_target"
"bauobjekt/BOELL_LAB_Berlin","","gebaeude\BOELL_LAB_Berlin.md","","","","","BOELL.LAB, Berlin | BOELL.LAB, Berlin | zirkulärer Neubau im denkmalgeschützten Stadtensemble; öffentlicher Bildungs- und Veranstaltungsbau; Bauen in planetaren Grenzen; Design for Disassembly; Low-Tech; modulare Holzkonstruktion; Weiterbauen im Bestand; öffentliche Bauherrschaft / Zuwendung; Reallabor Bauwende. | BOELL.LAB ist ein von LXSY Architektur und asp Architekten entwickeltes Konzept für einen multifunktionalen, zweigeschossigen Neubau an der Berliner Karl-Marx-Allee. Auftraggeberin und vorgesehene Nutzerin ist die Heinrich-Böll-Stiftung. Das Gebäude sollte unmittelbar neben dem Kino International und gegenüber dem Café Moskau als neuer Pavillon bzw. Sonderbau in das denkmalgeschützte Ensemble der Karl-Marx-Allee eingefügt werden.

Gebäudebezogen ist BOELL.LAB ein Referenzfall für die Frage, wie ein Neubau in einem starken Bestand nicht nur gestalterisch, sondern auch ressourcenlogisch antworten kann. Der Entwurf verbindet öffentliche politische Bildungsarbeit, Veranstaltungsräume, Ausstellungen, Böll-Lab, Gastronomie, Schulung und offene Arbeitswelten mit einer modularen, rückbaubaren, ressourcenschonenden Konstruktion. **Statushinweis:** Die LXSY-Projektseite führt das Projekt weiterhin als „In Planung“ mit Jahr 2023. Ein späterer LinkedIn-Beitrag von LXSY meldet jedoch, dass der geplante Erweiterungsbau in der Karl-Marx-Allee nach Prüfung eingestellt wurde. Der Realisierungsstatus ist daher als eingestellt bzw. mindestens widersprüchlich dokumentiert zu behandeln und vor weiterer Verwendung projektseitig zu verifizieren. | Die LXSY-Projektseite führt das Projekt weiterhin als „In Planung“ mit Jahr 2023. Ein späterer LinkedIn-Beitrag von LXSY meldet jedoch, dass der geplante Erweiterungsbau in der Karl-Marx-Allee nach Prüfung eingestellt wurde. Der Realisierungsstatus ist daher","no_has_bauobjektstatus_target"
"bauobjekt/BOELL_LAB_Berlin","","gebaeude\BOELL_LAB_Berlin.md","","","","","BOELL.LAB, Berlin | zirkulärer Neubau im denkmalgeschützten Stadtensemble; öffentlicher Bildungs- und Veranstaltungsbau; Bauen in planetaren Grenzen; Design for Disassembly; Low-Tech; modulare Holzkonstruktion; Weiterbauen im Bestand; öffentliche Bauherrschaft / Zuwendung; Reallabor Bauwende. | BOELL.LAB, Berlin | zirkulärer Neubau im denkmalgeschützten Stadtensemble; öffentlicher Bildungs- und Veranstaltungsbau; Bauen in planetaren Grenzen; Design for Disassembly; Low-Tech; modulare Holzkonstruktion; Weiterbauen im Bestand; öffentliche Bauherrschaft / Zuwendung; Reallabor Bauwende. | BOELL.LAB ist ein von LXSY Architektur und asp Architekten entwickeltes Konzept für einen multifunktionalen, zweigeschossigen Neubau an der Berliner Karl-Marx-Allee. Auftraggeberin und vorgesehene Nutzerin ist die Heinrich-Böll-Stiftung. Das Gebäude sollte unmittelbar neben dem Kino International und gegenüber dem Café Moskau als neuer Pavillon bzw. Sonderbau in das denkmalgeschützte Ensemble der Karl-Marx-Allee eingefügt werden.

Gebäudebezogen ist BOELL.LAB ein Referenzfall für die Frage, wie ein Neubau in einem starken Bestand nicht nur gestalterisch, sondern auch ressourcenlogisch antworten kann. Der Entwurf verbindet öffentliche politische Bildungsarbeit, Veranstaltungsräume, Ausstellungen, Böll-Lab, Gastronomie, Schulung und offene Arbeitswelten mit einer modularen, rückbaubaren, ressourcenschonenden Konstruktion. **Statushinweis:** Die LXSY-Projektseite führt das Projekt weiterhin als „In Planung“ mit Jahr 2023. Ein späterer LinkedIn-Beitrag von LXSY meldet jedoch, dass der geplante Erweiterungsbau in der Karl-Marx-Allee nach Prüfung eingestellt wurde. Der Realisierungsstatus ist daher als eingestellt bzw. mindestens widersprüchlich dokumentiert zu behandeln und vor weiterer Verwendung projektseitig zu verifizieren. | Die LXSY-Projektseite führt das Projekt weiterhin als „In Planung“ mit Jahr 2023. Ein späterer LinkedIn-Beitrag von LXSY meldet jedoch, dass der geplante Erweiterungsbau in der Karl-Marx-Allee nach Prüfung eingestellt wurde. Der Realisierungsstatus ist daher | BOELL.LAB, Berlin | zirkulärer Neubau im denkmalgeschützten Stadtensemble; öffentlicher Bildungs- und Veranstaltungsbau; Bauen in planetaren Grenzen; Design for Disassembly; Low-Tech; modulare Holzkonstruktion; Weiterbauen im Bestand; öffentliche Bauherrschaft / Zuwendung; Reallabor Bauwende. | BOELL.LAB ist ein von LXSY Architektur und asp Architekten entwickeltes Konzept für einen multifunktionalen, zweigeschossigen Neubau an der Berliner Karl-Marx-Allee. Auftraggeberin und vorgesehene Nutzerin ist die Heinrich-Böll-Stiftung. Das Gebäude sollte unmittelbar neben dem Kino International und gegenüber dem Café Moskau als neuer Pavillon bzw. Sonderbau in das denkmalgeschützte Ensemble der Karl-Marx-Allee eingefügt werden.

Gebäudebezogen ist BOELL.LAB ein Referenzfall für die Frage, wie ein Neubau in einem starken Bestand nicht nur gestalterisch, sondern auch ressourcenlogisch antworten kann. Der Entwurf verbindet öffentliche politische Bildungsarbeit, Veranstaltungsräume, Ausstellungen, Böll-Lab, Gastronomie, Schulung und offene Arbeitswelten mit einer modularen, rückbaubaren, ressourcenschonenden Konstruktion. **Statushinweis:** Die LXSY-Projektseite führt das Projekt weiterhin als „In Planung“ mit Jahr 2023. Ein späterer LinkedIn-Beitrag von LXSY meldet jedoch, dass der geplante Erweiterungsbau in der Karl-Marx-Allee nach Prüfung eingestellt wurde. Der Realisierungsstatus ist daher als eingestellt bzw. mindestens widersprüchlich dokumentiert zu behandeln und vor weiterer Verwendung projektseitig zu verifizieren. | Die LXSY-Projektseite führt das Projekt weiterhin als „In Planung“ mit Jahr 2023. Ein späterer LinkedIn-Beitrag von LXSY meldet jedoch, dass der geplante Erweiterungsbau in der Karl-Marx-Allee nach Prüfung eingestellt wurde. Der Realisierungsstatus ist daher","no_has_bauobjektrolle_target"
"bauobjekt/Berlin_Schildow_Pilot_House","","Gebäude\Berlin_Schildow_Pilot_House.md","","","","","Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Wiederverwendung von WBS70-Plattenbauteilen aus Berliner/Marzahner Plattenbau | Berlin-Schildow Pilot House — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Berlin_Schildow_Pilot_House | Einfamilienhaus / Pilotwohnhaus","no_has_bauaufgabe_intervention_target"
"bauobjekt/Berlin_Schildow_Pilot_House_2","","Gebäude\Berlin_Schildow_Pilot_House_2.md","","","","","Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Pilot zur Wiederverwendung von WBS70-Plattenbauteilen | Berlin-Schildow Pilot House 2 — Fallstudie Direct Reuse / Wiederverwendung von WBS70-Plattenbauteilen | Berlin_Schildow_Pilot_House_2 | Einfamilienhaus / Zwei-Generationenhaus; genaue Zuordnung zu einem oder zwei Gebäuden unbekannt","no_has_bauaufgabe_intervention_target"
"bauobjekt/Bestandshalle_CRCLR_House","","gebaeude\Bestandshalle_CRCLR_House.md","","","","","Bestandshalle CRCLR House | Umbau statt Abriss; zirkuläres Bauen; Reallabor im Bestand; Mischnutzung; Holzaufstockung; reversible Innenausbauten; Materialpässe. | Die Bestandshalle des CRCLR House ist eine ehemalige Fasslade- bzw. Lagerhalle auf dem Gelände der früheren Berliner Kindl-Brauerei in Neukölln. Sie wurde als Teil eines zirkulären Bauprojekts ertüchtigt, umgenutzt und durch eine Holzaufstockung ergänzt. Die Halle bildet den räumlichen Sockel für Coworking, Werkstätten, Veranstaltungen, Café- und Community-Nutzungen; darüber bzw. daran anschließend wurden Wohn- und Gemeinschaftsnutzungen entwickelt. Als gebäudebezogener Wissensspeicher steht hier die vorhandene Halle im Mittelpunkt: ihre Struktur, ihre Umnutzungsfähigkeit, ihre Aufnahme von Re-Use-Ausbauelementen und ihre Rolle als Demonstrator für zirkuläres Bauen.","no_has_bauobjektstatus_target"
