provenance_id,claim_id,claim_kind,graph_element_id,from_id,to_id,rel_type_or_label,origin_quality_pass,patch_ref,patch_applied_utc,graph_mutation,synthetic_invented_by,synthetic_script,synthetic_function,synthetic_basis_type,synthetic_initial_verdict,synthetic_initial_proof_quote,f2_reproof,f2_ledger,f2_verdict,current_verdict,current_proof_quote_empty,attestation_class,git_file_status,notes
G07-001,P6-new-node-pn_barrierefreiheitsaudit,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:784,pn_barrierefreiheitsaudit,,PruefungNachweis,Q03,quality_pass_q03.patch.jsonl,2026-06-06T17:45:38.314282+00:00,add_node pn_barrierefreiheitsaudit,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,no,,,PROVEN,false,F2_OR_F8_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_NODE_URL; graph=primary_source_url/source_urls; [F08] Synthesized by P6-06 for Q03 graph additions; F08 
G07-002,P6-new-node-pn_elektrosicherheitspruefung,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:785,pn_elektrosicherheitspruefung,,PruefungNachweis,Q03,quality_pass_q03.patch.jsonl,2026-06-06T17:45:38.314282+00:00,add_node pn_elektrosicherheitspruefung,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,no,,,PROVEN,false,F2_OR_F8_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_NODE_URL; graph=primary_source_url/source_urls; [F08] Synthesized by P6-06 for Q03 graph additions; F08 
G07-003,P6-new-node-pn_epd_oder_lca_nachweis,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:781,pn_epd_oder_lca_nachweis,,PruefungNachweis,Q03,quality_pass_q03.patch.jsonl,2026-06-06T17:45:38.314282+00:00,add_node pn_epd_oder_lca_nachweis,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,no,,,PROVEN,false,F2_OR_F8_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_NODE_URL; graph=primary_source_url/source_urls; [F08] Synthesized by P6-06 for Q03 graph additions; F08 
G07-004,P6-new-node-pn_materialpass_oder_dpp,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:783,pn_materialpass_oder_dpp,,PruefungNachweis,Q03,quality_pass_q03.patch.jsonl,2026-06-06T17:45:38.314282+00:00,add_node pn_materialpass_oder_dpp,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,no,,,PROVEN,false,F2_OR_F8_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_NODE_URL; graph=primary_source_url/source_urls; [F08] Synthesized by P6-06 for Q03 graph additions; F08 
G07-005,P6-new-node-pn_trinkwasser_hygiene_nachweis,node,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:786,pn_trinkwasser_hygiene_nachweis,,PruefungNachweis,Q03,quality_pass_q03.patch.jsonl,2026-06-06T17:45:38.314282+00:00,add_node pn_trinkwasser_hygiene_nachweis,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,no,,,PROVEN,false,F2_OR_F8_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_NODE_URL; graph=primary_source_url/source_urls; [F08] Synthesized by P6-06 for Q03 graph additions; F08 
G07-006,P6-new-rel-030978388566,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157590030978388566,pr_eignungspruefung_baulehm,nf_mineralische_ersatzbaustoff_guete,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:17,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pr_eignungspruefung_baulehm→nf_mineralische_ersatzbaustoff_guete,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-007,P6-new-rel-032141447601,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155336032141447601,bt_decke,nf_materialpruefung,ERFORDERT_NACHWEIS,Q01,quality_pass_q01.patch.jsonl:6,2026-06-06T17:45:53.317682+00:00,merge_node bt_hohlkoerperdecke→bt_decke rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f02.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-008,P6-new-rel-057723113482,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153027057723113482,bw_cleveland_steel_and_tubes_stock,land_vereinigtes_koenigreich,LIEGT_IN_LAND,Q02,quality_pass_q02_deprecate.patch.jsonl:1,2026-06-06T17:46:22.763145+00:00,merge redirect inherited LIEGT_IN_LAND,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,yes,final_cleanup_f02.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
G07-009,P6-new-rel-131653075377,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155337131653075377,bt_decke,rf_tragwerkssicherheit_frage,TRIGGERS_REGULIERUNGSFRAGE,Q01,quality_pass_q01.patch.jsonl:6,2026-06-06T17:45:53.317682+00:00,merge_node bt_hohlkoerperdecke→bt_decke rel redirect,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,web,PROVEN,empty,yes,final_cleanup_f02.csv,PROVEN,PROVEN,false,F2_WEB_REPROOF,untracked,Synthesized by P6-06 for Q03 graph additions; F08 FIXED_REL_QUOTE; graph=evidence_quote/source_quote; [F08] Synthesized by P6-06 for Q03 graph additions; F08 FI
G07-010,P6-new-rel-231164698737,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155338231164698737,pr_dokumentenpruefung_bestand,nf_schadstoffkataster_erkundung,ERFUELLT_NACHWEIS,Q03,quality_pass_q03.patch.jsonl:12,2026-06-06T17:45:38.314282+00:00,add_rel ERFUELLT_NACHWEIS pr_dokumentenpruefung_bestand→nf_schadstoffkataster_erkundung,P6-06,_post_quality_p6_06_aggregate.py,synthesize_row() L259-326,logic,PROVEN,empty,no,,,PROVEN,true,RESIDUAL_EMPTY_QUOTE,untracked,Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED; [F08] Synthesized by P6-06 for Q03 graph additions; F08 UNFIXED
