"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/55_Great_Suffolk_Street_London__002__Stahl_aus_1_Broadgate","has_logistik","logistik/Materialverfuegbarkeit","timing donor/receiver, Profilverfügbarkeit","rule_high","label_50k_has_logistik_component_label",""
"reuse_einsatz/55_Great_Suffolk_Street_London__003__Reclaimed_stock_von_Cleveland","has_logistik","logistik/Lagerung","Lagerung, Restaurierung, Rezertifizierung","rule_high","label_50k_has_logistik_component_label",""
"reuse_einsatz/AWM_Muenster_Circular_Office__001__Glastrennw_nde_und_T_ren","has_logistik","logistik/Transport","Passung, Transport, Glaszustand","rule_high","label_50k_has_logistik_component_label",""
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","has_logistik","logistik/Lokale_Wiederverwendung","Lokale Abbruchstandorte im 35-mile-Radius; teilweise Brighton Railway Station","rule_high","label_50k_has_logistik_component_label",""
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","has_logistik","logistik/Transportdistanz","Lokale Abbruchstandorte im 35-mile-Radius; teilweise Brighton Railway Station","rule_high","label_50k_has_logistik_component_label",""
"reuse_einsatz/BedZED_London_Hackbridge__001__Stahlrahmen_Stahlprofile","has_logistik","logistik/Materialverfuegbarkeit","Profilverfügbarkeit; gebogene Profile nicht verfügbar/akzeptiert","rule_high","label_50k_has_logistik_component_label",""
"reuse_einsatz/BedZED_London_Hackbridge__003__Holzst_nder_Wandst_nder","has_logistik","logistik/Lokale_Wiederverwendung","lokale Rückbau-/Reclaim-Quellen","rule_high","label_50k_has_logistik_component_label",""
"reuse_einsatz/Berlin_Schildow_Pilot_House_2__002__Deckenplatten_als_Ursprungsbauteile","has_logistik","logistik/Lagerung","Geometrie, Lagerung","rule_high","label_50k_has_logistik_component_label",""
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","has_logistik","logistik/Transport","Demontage, Transport, Wiedereinbau; Details unbekannt","rule_medium","label_50k_has_logistik_component_label",""
"reuse_einsatz/Big_Dig_House_Lexington_Massachusetts__001__Stahltr_ger","has_logistik","logistik/Transport","Transport, Gewicht, Einpassung","rule_high","label_50k_has_logistik_component_label",""
