evidence_id,url,name,quote,confidence,basis,graph_status
q_research_netherlands_reuse_bubble_combined_md,,netherlands_reuse_bubble_combined.md,Netherlands reuse bubble dossier intake,belegt,research_markdown,applied
q_url_new_nl_superuse_harvest,https://www.superuse-studios.com/publication/harvest-collect-re-use/,Superuse Harvest,harvesting searching finding dismantling reusable materials,belegt,first_party_harvest_method,applied
q_url_new_nl_superuse_oogst,https://www.superuse-studios.com/publication/oogstkaart-nl-adopted-by-new-horizon/,Superuse Oogstkaart,founded Oogstkaart 2012 sold to New Horizon 2020,belegt,first_party_oogstkaart_origin,applied
q_url_new_nl_newhorizon_home,https://newhorizon.nl/,New Horizon homepage,connects data knowledge chain partners for reuse,belegt,first_party_homepage,applied
q_url_new_nl_newhorizon_harvest,https://newhorizon.nl/urban-mining/circulair-oogsten/,New Horizon urban mining,dismantles buildings to harvest materials for reuse,belegt,first_party_urban_mining,applied
q_url_new_nl_newhorizon_donor,https://newhorizon.nl/urban-mining/donorgebouwen/,New Horizon donor buildings,seeks donor buildings at scale,belegt,first_party_donor_buildings,applied
q_url_new_nl_newhorizon_collective,https://www.newhorizon.nl/urban-mining-collective/,Oogst Collectief,network connecting material demand and supply,belegt,first_party_oogst_collectief,applied
q_url_new_nl_circo_newhorizon,https://www.circonl.nl/case/urban-mining-new-horizon/,CIRCO New Horizon,Urban Mining Collective retains material value,belegt,circo_case_study,applied
q_url_new_nl_madaster_passport,https://madaster.com/material-passport/,Madaster material passport,digital record of composition and reuse potential,belegt,first_party_material_passport,applied
q_url_new_nl_madaster_position,https://madaster.de/en/inspiration/position-paper/,Madaster position paper,started 2017 in the Netherlands,belegt,first_party_position_paper,applied
q_url_new_nl_madaster_eu,https://circulareconomy.europa.eu/platform/en/dialogue/existing-eu-platforms/madaster,Madaster EU platform,online registry for circularity in construction,belegt,eu_stakeholder_platform,applied
q_url_new_nl_insert_marketplace,https://www.insert.nl/producten/insert-marktplaats/,Insert Marktplaats,largest circular platform NL construction civil green,belegt,first_party_marketplace,applied
q_url_new_nl_insert_services,https://www.insert.nl/,Insert services,material inventory services for used construction materials,belegt,first_party_inventory_services,applied
q_url_new_nl_madopt,https://www.madopt.nl/,Madopt marketplace,demand-driven reuse developed by Repurpose BV,belegt,first_party_madopt_platform,applied
q_url_new_nl_repurpose,https://repurpose.nl/,Repurpose BV,building with reuse masterclasses building scans Madopt,belegt,first_party_homepage,applied
q_url_new_nl_madaster_abn_circl,https://www.abnamro.com/en/news/madaster-materials-passport-opens-the-way-for-waste-free-building-culture%2520%2520,ABN AMRO Madaster Circl,material passports inspired Circl pavilion,belegt,circl_pavilion_passport_case,applied
q_url_new_nl_platformcb23,https://platformcb23.nl/english/,Platform CB23,industry-wide circular construction agreements,belegt,first_party_standards,phase0_only
q_url_new_nl_gov_2050,https://www.government.nl/topics/sustainable-economy/circular-economy-by-2050,NL circular 2050,fully circular economy by 2050,belegt,government_policy,phase0_only
q_url_new_nl_amsterdam_circular,https://www.amsterdam.nl/en/policy/circular-economy/,Amsterdam circular,built environment reuse in projects and public space,belegt,municipal_policy,phase0_only
