claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,coverage_level,graph_element_id
EP06-rel-0001,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6935629188057531069,bg_aluminium_profile_multi_facade_h_profiles,av_remanufacturing_und_upcycling,HAT_AUFBEREITUNG,bg_aluminium_profile_multi_facade_h_profiles (Bauteilgruppe) requires preparation av_remanufacturing_und_upcycling (Remanufacturing_und_Upcycling),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_aluminium_profile_multi_facade_h_profiles -[HAT_AUFBEREITUNG]-> av_remanufacturing_und_upcycling; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Remanufacturing_und_Upcycling),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6935629188057531069
EP06-rel-0002,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153007266513814397,bg_aluminium_technik_meduni_cable_ducts_grids_candidate,av_pruefung_sortierung_qs,HAT_AUFBEREITUNG,bg_aluminium_technik_meduni_cable_ducts_grids_candidate (Bauteilgruppe) requires preparation av_pruefung_sortierung_qs (Pruefung_Sortierung_QS),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_aluminium_technik_meduni_cable_ducts_grids_candidate -[HAT_AUFBEREITUNG]-> av_pruefung_sortierung_qs; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Pruefung_Sortierung_QS),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153007266513814397
EP06-rel-0003,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153007266513814392,bg_ausbau_wand_meduni_toilet_partitions_candidate,av_pruefung_sortierung_qs,HAT_AUFBEREITUNG,bg_ausbau_wand_meduni_toilet_partitions_candidate (Bauteilgruppe) requires preparation av_pruefung_sortierung_qs (Pruefung_Sortierung_QS),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_ausbau_wand_meduni_toilet_partitions_candidate -[HAT_AUFBEREITUNG]-> av_pruefung_sortierung_qs; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Pruefung_Sortierung_QS),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153007266513814392
EP06-rel-0004,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7054974578182849192,bg_beton_boden_lycee_paving_slabs,av_pruefung_sortierung_qs,HAT_AUFBEREITUNG,bg_beton_boden_lycee_paving_slabs (Bauteilgruppe) requires preparation av_pruefung_sortierung_qs (Pruefung_Sortierung_QS),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_boden_lycee_paving_slabs -[HAT_AUFBEREITUNG]-> av_pruefung_sortierung_qs; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Pruefung_Sortierung_QS),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7054974578182849192
EP06-rel-0005,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6922118389175419542,bg_beton_innenwand_bluecity_original_concrete_blocks,av_zuschnitt_und_vereinzelung,HAT_AUFBEREITUNG,bg_beton_innenwand_bluecity_original_concrete_blocks (Bauteilgruppe) requires preparation av_zuschnitt_und_vereinzelung (Zuschnitt_und_Vereinzelung),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_innenwand_bluecity_original_concrete_blocks -[HAT_AUFBEREITUNG]-> av_zuschnitt_und_vereinzelung; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Zuschnitt_und_Vereinzelung),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6922118389175419542
EP06-rel-0006,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7007686782095458984,bg_beton_mehrere_bestandverplanzung_betonfertigteil_paneele,av_pruefung_sortierung_qs,HAT_AUFBEREITUNG,bg_beton_mehrere_bestandverplanzung_betonfertigteil_paneele (Bauteilgruppe) requires preparation av_pruefung_sortierung_qs (Pruefung_Sortierung_QS),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_bestandverplanzung_betonfertigteil_paneele -[HAT_AUFBEREITUNG]-> av_pruefung_sortierung_qs; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Pruefung_Sortierung_QS),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7007686782095458984
EP06-rel-0007,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6964902585635439272,bg_beton_mehrere_brighton_betonbloecke,av_pruefung_sortierung_qs,HAT_AUFBEREITUNG,bg_beton_mehrere_brighton_betonbloecke (Bauteilgruppe) requires preparation av_pruefung_sortierung_qs (Pruefung_Sortierung_QS),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_brighton_betonbloecke -[HAT_AUFBEREITUNG]-> av_pruefung_sortierung_qs; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Pruefung_Sortierung_QS),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6964902585635439272
EP06-rel-0008,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6989672383585977021,bg_beton_mehrere_christ_pavilion_fair_faced_parts,av_remanufacturing_und_upcycling,HAT_AUFBEREITUNG,bg_beton_mehrere_christ_pavilion_fair_faced_parts (Bauteilgruppe) requires preparation av_remanufacturing_und_upcycling (Remanufacturing_und_Upcycling),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_christ_pavilion_fair_faced_parts -[HAT_AUFBEREITUNG]-> av_remanufacturing_und_upcycling; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Remanufacturing_und_Upcycling),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6989672383585977021
EP06-rel-0009,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7030204780232311464,bg_beton_mehrere_juch_kerenzerberg_betonplatten,av_pruefung_sortierung_qs,HAT_AUFBEREITUNG,bg_beton_mehrere_juch_kerenzerberg_betonplatten (Bauteilgruppe) requires preparation av_pruefung_sortierung_qs (Pruefung_Sortierung_QS),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_juch_kerenzerberg_betonplatten -[HAT_AUFBEREITUNG]-> av_pruefung_sortierung_qs; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Pruefung_Sortierung_QS),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7030204780232311464
EP06-rel-0010,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7000931382654403261,bg_beton_mehrere_lycee_precast_channels,av_remanufacturing_und_upcycling,HAT_AUFBEREITUNG,bg_beton_mehrere_lycee_precast_channels (Bauteilgruppe) requires preparation av_remanufacturing_und_upcycling (Remanufacturing_und_Upcycling),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_lycee_precast_channels -[HAT_AUFBEREITUNG]-> av_remanufacturing_und_upcycling; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Remanufacturing_und_Upcycling),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:7000931382654403261
EP06-rel-0011,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6969406185262809750,bg_beton_mehrere_plattenvereinigung_betonfertigteile,av_zuschnitt_und_vereinzelung,HAT_AUFBEREITUNG,bg_beton_mehrere_plattenvereinigung_betonfertigteile (Bauteilgruppe) requires preparation av_zuschnitt_und_vereinzelung (Zuschnitt_und_Vereinzelung),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_plattenvereinigung_betonfertigteile -[HAT_AUFBEREITUNG]-> av_zuschnitt_und_vereinzelung; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Zuschnitt_und_Vereinzelung),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6969406185262809750
EP06-rel-0012,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6976161584703865494,bg_beton_mehrere_plattenvereinigung_wand_fassadenelemente,av_zuschnitt_und_vereinzelung,HAT_AUFBEREITUNG,bg_beton_mehrere_plattenvereinigung_wand_fassadenelemente (Bauteilgruppe) requires preparation av_zuschnitt_und_vereinzelung (Zuschnitt_und_Vereinzelung),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_plattenvereinigung_wand_fassadenelemente -[HAT_AUFBEREITUNG]-> av_zuschnitt_und_vereinzelung; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Zuschnitt_und_Vereinzelung),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6976161584703865494
EP06-rel-0013,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6998679582840717992,bg_beton_mehrere_recrete_betonbloecke_bogensegmente,av_pruefung_sortierung_qs,HAT_AUFBEREITUNG,bg_beton_mehrere_recrete_betonbloecke_bogensegmente (Bauteilgruppe) requires preparation av_pruefung_sortierung_qs (Pruefung_Sortierung_QS),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_recrete_betonbloecke_bogensegmente -[HAT_AUFBEREITUNG]-> av_pruefung_sortierung_qs; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Pruefung_Sortierung_QS),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6998679582840717992
EP06-rel-0014,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6949139986939642518,bg_beton_mehrere_recrete_betonbloecke_bogensegmente,av_zuschnitt_und_vereinzelung,HAT_AUFBEREITUNG,bg_beton_mehrere_recrete_betonbloecke_bogensegmente (Bauteilgruppe) requires preparation av_zuschnitt_und_vereinzelung (Zuschnitt_und_Vereinzelung),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_beton_mehrere_recrete_betonbloecke_bogensegmente -[HAT_AUFBEREITUNG]-> av_zuschnitt_und_vereinzelung; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Zuschnitt_und_Vereinzelung),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6949139986939642518
EP06-rel-0015,rel,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153007266513814389,bg_boden_meduni_double_floors_candidate,av_pruefung_sortierung_qs,HAT_AUFBEREITUNG,bg_boden_meduni_double_floors_candidate (Bauteilgruppe) requires preparation av_pruefung_sortierung_qs (Pruefung_Sortierung_QS),logic,_neo4j/contracts/project_batches_v1_1 + Agent13 domain/range matrix,false,,PROVEN,belegt,live edge bg_boden_meduni_double_floors_candidate -[HAT_AUFBEREITUNG]-> av_pruefung_sortierung_qs; domain :Bauteilgruppe; range :Aufbereitungsverfahren (Pruefung_Sortierung_QS),KEEP,06,process-chain edge; target vocab wired (Agent13 Rule4: no orphan process vocab),element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153007266513814389
