"source","relation","target","raw_label","confidence","resolution_rule","legacy_path"
"reuse_einsatz/AWM_Muenster_Circular_Office__005__Wandverkleidung_aus_Stuhllehnen_sitzen","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, Zuschnitt, Wandmontage","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Bestandverplanzung_Pavilion_Muenchen__001__Fertigteil_Paneele","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, Transport, Wiedereinbau; Details unbekannt","rule_medium","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Big_Dig_Building_Boston__001__Boxbeams_Infrastrukturtr_ger","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage/Transport/Anpassung geplant","rule_medium","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__001__Tr_ger_St_tzen_Stahlrahmen","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, kurzer Transport, Bearbeitung/Beschichtung, Wiedermontage","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/BioPartner_5_Leiden_Oegstgeest__003__W_nde_Innenw_nde","has_rueckbauverfahren","rueckbauverfahren/Ausbau_von_Bauteilen","Ausbau, Anpassung, Einbau","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/BlueCity_Offices_Rotterdam__001__Fensterrahmen_Red_Cedar_Rahmen","has_rueckbauverfahren","rueckbauverfahren/Zerstoerungsarme_Bergung","Ernte, Auswahl, Montage; gebrochenes Glas ersetzt","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Boulder_Fire_Station_3__001__Wide_flange_beams_structural_steel_members","has_rueckbauverfahren","rueckbauverfahren/Selektiver_Rueckbau","selektiver Rückbau, Katalogisierung, Reinigung, Vorbereitung, Re-Fabrication","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__001__Wandplatten","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, Reinigung, ggf. Anpassung unbekannt","rule_medium","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Broethen_Twin_House_Hoyerswerda__002__Deckenplatten","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, Reinigung","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__001__Stahlpfetten_I_Tr_ger","has_rueckbauverfahren","rueckbauverfahren/Demontage","demontiert, Proben, Zugversuch, chemische Analyse, entrostet, Korrosionsschutz","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/CRCLR_House_Impact_Hub_Berlin__002__Stahlfachwerktr_ger","has_rueckbauverfahren","rueckbauverfahren/Demontage","demontiert und geprüft","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__001__gesamtes_Pavillonensemble","has_rueckbauverfahren","rueckbauverfahren/Demontage","demontiert und in Volkenroda wiederaufgebaut","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__002__Dachtragwerk_Christusraum","has_rueckbauverfahren","rueckbauverfahren/Demontage","Abbau/Wiederaufbau","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__004__Marmor_Glas_Wand_Christusraum","has_rueckbauverfahren","rueckbauverfahren/Demontage","Abbau/Wiederaufbau","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__005__Kreuzgang","has_rueckbauverfahren","rueckbauverfahren/Demontage","Abbau/Wiederaufbau","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Christ_Pavilion_Volkenroda__007__Sichtbetonteile","has_rueckbauverfahren","rueckbauverfahren/Demontage","Abbau/Wiederaufbau, soweit Teil des translozierten Ensembles","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__001__Hohlk_rperdecken_kanaalplaatvloeren","has_rueckbauverfahren","rueckbauverfahren/Demontage","demontiert, gelagert, gekürzt mit Spezial-Setup","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Centre_Netherlands_Prinsenhof_A_reuse_pilot__004__sonstige_Materialien","has_rueckbauverfahren","rueckbauverfahren/Demontage","zirkulär demontiert","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Pavilion_Paris__001__Holzt_ren","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, Anordnung als Fassade","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Circular_Pavilion_Paris__002__Mineral_Steinwolle","has_rueckbauverfahren","rueckbauverfahren/Ausbau_von_Bauteilen","Ausbau und Wiedereinbau","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/ELYS_Kultur_Gewerbehaus_Basel__002__Aluminium_Trapezblech","has_rueckbauverfahren","rueckbauverfahren/Demontage","demontiert, zugeschnitten/aufbereitet unbekannt","rule_medium","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__001__Fassadenbleche_blau","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, Zuschnitt/Anpassung unbekannt","rule_medium","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Grubenstrasse_29_Werkhof_29_Zuerich__004__Treppent_rme_Au_entreppe","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, ggf. Reinigung/Anpassung","rule_medium","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Harmalanranta_A_Kruunu_ReCreate_mini_pilot_Tampere__001__Hohlk_rperdecken","has_rueckbauverfahren","rueckbauverfahren/Ausbau_von_Bauteilen","intakter Ausbau, Prüfung, Werksaufbereitung","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/House_of_Fraser_318_Oxford_Street_TBC_London_reuse_chain__001__1930er_Stahltr_ger_vom_House_of_Fraser","has_rueckbauverfahren","rueckbauverfahren/Ausbau_von_Bauteilen","ausgebaut, gereinigt, getestet, zertifiziert, vorbereitet","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Jeugdkliniek_Ithaka_Emergis_Kloetinge__006__Azob_Shingles","has_rueckbauverfahren","rueckbauverfahren/Ausbau_von_Bauteilen","Ausbau, Wiederbefestigung","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__001__Stahlstruktur_der_Traghalle_Hagenholz","has_rueckbauverfahren","rueckbauverfahren/Demontage","Beschriften, sorgfältig demontieren, einlagern, 1:1 wieder aufbauen","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__002__Betonplatten_aus_Kerenzerbergtunnel","has_rueckbauverfahren","rueckbauverfahren/Ausbau_von_Bauteilen","Ausbau, Prüfung, Transport, Neuverlegung","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
"reuse_einsatz/Juch_Areal_Recyclingzentrum_Zuerich__004__Stahltr_ger_und_Trapezbleche_Dach","has_rueckbauverfahren","rueckbauverfahren/Demontage","Demontage, Einlagerung, Wiedereinbau","rule_high","label_50e_rueckbauverfahren_eingriff_aufbereitung",""
