claim_id,claim_kind,element_id,from_id,to_id,rel_type_or_label,asserted_claim,basis_type,basis_ref,fetched,http_status,verdict,confidence,proof_quote,proposed_action,agent_id,notes,source_agent,coverage_level,graph_element_id,match_status
AG01-r-0001,rel,r_baubuero_in_situ__beteiligt_an__p_k118_kopfbau_halle_118_winterthur,baubuero_in_situ,p_k118_kopfbau_halle_118_winterthur,BETEILIGT_AN,"baubuero in situ is the architect of project K.118 (Kopfbau Halle 118, Winterthur)",web,https://zirkular.net/en/project/building-k-118/,true,200,PROVEN,belegt,architecture: baubüro in situ,KEEP,01,first-party Zirkular project page names baubuero as architect,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:25,rel
AG01-r-0002,rel,r_baubuero_in_situ__beteiligt_an__prog_innosuisse_reuse_legal_framework_ch,baubuero_in_situ,prog_innosuisse_reuse_legal_framework_ch,BETEILIGT_AN,baubuero in situ is a pilot-project partner in the Innosuisse reuse legal-framework project,web,https://zirkular.net/en/project/innosuisse-reuse-of-building-components-a-legal-framework/,true,200,PROVEN,belegt,pilot projects by Zirkular and baubüro in situ. This project is funded by Innosuisse.,KEEP,01,both endpoints named on Zirkular project page,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6919881982524522920,rel
AG01-r-0003,rel,r_eth_zuerich__beteiligt_an__prog_swircular,eth_zuerich,prog_swircular,BETEILIGT_AN,ETH Zuerich conducts the SWIRCULAR project,web,https://swircular.ethz.ch/the-project.html,true,200,PROVEN,belegt,"SWIRCULAR Project | ETH Zurich ... As part of the 2023 Innosuisse Flagship Call, the project SWIRCULAR",KEEP,01,hosted on ethz.ch subdomain; partner roster is JS-hidden but project is ETH-owned,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153022659676608810,rel
AG01-r-0004,rel,r_zirkular__beteiligt_an__p_elys_kultur_gewerbehaus_basel,zirkular,p_elys_kultur_gewerbehaus_basel,BETEILIGT_AN,Zirkular participated in project ELYS (Basel),web,https://zirkular.net/en/project/culture-commercial-center-elys,true,200,PARTIAL,belegt,trigger for the foundation of Zirkular by the involved planners,RELABEL,01,"ELYS executed by baubuero; it TRIGGERED Zirkular's founding (firm did not yet exist). Founder-team link, not direct firm participation",01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:48,rel
AG01-r-0005,rel,r_zirkular__beteiligt_an__p_k118_kopfbau_halle_118_winterthur,zirkular,p_k118_kopfbau_halle_118_winterthur,BETEILIGT_AN,Zirkular participated in project K.118,web,https://zirkular.net/en/project/building-k-118/,true,200,PARTIAL,belegt,trigger for the foundation of Zirkular by the involved planners,RELABEL,01,same nuance as ELYS: K.118 triggered Zirkular founding; founder-team link,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:26,rel
AG01-r-0006,rel,r_zirkular__beteiligt_an__prog_innosuisse_reuse_legal_framework_ch,zirkular,prog_innosuisse_reuse_legal_framework_ch,BETEILIGT_AN,Zirkular is a pilot-project partner in the Innosuisse reuse legal-framework project,web,https://zirkular.net/en/project/innosuisse-reuse-of-building-components-a-legal-framework/,true,200,PROVEN,belegt,pilot projects by Zirkular and baubüro in situ. This project is funded by Innosuisse.,KEEP,01,Zirkular named as pilot-project provider on its own project page,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6917630182710837672,rel
AG01-r-0007,rel,r_baubuero_in_situ__verbunden_mit_akteur__cirkla,baubuero_in_situ,cirkla,VERBUNDEN_MIT_AKTEUR,baubuero in situ linked to Cirkla via co-chair Benjamin Poignon (committee_co_chair_affiliation),web,https://www.cirkla.ch/en/lassociation-cirkla/,true,200,PROVEN,belegt,Benjamin Poignon - Co-Chairman / Baubüro in situ,KEEP,01,"cited comite/benjamin-poignon URL renders thin; verbatim affiliation confirmed on Cirkla association page (same site, curated)",01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:3,rel
AG01-r-0008,rel,r_bauteilboerse_basel_overall__verbunden_mit_akteur__gruner_reuse_platform,bauteilboerse_basel_overall,gruner_reuse_platform,VERBUNDEN_MIT_AKTEUR,Bauteilboerse Basel handles storage/resale in the Gruner ReUse Roche supply chain (supply_chain_roche_resale),web,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,true,200,PROVEN,belegt,Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.,KEEP,01,Gruner ReUse news page names Bauteilboerse Basel,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153034754304542737,rel
AG01-r-0009,rel,r_bauteilboerse_basel_overall__verbunden_mit_akteur__useagain_bauteilclick,bauteilboerse_basel_overall,useagain_bauteilclick,VERBUNDEN_MIT_AKTEUR,Bauteilboerse Basel resells via useagain.ch (supply_chain_roche_resale),web,https://www.gruner.ch/de/news/bauteile-aus-rueckbauten-jetzt-imeshop-von-grunerreuse-live,true,200,PROVEN,belegt,Nach dem Ausbau übernimmt die Bauteilbörse Basel die Lagerung und den Weiterverkauf über useagain.ch.,KEEP,01,same page names both Bauteilboerse Basel and useagain.ch,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118227985,rel
AG01-r-0010,rel,r_bauteilladen_winterthur__verbunden_mit_akteur__cirkla,bauteilladen_winterthur,cirkla,VERBUNDEN_MIT_AKTEUR,Bauteilladen Winterthur listed in Cirkla reuse directory (directory),web,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/bauteilladen-winterthur,true,200,PROVEN,belegt,BauTeilLaden Winterthur - Cirkla ... ta place de marché en ligne pour des éléments de construction de seconde main,KEEP,01,Cirkla's own directory page actually shows Bauteilladen Winterthur,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155286554118198217,rel
AG01-r-0011,rel,r_bauteilladen_winterthur__verbunden_mit_akteur__useagain_bauteilclick,bauteilladen_winterthur,useagain_bauteilclick,VERBUNDEN_MIT_AKTEUR,useagain promotes exchange incl. Bauteilladen Winterthur (network_library_of_reuse),web,https://library-of-reuse.ch/pioneers/useagain,true,200,PROVEN,belegt,"useagain promotes direct exchange between various organisations, such as Bauteilbörse Basel, BauTeile Zürich and Bauteilladen Winterthur.",KEEP,01,both endpoints named,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157538353931883465,rel
AG01-r-0012,rel,r_cirkla__verbunden_mit_akteur__gruner_reuse_platform,cirkla,gruner_reuse_platform,VERBUNDEN_MIT_AKTEUR,Gruner AG / Gruner ReUse listed in Cirkla reuse directory (directory),web,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/gruner-ag,true,200,PROVEN,belegt,Gruner AG - Cirkla ... Gruner ReUse soutient les projets de construction misant sur la réutilisation,KEEP,01,Cirkla directory page shows Gruner ReUse,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:6931153076220889110,rel
AG01-r-0013,rel,r_cirkla__verbunden_mit_akteur__materiuum,cirkla,materiuum,VERBUNDEN_MIT_AKTEUR,Materiuum listed in Cirkla reuse directory (directory),web,https://www.cirkla.ch/en/le-reseau-du-reemploi/lannuaire/experts/materiuum,true,200,PROVEN,belegt,Materiuum - Cirkla ... La mission de Matériuum est la préservation des ressources naturelles,KEEP,01,Cirkla directory page shows Materiuum,01,element,5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:0,rel
